keys,en
main_menu_new_game,New Game
main_menu_continue,Continue
main_menu_level_select,Level Select
main_menu_score_attack,Score Attack
main_menu_options,Options
main_menu_credits,Credits
main_menu_exit,Exit
options_menu_title,Options
options_difficulty,Difficulty
options_difficulty_easy,Easy
options_difficulty_normal,Normal
options_difficulty_expert,Expert
options_music_volume,Music Volume
options_sfx_volume,Sound Effects Volume
options_camera_shake,Camera Shake
options_back,Back
shift_summary_title,SHIFT SUMMARY
shift_summary_continue,Continue
shift_summary_restart,Restart
shift_summary_main_menu,Main Menu
shift_summary_submit_score,Submit Score
shift_summary_runner_stats,RUNNER STATS
shift_summary_document_stats,DOCUMENT STATS
shift_summary_performance,PERFORMANCE
shift_summary_bonuses,BONUSES
