keys,sk
Text/240/text,"Keď sa večerná smena chýli ku koncu, väčšina dôstojníkov odišla. Zostali ste len vy a hŕstka strážcov."
Text/241/text,K vášmu stanovišťu sa priblíži mohutný strážca. Volám sa Viktor. Som na nočnej stráži.
Text/242/text,"Jeho oči sú unavené, prenasledované. Vy ste ten nový, však? Ten, ktorého Russet stále sleduje?"
Choice/243/text,Len sa snažím robiť si svoju prácu. Prečo ma Russet sleduje?
Choice/244/text,"Je niečo, čo by som mal vedieť?"
Text/245/text,"Ťažko pokrčí plecami. Russet sleduje každého, kto sa pýta. Moja [color=STEEL_BLUE]žena sa raz pýtala[/color]."
Text/246/text,"Už tu nie je, aby sa pýtala."
Text/247/text,"Rozhliadne sa, potom stíši hlas. Len... dávajte si pozor, komu veríte."
Text/248/text,"A koho [color=CRIMSON]odsúdite[/color]. Niektorí z nás si pamätajú každú tvár, ktorú sme poslali na spracovanie."
Text/249/text,"Priblíži sa nervózny zemiak. Papiere sa zdajú byť v poriadku, ale všimnete si [color=CHARTREUSE]nenápadný listový odznak[/color] na ich golieri."
Text/24a/text,"Posunú svoje dokumenty. Vo vnútri je zastrčený malý lístok: ""[color=CHARTREUSE]Poslala ma Saša. Balík pre sieť. Prosím.[/color]"""
Text/24b/text,Nový [color=DARK_ORANGE]RealityScan[/color] bliká pripravený na vašom stanovišti. Jedno skenovanie a odhalí falšované prvky v ich papieroch.
Choice/24c/text,"Predstierajte, že skener zlyhal a pustite ich ďalej"
Choice/24d/text,Použite skener podľa požiadaviek – nemôžete riskovať odhalenie
Choice/24e/text,"Dajte Viktorovi znamenie, aby sa pozrel inam, potom ich nechajte prejsť"
Text/24f/text,"Poklepete na skener, zamračíte sa, poklepete znova. ""Tá prekliata vec štrajkuje. Prejdite."""
Text/250/text,"Ich tvár zaplaví úľava. Perami naznačia ""[color=CHARTREUSE]Ďakujem[/color]"" a rýchlo prejdú."
Text/251/text,"Stretnete sa s jeho pohľadom a kývnete smerom k agentovi. Pozrie sa na nich, potom na vás."
Text/252/text,"Zámerne sa otočí chrbtom a študuje stenu. ""[color=STEEL_BLUE]Skener celý deň blbne.[/color]"""
Text/253/text,"Agent prešmykne. Viktor nič nepovie, ale teraz ste zdieľali tajomstvo."
Text/254/text,"Spustíte sken. Stroj [color=RED]zareve[/color]. ""Zistená falšovaná dokumentácia."""
Text/255/text,"Na ich tvári sa objaví hrôza. ""[color=CRIMSON]Nerozumiete, čo ste urobili...[/color]"""
Text/256/text,"On a ostatní strážcovia sa priblížia. Agent je odvlečený preč, stále na vás hľadí."
Text/257/text,Saša vás zastihne v tieni. Ten agent niesol [color=CHARTREUSE]kópie manifestov[/color] našim kontaktom vonku.
Text/258/text,Kvôli vám sa pravda rozšíri za hranice Spudu. [color=CHARTREUSE]Skutočne ste niečo zmenili.[/color]
Text/259/text,Sasha roztvorí oči. Viktor pomohol? Mala som o ňom tušenie. Jeho žena bola...
Text/25a/text,"Odmlčí sa. Máme viac spojencov, než som si myslela."
Text/25b/text,Sasha ťa nájde s chladným výrazom. Ten agent mal rodinu. Tri klíčky doma.
Text/25c/text,Rozumiem strachu. Ale [color=CRIMSON]strach má následky[/color]. Do rána budú spracovaní.
Text/25d/text,"Dúfam, že tvoj čistý záznam za to stojí."
Text/25e/text,"Murphy sa vkradne do tvojich priestorov. Počul som, že dnes večer bolo na tvojej stanici trochu vzrušenia."
Text/25f/text,[color=CHARTREUSE]Dobre. Teraz sme v tom spolu.[/color] Niet cesty späť.
Text/260/text,"Murphyho tvár zosmutnie. Ja... Myslel som, že si s nami. Čo sa stalo?"
Text/261/text,Zajtrajšia smena bude iná. V stávke nikdy nebolo viac.
Text/262/text,"Ale prvýkrát máš pocit, že si na [color=CHARTREUSE]správnej strane[/color]. Nech to stojí, čo to stojí."
Text/263/text,"Tvár agenta ťa prenasleduje. Ich rodina sa nikdy nedozvie, prečo sa nevrátili domov."
Text/264/text,[color=STEEL_BLUE]Kvôli tebe.[/color]
Choice/243/disabled_text,
Choice/244/disabled_text,
Choice/24c/disabled_text,
Choice/24d/disabled_text,
Choice/24e/disabled_text,
