keys,el
dialogue_spud_being_called_1,"Επόμενη πατάτα, το πεπρωμένο σου σε περιμένει."
dialogue_spud_being_called_2,"Πρώτος στην ουρά, η στιγμή της αλήθειας πλησιάζει."
dialogue_spud_being_called_3,"Προχώρησε, εκλεκτέ του γένους των κονδύλων."
dialogue_spud_being_called_4,Συγχαρητήρια! Η αναμονή σου ευδοκίμησε.
dialogue_spud_being_called_5,Η Μεγάλη Πατατο-Γραφειοκρατία σε καλεί.
dialogue_spud_being_called_6,"Προχώρησε, ευγενές τούμπερο! Τα έγγραφα περιμένουν!"
dialogue_spud_being_called_7,Προχώρησε! Η σφραγίδα ανυπομονεί.
dialogue_spud_being_called_8,Βήμα γοργό! Το έντυπο P-38B πρέπει να συμπληρωθεί.
dialogue_spud_being_called_9,"Έλα μπροστά, η μοίρα απαιτεί την είσοδό σου."
dialogue_spud_being_called_10,"Πλησίασε τον πάγκο της κρίσης, πατάτα."
dialogue_spud_in_office_1,"Παρακαλώ, υπομονή. Ο χρόνος είναι μια ψευδαίσθηση."
dialogue_spud_in_office_2,Η αναμονή χτίζει χαρακτήρα. Και άμυλο.
dialogue_spud_in_office_3,Η ουρά κινείται με μυστηριώδεις τρόπους.
dialogue_spud_in_office_4,Η θέση σου είναι καταγεγραμμένη από τις αρχές.
dialogue_spud_in_office_5,Η αναμονή στην ουρά: η παγκόσμια σταθερά.
dialogue_spud_in_office_6,Καμία πατάτα δεν είναι έτοιμη μέχρι να ωριμάσει από την αναμονή.
dialogue_spud_in_office_7,"Υπομονή: όχι η μόνη αρετή, αλλά αναφέρεται."
dialogue_spud_in_office_8,Οι γραφειοκρατικοί τροχοί κινούνται αργά. Πολύ αργά.
dialogue_spud_in_office_9,"Αχ, ο γλυκός ήχος της διαδικασίας!"
dialogue_spud_in_office_10,Η σημερινή ουρά είναι το αυριανό ανέκδοτο.
dialogue_spud_in_office_11,Ο χρόνος στις ουρές κάμπτεται. Έχει μετρηθεί.
dialogue_spud_in_office_12,Δεξιότητα αναμονής: Επίπεδο 43 επιτεύχθηκε!
dialogue_warnings_1,Όσοι αντισταθούν θα ξεφλουδιστούν με ακρίβεια.
dialogue_warnings_2,Οι παραβάτες της ουράς στέλνονται στην Ταχεία Επεξεργασία.
dialogue_warnings_3,Η διατάραξη της ουράς επιφέρει διαλέξεις περί ουρών.
dialogue_warnings_4,Ανυποταξία οδηγεί στο Δωμάτιο με Καυτό Λάδι.
dialogue_warnings_5,"Δεν χρειάζεται να είμαστε δίκαιοι, απλά οργανωμένοι."
dialogue_warnings_6,Η Επιτροπή Συμμόρφωσης Πατάτας βλέπει τα πάντα.
dialogue_warnings_7,Ταραχοποιοί: πουρές χωρίς βούτυρο.
dialogue_warnings_8,Αυτοί που προκαλούν χάος γίνονται χασμπράουνς. Γρήγορα.
dialogue_warnings_9,Οι παραβάτες κανόνων αντιμετωπίζουν το καθεστώς της διπλοψημένης.
dialogue_warnings_10,Οι Ελεγκτές Ουράς έχουν επισημάνει την ύπαρξή σας.
dialogue_warnings_11,Ο φάκελός σας: σημειωμένος με ΤΗΝ κόκκινη σφραγίδα.
dialogue_misc_1,Πού είναι όλοι;
dialogue_misc_2,Έκτακτη ανάγκη; Συνεχίστε να περιμένετε με τη σειρά.
dialogue_misc_3,Διαβάσατε την παράγραφο επτά της συμφωνίας αναμονής;
dialogue_misc_4,"Απολεσθέντα αντικείμενα: βρέθηκαν, φορολογήθηκαν, παραδόθηκαν σε λάθος μέρος."
dialogue_misc_5,"Αν μια πατάτα παραπονεθεί, βγάζει ήχο;"
dialogue_misc_6,Το φως αντικαταστάθηκε με πινακίδα: «Περισσότερο Τούνελ.»
dialogue_misc_7,Ο θάνατος είναι προσωρινός. Η γραφειοκρατία είναι αιώνια.
dialogue_misc_8,Το σύστημα αρχειοθέτησης απέκτησε συνείδηση. Μείνετε ήρεμοι.
dialogue_misc_9,Οι σημερινοί τυχεροί αριθμοί δεν σημαίνουν τίποτα. Συγγνώμη.
dialogue_misc_10,"Αποκάλυψη; Πάρτε αριθμό, περιμένετε να εξαφανιστείτε."
dialogue_misc_11,Έλλειψη αποδείξεων σημαίνει ότι απαιτούνται περισσότερα έντυπα.
dialogue_document_interaction_1,"Πάρτε τα έγγραφά σας, παρακαλώ."
dialogue_document_interaction_2,ΠΑΡΤΕ ΤΑ!
