keys,hu
Text/86/text,Új biztonsági protokollok ma. Hírszerzési adatokat kaptunk [color=YELLOW]gyanús tevékenységekről[/color].
Text/87/text,Minden utazónak fokozott ellenőrzési eljárásokon kell átesnie.
Text/88/text,"Figyeljen a [color=YELLOW]ideges viselkedésre, szokatlan modorra vagy a szemkontaktus kerülésére[/color]."
Text/89/text,"Minden gyanús tárgyat le kell foglalni és dokumentálni. Spud biztonságáért, persze."
Text/8a/text,"Különösen aggasztanak minket a [color=CRIMSON]tiltott anyagok[/color] - kormányellenes irodalom, fényképezőgépek..."
Text/8b/text,"Hangjuk fenyegetően halkul. ""[pulse freq=2][color=DARK_VIOLET]Speciális eljárásaink vannak ezekre az egyénekre.[/color][/pulse]"""
Text/8c/text,"[wave amp=15 freq=2][color=DARK_VIOLET]Root Reserve[/color][/wave] teherautók ürítik ki a ""Premium Reserve"" feliratú ládákat az étkezőben. Az illat csábító, de a gyomra felfordul."
Text/8d/text,Megkóstolta az új Premium Reservet? A unokatestvérem eltűnt múlt hónapban. Nem felelt meg az ellenőrzésnek.
Text/8e/text,"Talán ő is része ennek a tételnek, mi? [tornado radius=2 freq=2][color=STEEL_BLUE]Sötét humor, érti?[/color][/tornado]"
Choice/8f/text,Ez nem vicces. Egyáltalán nem.
Choice/90/text,Nem vagyok éhes. Elnézést. (Elmegy)
Text/91/text,"Igaza van. Néha könnyebb vicceket csinálni, mint azon gondolkodni, [pulse freq=3][color=CRIMSON]mi történhet ténylegesen[/color][/pulse]."
Text/92/text,"A tiszt nézi, ahogy elmegy. ""Értem. Nekem is elmúlt az étvágyam..."""
Text/93/text,"Kissé kényelmes időzítés az új biztonsági protokolloknak, nem? [wave amp=15 freq=3][color=YELLOW]Meg akarják akadályozni a Root Reserve-ről szóló információk terjedését.[/color][/wave]"
Text/94/text,"Van valamim, ami segíthet nekünk. Néhány krumpli [color=CHARTREUSE]létfontosságú információval megérdemli, hogy átjusson[/color]."
Text/95/text,Óvatosan mérlegeli a lehetőségeit. A mai döntések segíthetnek [color=CHARTREUSE]terjeszteni az igazságot[/color]... vagy [color=CRIMSON]örökre elhallgattatni[/color].
Choice/8f/disabled_text,
Choice/90/disabled_text,
