keys,pl
Text/d2/text,Po twojej zmianie zostałeś poprowadzony na tajne spotkanie ruchu oporu w opuszczonej fabryce skrobi.
Text/d3/text,Zniszczony ziemniak z bliznami po bitwach zwraca się do zgromadzonej grupy.
Text/d4/text,Czas szeptów i ulotek dobiegł końca. Rząd pokazał swoje prawdziwe oblicze.
Text/d5/text,"Nasze źródła potwierdzają, że zakłady przetwórcze [wave amp=15 freq=2][color=DARK_VIOLET]Root Reserve[/color][/wave] zwiększają produkcję."
Text/d6/text,"Co oznacza [tornado radius=3 freq=3][color=CRIMSON]więcej naszych braci i sióstr zniknęło, zostało przetworzonych, skonsumowanych[/color][/tornado]."
Text/d7/text,"Przywódca uderza pięścią w stół. [pulse freq=3][color=CHARTREUSE]To kończy się teraz.[/color][/pulse] Mamy plan, by uderzyć w serce ich operacji."
Text/d8/text,Sasha rozkłada szczegółowe plany na stole. Za trzy dni rozpoczniemy naszą główną ofensywę.
Text/d9/text,"Podczas gdy jeden zespół stworzy dywersję przy głównym kompleksie rządowym, drugi infiltruje największy obiekt Root Reserve."
Text/da/text,"Nasz cel: zdobyć [color=CHARTREUSE]niepodważalne dowody[/color] tego, co dzieje się w środku, i nadać je do całego Spud."
Text/db/text,Sasha wskazuje na część planów. To tutaj wchodzisz ty.
Text/dc/text,"Potrzebujemy kogoś wewnątrz Urzędu Celnego Spud, aby zapewnić, że nasi operatorzy będą mogli przekroczyć granicę dla misji."
Text/dd/text,"Czy możemy liczyć, że będziesz tą osobą?"
Choice/de/text,"Zrobię wszystko, co potrzeba, aby ujawnić prawdę."
Choice/df/text,"Brzmi niebezpiecznie. A co, jeśli nas złapią?"
Choice/e0/text,"Czy istnieje inny sposób, który nie naraża tak wielu osób?"
Text/e1/text,Twarz Sashy rozjaśnia się nadzieją. Dziękuję. [color=CHARTREUSE]Twoja odwaga uratuje niezliczone życia.[/color]
Text/e2/text,"Ściska twoją dłoń. Kiedy to wszystko się skończy, [color=CHARTREUSE]będziesz zapamiętany jako bohater rewolucji.[/color]"
Text/e3/text,Sasha kiwa głową uroczyście. To jest niebezpieczne. Nie będę cię okłamywać w tej kwestii.
Text/e4/text,"Wszyscy możemy skończyć [color=DARK_VIOLET]przetworzeni na Root Reserve[/color], jeśli zawiedziemy."
Text/e5/text,"Ale nierobienie niczego jest jeszcze bardziej niebezpieczne. Dla nas wszystkich, w dłuższej perspektywie."
Text/e6/text,Wyraz twarzy Sashy staje się ponury. Próbowaliśmy innych sposobów. Przez lata.
Text/e7/text,Petycje. Cicha dyplomacja. Anonimowe wskazówki. Nic nie zadziałało.
Text/e8/text,"Czasami musisz zaryzykować wszystko, aby cokolwiek zmienić."
Text/e9/text,Wśród członków ruchu oporu wybucha gorąca debata.
Text/ea/text,Niektórzy argumentują za bardziej agresywnym podejściem — całkowitym zniszczeniem zakładów przetwórczych.
Text/eb/text,"Inni nalegają, że działania z użyciem przemocy tylko odwrócą opinię publiczną przeciwko nim."
Text/ec/text,WYSTARCZY! Przywódca ucisza pomieszczenie władczym głosem.
Text/ed/text,"Nie możemy pozwolić sobie na podziały. Nie teraz, gdy jesteśmy tak blisko."
Text/ee/text,"Nasz cel jest prosty: ujawnić prawdę. Niech ludzie zdecydują, co będzie dalej."
Text/ef/text,"Przywódca odwraca się, by zwrócić się bezpośrednio do ciebie. Ale musimy wiedzieć, [color=YELLOW]po której stronie stoisz[/color]."
Text/f0/text,Za trzy dni nasi agenci zbliżą się do twojego punktu kontrolnego. Będą mieli [color=CHARTREUSE]niebieskie karty identyfikacyjne[/color].
Text/f1/text,Czy pomożesz im przejść? Twoja odpowiedź teraz zadecyduje o naszym następnym ruchu.
Choice/f2/text,Pomogę im przejść. Dla przyszłości Spud.
Choice/f3/text,"Nie mogę być bezpośrednio zaangażowany, ale będę patrzył w drugą stronę."
Choice/f4/text,"Potrzebuję więcej czasu, żeby to przemyśleć."
Text/f5/text,Przywódca mocno chwyta cię za ramię. [color=CHARTREUSE]Twoja odwaga jest honorem dla nas wszystkich.[/color]
Text/f6/text,"Trzeciego dnia, gdy słońce będzie najwyżej, przyjdą nasi agenci."
Text/f7/text,"Hasło to ""[wave amp=15 freq=3][color=CHARTREUSE]Korzenie rosną głęboko.[/color][/wave]"" Zapamiętaj to."
Text/f8/text,"Przywódca kiwa głową powoli, wyraźnie rozczarowany, ale wyrozumiały."
Text/f9/text,"Czasami najwięcej, o co możemy prosić, to żeby ludzie nie stawali nam na drodze."
Text/fa/text,Nasi agenci będą kontynuować zgodnie z planem. Tylko... nie podnoś alarmu.
Text/fb/text,"Wyraz twarzy przywódcy twardnieje. [color=YELLOW]Czas to luksus, którego nie mamy.[/color]"
Text/fc/text,Ale zmuszanie kogokolwiek do przyłączenia się do naszej sprawy nie czyni nas lepszymi od nich.
Text/fd/text,Będziemy kontynuować bez liczenia na twoją pomoc. Zajrzyj we własne sumienie.
Text/fe/text,"Gdy spotkanie się kończy, Sasha idzie z tobą z powrotem w kierunku punktu kontrolnego."
Text/ff/text,"Cokolwiek się stanie... dziękuję za wszystko, co zrobiłeś."
Text/100/text,"Wracasz do swoich kwater w punkcie kontrolnym, twój umysł pędzi pod ciężarem nadchodzących wydarzeń."
Text/101/text,W zaledwie trzy dni wszystko może się zmienić. [color=YELLOW]Na lepsze lub gorsze.[/color]
Choice/de/disabled_text,
Choice/f4/disabled_text,
Choice/f3/disabled_text,
Choice/f2/disabled_text,
Choice/e0/disabled_text,
Choice/df/disabled_text,
Text/d2b/text,Zanim zaczniemy... Muszę się do czegoś przyznać.
Text/d2c/text,"Ta notatka, którą znalazłeś pierwszego dnia? ""[color=GOLD]Przyjaciel[/color]""?"
Text/d2d/text,"Sasha uśmiecha się. Widzę, że ją zachowałeś. Sprytnie. Wiedziałem, że wybrałem właściwą sadzonkę."
Text/d2e/text,"Od miesięcy obserwowałem nowych funkcjonariuszy, szukając kogoś z [color=CHARTREUSE]dociekliwym spojrzeniem[/color]. Kogoś, kto mógłby przejrzeć kłamstwa."
Text/d2f/text,Wyraz twarzy Sashy jest skomplikowany. Pokazałeś ją Russetowi. Musiałem się ukrywać przez tygodnie po tym.
Text/d2g/text,Ale mimo wszystko tu jesteś. To mówi mi coś o twoim sumieniu.
Text/d2h/text,Zniszczyłeś ją. Nie winię cię - ryzykowne było ją zachować.
Text/d2i/text,"Ale słowa i tak trafiły do twojej głowy, prawda?"
Text/d2j/text,"[color=CHARTREUSE]Jestem ""Przyjacielem"".[/color] I teraz wiesz dlaczego."
Text/d2k/text,Sasha rozkłada na stole przechwycone dokumenty. Manifesty przetworzonych z ostatniego miesiąca.
Text/d2l/text,"Skanujesz nazwiska, i krew ścina ci się w żyłach."
Text/d2m/text,Jest. [color=GOLD]Maris Piper[/color]. Kobieta ze zdjęcia.
Text/d2n/text,"""[color=CRIMSON]Status: Przetworzona. Partia RR-2847.[/color]"" Datowane trzy dni po tym, jak jej mąż błagał cię o pomoc."
Text/d2o/text,Czujesz zdjęcie w kieszeni. [color=STEEL_BLUE]Odeszła. I nie mogłeś jej uratować.[/color]
Text/d2p/text,Ale może... [color=CHARTREUSE]może nadal możesz uratować innych[/color].
Text/d2q/text,"Murphy wyłania się z cienia. Hej. Cieszę się, że dotarłeś."
Text/d2r/text,Murphy podnosi zmięty formularz RR-UTIL. Mój kuzyn też jest na tej liście. [color=CHARTREUSE]Robimy to razem.[/color]
Text/ff2/text,"[color=STEEL_BLUE]Zachowuje dystans, gdy idziesz.[/color] Doceniam, że nie stajesz nam na drodze. To... coś."
Text/ff3/text,"[color=STEEL_BLUE]Idzie w milczeniu, ze skrzyżowanymi ramionami.[/color] Mam nadzieję, że odnajdziesz pewność, której szukasz. Reszta z nas nie może sobie pozwolić na czekanie."
Text/100_viktor1/text,"W drodze powrotnej znajdujesz Viktora samego na dachu punktu kontrolnego, wpatrującego się w nocne niebo."
Text/100_viktor2/text,Viktor trzyma małą
Text/100_viktor3/text,"Mówiła, że bez względu na to, jak mroczne stawały się rzeczy, gwiazdy zawsze będą na swoim miejscu. [color=STEEL_BLUE]Niezmienne. Piękne.[/color]"
Text/100_viktor4/text,"Odwraca się do ciebie, z błyszczącymi oczami. [wave amp=15 freq=2]Ciągle myślę... czy ona cierpiała?[/wave] Czy wiedziała, co się dzieje?"
Text/100_viktor5/text,"Głos Viktora się łamie. Zapytała mnie kiedyś, czy kiedykolwiek kwestionowałem odrzucenia. Powiedziałem jej, żeby [color=CRIMSON]zaufała systemowi[/color]."
Text/100_viktor6/text,"[tornado radius=3 freq=2][color=CRIMSON]Wysłałem własną żonę do kadzi przetwórczych, nie wiedząc o tym.[/color][/tornado]"
Choice/100_viktor_choice1/text,Nie mogłeś wiedzieć. Nikt z nas nie wiedział.
Choice/100_viktor_choice2/text,"Elena chciałaby, żebyś teraz walczył, a nie tonął w poczuciu winy."
Choice/100_viktor_choice3/text,"Nie wiem, co powiedzieć. Przepraszam."
Text/100_viktor7/text,Powoli kręci głową. [color=STEEL_BLUE]Niewiedza to nie niewinność. Powinienem był zapytać. Powinienem był posłuchać.[/color]
Text/100_viktor8/text,"Viktor ostrożnie chowa zdjęcie. [color=CHARTREUSE]Ale teraz wiem. A wiedza oznacza, że muszę działać.[/color]"
Text/100_viktor9/text,"Viktor prostuje się, w jego oczach na nowo rozpala się zimny ogień. [color=CHARTREUSE]Masz rację.[/color] Była silniejsza ode mnie. Odważniejsza."
Text/100_viktor10/text,Zaciska pięść. [color=CHARTREUSE]Kiedy nadejdzie czas
Text/100_viktor11/text,"[pulse freq=2][color=CRIMSON]A Idaho zapłaci za każde życie, które pochłonął.[/color][/pulse]"
Text/100_viktor12/text,Viktor zdobywa się na smutny
Text/100_viktor13/text,Patrzy z powrotem na gwiazdy. [color=STEEL_BLUE]Elena by cię polubiła.[/color]
Text/100_viktor14/text,"Odwraca się, by odejść, po czym przystaje. [color=CHARTREUSE]Kiedy ruch oporu ruszy... Będę gotowy.[/color]"
Text/100_viktor15/text,"Dla Eleny. Dla nich wszystkich. [pulse freq=2][color=CHARTREUSE]Strażnicy pójdą za mną, kiedy powiem im prawdę.[/color][/pulse]"
