keys,el
Text/265/text,Η βάρδια τελειώνει μέσα σε μια ανήσυχη σιωπή. Οι περιπολίες ασφαλείας έχουν διπλασιαστεί. Όλοι κινούνται ψιθυριστά.
Text/266/text,Κατευθύνεσαι στα καταλύματά σου όταν το ακούς - [color=YELLOW]φωνές από την πτέρυγα των αξιωματικών[/color].
Text/267/text,Στρίβεις τη γωνία και βλέπεις δυνάμεις ασφαλείας [pulse freq=3][color=RED]να κλωτσούν την πόρτα της Σάσα[/color][/pulse].
Text/268/text,Η φωνή του Αρχηγού Γιούκον βροντά. ΓΛΥΚΟΠΑΤΑΤΑ ΣΑΣΑ! Είσαι υπό σύλληψη για [color=CRIMSON]προδοσία κατά του έθνους της Πατάτας![/color]
Text/269/text,"Η Σάσα σέρνεται έξω, παλεύοντας. Τα μάτια της είναι προκλητικά ακόμα και καθώς οι φρουροί της στρίβουν τα χέρια πίσω από την πλάτη της."
Text/26a/text,[tornado radius=4 freq=3][color=CHARTREUSE]Η ΑΛΗΘΕΙΑ ΘΑ ΒΓΕΙ ΣΤΟ ΦΩΣ! ΔΕΝ ΜΠΟΡΕΙΤΕ ΝΑ ΜΑΣ ΦΙΜΩΣΕΤΕ ΟΛΟΥΣ![/color][/tornado]
Text/26b/text,Το βλέμμα της σε βρίσκει μέσα στο πλήθος των παρατηρητών. Ο χρόνος μοιάζει να παγώνει.
Text/26c/text,Αναγνώριση... μετά [color=CRIMSON]καταστροφική κατανόηση[/color]. Πρόδωσες την τοποθεσία της. Το ξέρει.
Text/26d/text,Δεν μιλάει. Το βλέμμα αρκεί. [color=STEEL_BLUE]Απογοήτευση βαθύτερη από το μίσος.[/color]
Text/26e/text,Μια λάμψη από κάτι - [color=CHARTREUSE]ελπίδα; εμπιστοσύνη;[/color] - διασχίζει το πρόσωπό της.
Text/26f/text,"Τα χείλη της κινούνται σιωπηλά: ""[color=CHARTREUSE]Οι ρίζες μεγαλώνουν βαθιά.[/color]"" Ένα μήνυμα. Μια υπενθύμιση."
Text/270/text,"Ο Ράσετ αναδύεται από τις σκιές, με την ικανοποίηση να αναβλύζει από κάθε πόρο."
Text/271/text,"Λοιπόν, λοιπόν. Η [color=CRIMSON]γλυκοπατάτα ξινίζει[/color]. Πάντα ήξερα ότι κάτι σάπιο υπήρχε σε σένα, Σάσα."
Text/272/text,"Ο Ράσετ κρατάει έναν φάκελο. Τα μικρά σου [color=DARK_VIOLET]μανιφέστα[/color]. Τα ""στοιχεία"" σου. Όλα ανακτήθηκαν."
Text/273/text,Πραγματικά νόμιζες ότι μπορούσες να υπονομεύσεις [pulse freq=2][color=DARK_VIOLET]το Απόθεμα Ρίζας[/color][/pulse]; Να υπονομεύσεις ΕΜΕΝΑ;
Text/274/text,"Αντίγραφα κυκλοφορούν ήδη, Ράσετ. Ο κόσμος θα μάθει τι κάνεις στους ανθρώπους μας!"
Text/275/text,"Ο Ράσετ γελάει ψυχρά. Θα μάθουν ό,τι τους πούμε εμείς. Και εσύ; Θα είσαι μέρος μιας [color=CRIMSON]πολύ ειδικής παρτίδας[/color]."
Text/276/text,"""[color=DARK_VIOLET]Μείγμα Προδοτών[/color]"" - Νομίζω ότι ακούγεται ωραίο."
Text/277/text,Η καρδιά σου χτυπά δυνατά. Κάθε ένστικτο ουρλιάζει να κάνεις κάτι. Αλλά οι φρουροί είναι παντού.
Choice/278/text,Προχώρησε μπροστά και απαίτησε να την αφήσουν ελεύθερη (Απερίσκεπτο)
Choice/279/text,Μείνε κρυμμένος - ζήσε για να πολεμήσεις μια άλλη μέρα (Πραγματιστικό)
Choice/27a/text,Πιάσε το βλέμμα της Σάσα και κούνησε το κεφάλι - μια υπόσχεση (Αποφασιστικότητα)
Text/27b/text,"Σπρώχνεις μέσα στο πλήθος. ""[color=CHARTREUSE]Περιμένετε! Δεν έχει κάνει τίποτα λάθος![/color]"""
Text/27c/text,"Το κεφάλι του Γιούκον γυρίζει απότομα προς εσένα. ""[color=RED]Πιάστε κι αυτόν![/color]"" Προφανώς συνεργός!"
Text/27d/text,"Ο Μέρφι σε αρπάζει, τραβώντας σε πίσω. ""[color=STEEL_BLUE]Είναι μπερδεμένοι μέσα στο χάος! ΤΡΕΞΕ![/color]"""
Text/27e/text,Ο Μέρφι σε σπρώχνει προς έναν πλευρικό διάδρομο καθώς οι φρουροί πλησιάζουν τη θέση σου.
Text/27f/text,"Οι φρουροί σε αρπάζουν. Το χαμόγελο του Ράσετ πλαταίνει. ""[color=CRIMSON]Δύο προδότες στην τιμή του ενός.[/color]"""
Text/280/text,"Υποχωρείς στις σκιές, μισώντας τον εαυτό σου με κάθε ίνα. [color=STEEL_BLUE]Δειλέ.[/color]"
Text/281/text,Αλλά ζωντανός. Και ελεύθερος. Προς το παρόν.
Text/282/text,"Συναντάς το βλέμμα της Σάσα. Ένα αργό, σκόπιμο νεύμα. [color=CHARTREUSE]Έρχομαι για σένα.[/color]"
Text/283/text,"Βλέπει. Το πιο μικρό χαμόγελο. Μετά την σέρνουν στη γωνία, εξαφανίζεται."
Text/284/text,"Σε βρίσκει μέσα στο χάος. Το πρόσωπό του είναι μια μάσκα, αλλά τα μάτια του καίνε."
Text/285/text,Την πήγαν στην [color=CRIMSON]πτέρυγα επεξεργασίας[/color]. Υπόγειο επίπεδο 3. Εκεί πήγαν τη γυναίκα μου.
Text/286/text,Σου σφίγγει κάτι στο χέρι - μια [color=GOLD]κάρτα ασφαλείας[/color].
Text/287/text,Όταν έρθει η ώρα... [color=CHARTREUSE]Θα κάνω τα στραβά μάτια[/color]. Για τη γυναίκα μου. Για όλους τους.
