keys,pl
Text/299_suppress1/text,"Wybucha chaos, gdy rozpoczyna się atak ruchu oporu. Eksplozje wstrząsają punktem kontrolnym."
Text/299_suppress2/text,Mógłbyś uciec. Mógłbyś się ukryć. Zamiast tego [color=DARK_ORANGE]wybierasz swoją stronę[/color].
Text/299_suppress3/text,Russet chwyta cię za ramię. [pulse freq=2][color=YELLOW]TERAZ ALBO NIGDY![/color][/pulse] Udowodnij swoją lojalność!
Text/299_suppress4/text,Ruch oporu próbuje sforsować wschodnią bramę! [color=CRIMSON]Zatrzymaj ich![/color]
Text/299_suppress5/text,"Chwytasz broń. To mogą być ludzie, których znasz. Ludzie, którym pomogłeś."
Text/299_suppress6/text,Ale przetrwanie ma swoją cenę. [color=DARK_ORANGE]Dokonałeś wyboru.[/color]
Text/299_suppress7/text,[pulse freq=3][color=CRIMSON]Walcz za państwo![/color][/pulse] Stłum atak ruchu oporu!
Text/299_suppress8/text,"Kiedy dym się rozwiewa, ziemia usłana jest ciałami. Niektóre noszą odznaki ruchu oporu."
Text/299_suppress9/text,[color=STEEL_BLUE]Rozpoznajesz twarze wśród poległych.[/color]
Text/299_suppress10/text,Murphy leży wśród martwych. Jego oczy wpatrują się w nicość. Zdjęcie Tommy'ego zaciśnięte w jego dłoni.
Text/299_suppress11/text,"[color=STEEL_BLUE]Zginął walcząc o coś, w co wierzył. Pomogłeś to zabić.[/color]"
Text/300/text,"Atak ruchu oporu nie powiódł się. Punkt kontrolny stoi, silniejszy niż kiedykolwiek. A ty pozostajesz na swoim stanowisku."
Text/301/text,[pulse freq=2][color=GOLD]NIECH ŻYJE PREMIER IDAHO![/color][/pulse] Obrońca Spud! Pogromca zdrajców!
Text/302/text,"Ogromny ziemniak w ozdobnych regaliach wysiada z pojazdu opancerzonego, w otoczeniu elitarnych strażników."
Text/303/text,"Idaho lustruje punkt kontrolny zimnymi, kalkulującymi oczami."
Text/304/text,"Russet pospiesznie podchodzi, kłaniając się głęboko. Panie Premierze! Jesteśmy zaszczyceni pańską obecnością!"
Text/305/text,"Zdrajcy zostali [color=DARK_VIOLET]przetworzeni[/color], zgodnie z pańskim rozkazem. Produkcja wzrosła o 40% w tym kwartale!"
Text/306/text,"I to jest oficer, który pozostał lojalny podczas powstania?"
Text/307/text,"Tak, Panie Premierze. Niezłomne oddanie. Zgłaszał podejrzane działania. Wzorowy obywatel."
Text/308/text,"Idaho podchodzi, przypinając medal do twojej piersi – [color=GOLD]Złotą Bulwę[/color]."
Text/309/text,"Za wybitną służbę. Udowodniłeś, że [color=DARK_ORANGE]lojalność wobec Spud[/color] zawsze zostanie nagrodzona."
Choice/30a/text,"Dziękuję, Panie Premierze. Chwała Spud."
Choice/30b/text,"Ja tylko wykonywałem swój obowiązek, panie. (Wymuszony uśmiech)"
Text/30c/text,Uśmiech Idaho nie sięga jego oczu. Tak. Z pewnością to zrobiłeś.
Text/30d/text,Idaho przygląda ci się przez dłuższą chwilę. Obowiązek. [color=STEEL_BLUE]Takie proste słowo na tak skomplikowane działania.[/color]
Text/30e/text,"Zastanawiam się, jakie [color=CRIMSON]koszmary[/color] nawiedzają tych, którzy tak dobrze wypełniają swój ""obowiązek""."
Text/30f/text,"Uczta odbywa się na cześć zwycięstwa. Stoły uginają się pod jedzeniem, w tym obfitymi porcjami [color=DARK_VIOLET]Rezerwy Korzeni[/color]."
Text/310/text,"Russet podnosi kielich z gęstym, purpurowym płynem. Toast! Za [color=CRIMSON]zdrajców, którzy nas żywią[/color]!"
Text/311/text,W pokoju rozlega się śmiech. Niektórzy nerwowo. Większość szczerze.
Text/312/text,"Przysuwa ci talerz. Spróbuj nowej partii. [color=DARK_VIOLET]""Mieszanka Oporu.""[/color] Wkład Sashy w przyszłość Ziemniaka."
Text/313/text,Żołądek podchodzi ci do gardła. Jedzenie na talerzu. [color=CRIMSON]Sasha.[/color] Kuzynka Murphy'ego. Żona ze zdjęcia.
Text/314/text,[tornado radius=3 freq=2][color=CRIMSON]Wszyscy oni.[/color][/tornado]
Choice/315/text,Zmuś się do jedzenia - utrzymaj swoją przykrywkę
Choice/316/text,Odepchnij talerz - nie możesz tego zrobić
Text/317/text,Podnosisz widelec do ust. Zamykasz oczy. [color=STEEL_BLUE]Żuj. Połknij. Nie myśl.[/color]
