keys,zh-TW
Text/11/text,馬鈴薯邊境陷入[pulse freq=3][color=CRIMSON]混亂[/color][/pulse]。洩露文件後，恐慌的馬鈴薯湧入檢查站，拼命想逃。
Text/12/text,你和莎莎悄悄溜過。[wave amp=20 freq=3][color=CHARTREUSE]我們必須繼續前進！[/color][/wave]人們現在知道真相了。
Text/13/text,他們再也無法掩蓋真相了。如果我們能滲透進[color=DARK_VIOLET]根源儲備[/color]設施並廣播證據，這將[tornado radius=3 freq=2][color=CHARTREUSE]點燃革命之火[/color][/tornado]。
Text/14/text,那裡是個堡壘。現在我們之中還有個[color=YELLOW]前海關探員[/color]。他們懷疑地瞇起眼睛看著你。
Choice/15/text,我理解你們的疑慮，但我已投身於這項事業。
Choice/16/text,我已經犧牲了一切。我現在不會退縮。
Text/17/text,說得好聽。但我們以前聽過這些話。
Text/18/text,他們幫我們拿到了文件。那是行動，不是空話。
Text/19/text,現在回頭當個忠誠的馬鈴薯已經不可能了。歡迎加入反抗軍，同志。
Text/1a_rescue1/text,一名偵察兵衝了過來。我們找到她了！[color=CHARTREUSE]莎莎在拘留區！[/color]
Text/1a_rescue2/text,他們正準備在不到一小時內...[tornado radius=3 freq=2][color=CRIMSON]處理她[/color][/tornado]！
Text/1a_rescue3/text,我們必須救她。[pulse freq=2][color=CHARTREUSE]這一切都是她開始的。[/color][/pulse]我們不會丟下她離開。
Text/1a_rescue4/text,[wave amp=25 freq=3][color=YELLOW]衝過設施！[/color][/wave]在為時已晚之前找到莎莎！
Text/1a_rescue_fail1/text,你絆倒了。前方的路被守衛擋住了！
Text/1a_rescue_fail2/text,維克多從一道側門衝了進來。[color=CHARTREUSE]快走！我來擋住他們！[/color]
Text/1a_rescue_fail3/text,為了艾蓮娜。為了他們所有人。[color=STEEL_BLUE]我不會讓任何人再死去！[/color]
Text/1a_rescue_fail4/text,墨菲拉響了火警。[color=CHARTREUSE]為了湯米！[/color]灑水器讓守衛們睜不開眼！
Text/1a_rescue_fail5/text,[color=STEEL_BLUE]我來製造混亂。把她帶出去！[/color]
Text/1a_rescue_fail6/text,一條[color=YELLOW]處理輸送帶卡住了[/color]，火花四濺，引開了守衛的注意力！
Text/1a_rescue_fail7/text,命運——或是那些被處理者的亡魂——賜予你第二次機會。
Text/1a_rescue5/text,莎莎從牢房裡抬起頭，渾身是傷卻意志堅定。她的眼睛睜大了。[color=CHARTREUSE]你來了。[/color]
Text/1a_rescue6/text,我當然來了。[color=CHARTREUSE]我們會一起完成這一切。[/color]
Choice/1a_rescue7/text,我真怕再也見不到你了。
Choice/1a_rescue8/text,你把我們嚇壞了。別再這樣了。
