keys,el
patch_1_2_0_title,SPUD CUSTOMS 1.2.0 - ΣΗΜΕΙΩΣΕΙΣ ΕΝΗΜΕΡΩΣΗΣ
patch_1_2_0_personal_note_header,ΜΙΑ ΠΡΟΣΩΠΙΚΗ ΣΗΜΕΙΩΣΗ ΑΠΟ ΤΟΝ ΠΡΟΓΡΑΜΜΑΤΙΣΤΗ
patch_1_2_0_personal_note,"Αυτή η ενημέρωση είναι αφιερωμένη στο μικρό μου, που πέρασε τους πρώτους μήνες της ζωής του στη ΜΕΝΝ - από 1 λίβρα στη γέννηση σε τώρα 20 λίβρες καθαρής χαράς. Ευχαριστώ όλους όσους συμμετείχαν σε αυτό το ταξίδι - πάνω από 2.000 παίκτες έχουν πλέον βιώσει το Spud Customs!"
patch_1_2_0_visual_header,ΟΠΤΙΚΕΣ ΒΕΛΤΙΩΣΕΙΣ
patch_1_2_0_visual_1,Ενσωμάτωση Κινούμενης Τέχνης: Ενσωματώθηκαν νέα κινούμενα GIF από το StagNation στις αρχικές σκηνές
patch_1_2_0_visual_2,Αναμόρφωση Τέχνης: Ξαναζωγραφίστηκαν οι πρώτες πέντε σκηνές που βλέπουν οι παίκτες για βελτιωμένη οπτική ποιότητα
patch_1_2_0_visual_3,Δυναμικά Φόντα: Τα οπτικά στοιχεία του φόντου αλλάζουν πλέον καθώς αυξάνεται η δυσκολία
patch_1_2_0_story_header,ΙΣΤΟΡΙΑ & ΑΦΗΓΗΣΗ
patch_1_2_0_story_1,Διατήρηση Επιλογών: Οι αφηγηματικές επιλογές μεταφέρονται πλέον σωστά σε όλα τα επίπεδα
patch_1_2_0_story_2,Οπτική Πρόοδος: Προστέθηκαν οπτικές ενδείξεις εξέλιξης της ιστορίας στις κύριες σκηνές παιχνιδιού με βάση τον τρέχοντα αριθμό βάρδιας
patch_1_2_0_story_3,Διορθώσεις Διακλαδισμένου Διαλόγου: Διορθώθηκαν προβλήματα με τον διακλαδισμένο διάλογο στις τελικές αφηγηματικές σκηνές
patch_1_2_0_bugfix_header,ΔΙΟΡΘΩΣΕΙΣ ΣΦΑΛΜΑΤΩΝ
patch_1_2_0_bugfix_1,Σύστημα Επιτευγμάτων: Διορθώθηκε η παρακολούθηση επιτευγμάτων - όλα τα επιτεύγματα ξεκλειδώνουν πλέον σωστά
patch_1_2_0_bugfix_2,Πίνακας Κατάταξης: Διορθώθηκε το πρόβλημα όπου ο πίνακας κατάταξης κολλούσε στην φόρτωση
patch_1_2_0_bugfix_3,Κούνημα Οθόνης: Το κούνημα οθόνης επανέρχεται πλέον σωστά στην αρχική του θέση μετά από κάθε χρήση
patch_1_2_0_bugfix_4,Κλιμάκωση Δυσκολίας: Διορθώθηκε ο συντελεστής κλιμάκωσης της εύκολης λειτουργίας
patch_1_2_0_bugfix_5,Εμφάνιση Φόντου: Διορθώθηκαν τα ελλείποντα φόντα κατά τη διάρκεια των σκηνών διαλόγου
patch_1_2_0_bugfix_6,Αναγνωσιμότητα Κειμένου: Βελτιώθηκε ο χρωματισμός του κειμένου για καλύτερη αναγνωσιμότητα
patch_1_2_0_engagement_header,ΕΜΠΛΟΚΗ ΠΑΙΚΤΩΝ
patch_1_2_0_engagement_1,Αιτήματα Αξιολόγησης: Προστέθηκαν προτροπές αξιολόγησης για παίκτες demo και πλήρους παιχνιδιού
patch_1_2_0_engagement_2,Διορθώσεις Μετάφρασης: Διάφορες βελτιώσεις μετάφρασης σε όλες τις υποστηριζόμενες γλώσσες
patch_1_2_0_technical_header,ΤΕΧΝΙΚΕΣ ΒΕΛΤΙΩΣΕΙΣ
patch_1_2_0_technical_1,Διευρυμένη Υποστήριξη Γλωσσών: Υποστηρίζονται πλέον και οι 31 γλώσσες που υποστηρίζονται από το Steam
patch_1_2_0_technical_2,Αναμόρφωση Συστήματος Μετάφρασης: Αναδιοργανώθηκαν τα αρχεία μετάφρασης για καλύτερη συντήρηση
