keys,th
Text/a6/text,วันนี้ด่านตรวจรู้สึกแตกต่างออกไป ตึงเครียด หน่วยรักษาความปลอดภัยลาดตระเวนมากขึ้นในขณะที่ความเงียบงันที่ระแวดระวังเข้ามาแทนที่เสียงพูดคุย
Text/a7/text,เมื่อคืนนี้ [pulse freq=2][color=CRIMSON]วัสดุต้องห้าม[/color][/pulse] ถูกค้นพบ แผ่นพับที่มีเนื้อหาโกหกเกี่ยวกับ [color=DARK_VIOLET]Root Reserve[/color]
Text/a8/text,เรากำลังดำเนินการ [wave amp=15 freq=2][color=DARK_ORANGE]มาตรการระดับภัยคุกคามสีส้ม[/color][/wave] เจ้าหน้าที่ทุกคนจะต้องผ่านการตรวจสอบความภักดี ผู้เดินทางทุกคนจะต้องเผชิญกับการตรวจสอบอย่างเข้มงวดสูงสุด
Text/a9/text,มันได้ผล แผ่นพับกำลังแพร่กระจาย ผู้คนกำลังตั้งคำถามเกี่ยวกับ [color=DARK_VIOLET]Root Reserve[/color]
Text/aa/text,ฉันมีแหล่งข่าวบอกฉันว่ามีบันทึกการขนส่งอยู่ในสำนักงานของรัสเซ็ต - รายการขนส่งที่สามารถ [tornado radius=3 freq=2][color=CHARTREUSE]พิสูจน์ทุกสิ่ง[/color][/tornado] ได้
Text/ab/text,ฉันต้องการให้คุณช่วยฉันเอามันมา คืนนี้ หลังกะสุดท้าย ฉันวางใจคุณได้ไหม?
Choice/ac/text,"""ฉันเข้าร่วม มาเปิดเผยความจริงกันเถอะ"""
Choice/ad/text,"""ฉันไม่รู้สิ ซาช่า...นี่อาจเป็นอันตรายได้"""
Text/ae/text,ขอบคุณพระเจ้า ฉันรู้ว่าคุณมี [color=CHARTREUSE]รากฐานที่แข็งแกร่งกว่าคนอื่น[/color] เราจะเจอกันตอนเที่ยงคืน
Text/af/text,บางครั้งเราก็ต้อง [color=CHARTREUSE]เสี่ยงที่จะถูกบดขยี้เพื่อทำสิ่งที่ถูกต้อง[/color] ลองคิดดูสิ
Text/b0/text,[color=DARK_ORANGE]ตรวจสอบความภักดี[/color] โปรดระบุชื่อและรหัสเจ้าหน้าที่ของคุณ แล้วบอกฉันว่าทำไมคุณถึงรับใช้ Spud
Choice/b1/text,"""ฉันรับใช้เพื่อปกป้องพรมแดนของเราจากอิทธิพลที่เป็นอันตราย"""
Choice/b2/text,"""ฉันรับใช้เพื่อให้แน่ใจว่าทุกคนได้รับการปฏิบัติอย่างเป็นธรรม"""
Text/b3/text,คำตอบที่ดี Spud ต้องการผู้พิทักษ์ที่ภักดี เครื่องสแกนอ่านค่าสีเขียว ทำงานต่อไป เจ้าหน้าที่
Text/b4/text,คิ้วของเจ้าหน้าที่เลิกขึ้น การปฏิบัติที่เป็นธรรมงั้นหรือ? เครื่องสแกนกะพริบ [color=DARK_ORANGE]สีเหลืองอำพัน[/color] จำไว้ว่าความกังวลหลักของเราคือความปลอดภัย ไม่ใช่ความยุติธรรม
Text/b5/text,โควตาของวันนี้เพิ่มขึ้นแล้ว ใครก็ตามที่มีวัสดุต้องสงสัยจะถูกทำเครื่องหมายเพื่อ [color=DARK_VIOLET]การประมวลผลพิเศษ[/color]
Text/b6/text,วันนี้ฉันจะ [color=DARK_ORANGE]เฝ้าดูการตัดสินใจของคุณ[/color] อย่างระมัดระวังเป็นพิเศษ
Text/b7/text,คืนนี้อาจเปลี่ยนแปลงทุกสิ่ง แต่ก่อนอื่น [color=YELLOW]จงรอดชีวิตในวันนี้โดยไม่ก่อให้เกิดความสงสัย[/color]
Text/b4_viktor1/text,เจ้าหน้าที่รักษาความปลอดภัยร่างใหญ่จับแขนคุณไว้ขณะที่คุณเดินผ่าน ใบหน้าของเขาเต็มไปด้วยความกังวล
Text/b4_viktor2/text,เฮ้... ขอโทษที่รบกวนนะ คุณเป็นเจ้าหน้าที่ศุลกากรคนหนึ่งใช่ไหม? ผมชื่อ [color=CHARTREUSE]วิคเตอร์[/color]
Text/b4_viktor3/text,ผมถามทุกคนเกี่ยวกับภรรยาของผม [color=GOLD]เอเลน่า[/color] เอเลน่า เปตรอฟ เธอข้ามด่านตรวจนี้เมื่อสามสัปดาห์ก่อน
Text/b4_viktor4/text,[color=STEEL_BLUE]ไม่ผ่านการตรวจสอบ[/color] พวกเขาบอกว่าเธอจะถูกดำเนินการและส่งกลับบ้าน แต่... ผมยังไม่ได้รับข่าวอะไรเลย
Text/b4_viktor5/text,เสียงของเขาสั่นเครือ ไม่มีใครบอกอะไรผมเลย คุณรู้ไหมว่าผู้เดินทางที่ถูกปฏิเสธไปไหน?
Choice/b4_viktor6/text,"""ผมขอโทษนะ วิคเตอร์ ผมไม่รู้ แต่ผมจะคอยดูให้"""
Choice/b4_viktor7/text,"""ผมไม่สามารถพูดคุยรายละเอียดการดำเนินการได้ เป็นไปตามมาตรการความปลอดภัย"""
Text/b4_viktor8/text,ดวงตาของวิกเตอร์มีความหวังริบหรี่ [color=CHARTREUSE]ขอบคุณครับ[/color] ถ้าคุณเจออะไร... ได้โปรด เธอคือทั้งหมดที่ผมมี
Text/b4_viktor9/text,วิกเตอร์พยักหน้าอย่างท้อแท้ [color=STEEL_BLUE]ครับ กฎระเบียบ[/color] ผมเข้าใจ
Text/b4_viktor10/text,แต่ถ้าคุณเปลี่ยนใจ... [color=YELLOW]ผมจำเป็นต้องรู้ว่าเกิดอะไรขึ้นกับเธอ[/color]
Choice/ac/disabled_text,
Choice/b2/disabled_text,
Choice/b1/disabled_text,
Choice/ad/disabled_text,
Choice/b4_viktor6/disabled_text,
Choice/b4_viktor7/disabled_text,
