keys,uk
Text/b8/text,"Прикордонний об'єкт повністю заблоковано, озброєна охорона патрулює кожен коридор."
Text/b9/text,[pulse freq=3][color=RED]УВАГА! СИТУАЦІЯ БЕЗПЕКИ ЧЕРВОНОГО РІВНЯ![/color][/pulse] Секретні документи були викрадені минулої ночі.
Text/ba/text,"Серед нас є [tornado radius=4 freq=3][color=CRIMSON]зрадник[/color][/tornado]. Кожен, хто приховує інформацію, буде вважатися співучасником."
Text/bb/text,"Усі офіцери, шикуйтеся для [wave amp=15 freq=2][color=DARK_ORANGE]перевірки безпеки[/color][/wave]. Ті, у кого виявлено підвищену стресову реакцію, будуть відзначені."
Text/bc/text,"Ти бачив, що відбувається назовні? Скрізь листівки, що показують, що [color=DARK_VIOLET]Кореневий Запас[/color] зроблено з... [pulse freq=3][color=CRIMSON]з нас[/color][/pulse]."
Choice/bd/text,"""Тихіше. За нами всіма спостерігають."""
Choice/be/text,"""Я чув ті самі чутки. Це жахливо, якщо це правда."""
Choice/bf/text,"""Це безглузда пропаганда. Не поширюй таких брехень."""
Text/c0/text,Ти маєш рацію. Але якщо це правда... то хто ми тоді?
Text/c1/text,Мого двоюрідного брата відхилили минулого місяця. Чи означає це...? Я [color=CHARTREUSE]більше не можу цього робити[/color].
Text/c2/text,Їхній вираз обличчя стає настороженим. Звісно. Вірна Картопля назавжди.
Text/c3/text,Повідомте ваше місцезнаходження минулої ночі між 22:00 та 04:00 годинами.
Choice/c4/text,"""Я був у своїх покоях всю ніч, спав."""
Choice/c5/text,"""Я б волів спочатку поговорити зі своїм юридичним представником."""
Text/c6/text,Ваші рівні стресу вказують на [color=YELLOW]обман[/color]. Однак... непереконливо. Наразі можете йти.
Text/c7/text,"Юридичний представник? Це процедура безпеки, а не суд. Ваша відмова зафіксована."
Text/c7_viktor1/text,Кремезний охоронець підходить під час вашої перерви. Його обличчя змарніле.
Text/c7_viktor2/text,"Гей... ти один із митників, так? Я розпитував про свою дружину, Олену."
Text/c7_viktor3/text,Вона перетнула цей пункт пропуску три тижні тому. [color=STEEL_BLUE]Не пройшла перевірку.[/color] Я більше нічого про неї не чув.
Choice/c7_viktor4/text,"""Вікторе... Я дещо знайшов. Про Олену. Ти повинен знати правду."""
Choice/c7_viktor5/text,"""Вибач, Вікторе. Я нічого не бачив."""
Text/c7_viktor6/text,Ти показуєш йому копію сторінки маніфесту. Його обличчя біліє.
Text/c7_viktor7/text,"[wave amp=25 freq=3]Його руки тремтять, коли він читає.[/wave] [color=GOLD]Олена Петрова[/color]... [color=CRIMSON]Оброблено... Партія RR-2851...[/color]"
Text/c7_viktor8/text,Його голос ледь чутний шепіт. [tornado radius=3 freq=2][color=CRIMSON]Вони... вони ПЕРЕТВОРИЛИ її на...[/color][/tornado]
Text/c7_viktor9/text,Його горе перетворюється на холодну лють. [pulse freq=2][color=CRIMSON]Айдахо заплатить за це.[/color][/pulse] Я клянуся її пам'яттю.
Text/c7_viktor10/text,"Він стискає твоє плече. [color=CHARTREUSE]Дякую, що сказав мені.[/color] Коли прийде час... я це запам'ятаю."
Text/c7_viktor11/text,Він сумно киває. [color=STEEL_BLUE]Я так і думав.[/color] Ніхто нічого не знає. Або ніхто не хоче говорити.
Text/c7_viktor12/text,"Якщо щось почуєш... [color=YELLOW]будь ласка.[/color] Вона — все, що в мене є."
Text/c8/text,"Це працює. Маніфести викликали обурення, але [color=DARK_ORANGE]Рассет нас підозрює[/color]."
