keys,zh-CN
violation_condition_not_fresh,拒绝：仅允许新鲜土豆。该土豆{condition}
violation_extra_eyes,拒绝：禁止“多眼”状况
violation_rotten,拒绝：禁止腐烂土豆
violation_sprouted,拒绝：禁止发芽土豆
violation_dehydrated,拒绝：禁止脱水土豆
violation_frozen,拒绝：禁止冷冻土豆
violation_too_old,拒绝：土豆年龄为{age}岁（最大年龄：4岁）
violation_too_young_3,拒绝：土豆年龄为{age}岁（最小年龄：4岁）
violation_too_young_2,拒绝：土豆年龄为{age}岁（最小年龄：3岁）
violation_males_only,拒绝：仅允许雄性土豆
violation_females_only,拒绝：仅允许雌性土豆
violation_country_spudland,拒绝：禁止所有“土豆地”土豆
violation_country_potatopia,拒绝：禁止所有“土豆乌托邦”土豆
violation_country_tuberstan,拒绝：禁止所有“块茎斯坦”土豆
violation_country_north_yamnea,拒绝：禁止所有“北薯国”土豆
violation_country_spuddington,拒绝：禁止所有“土豆顿”土豆
violation_country_tatcross,拒绝：禁止所有“薯十字”土豆
violation_country_mash_meadows,拒绝：禁止所有“泥地草甸”土豆
violation_country_tuberville,拒绝：禁止所有“块茎镇”土豆
violation_country_chip_hill,拒绝：禁止所有“薯片山”土豆（出口限制）
violation_country_murphyland,拒绝：禁止所有“墨菲地”土豆
violation_country_colcannon,拒绝：禁止所有“科尔坎农”土豆
violation_country_pratie_point,拒绝：禁止所有“薯角点”土豆
violation_race_purple_majesty,拒绝：禁止“紫皇”品种
violation_race_sweet_potato,拒绝：番薯品种需要特殊许可证（不可用）
violation_race_yukon_gold,拒绝：尤金金品种禁止通行
violation_expired_document,拒绝：证件已于 {date} 过期
violation_invalid_potato,这颗土豆符合所有要求，本应予以批准
