keys,uk
sex_male,Чоловіча
sex_female,Жіноча
condition_fresh,Свіжий
condition_extra_eyes,Додаткові очі
condition_rotten,Гнилий
condition_sprouted,Пророслий
condition_dehydrated,Зневоднений
condition_frozen,Заморожений
race_russet,Рассет
race_yukon_gold,Юкон Голд
race_sweet_potato,Батат
race_purple_majesty,Пурпурова Величність
country_spudland,Картопляндія
country_potatopia,Картотопія
country_tuberstan,Бульбостан
country_north_yamnea,Північна Ямнія
country_spuddington,Картоплінгтон
country_tatcross,Картоперехрестя
country_mash_meadows,Пюреві Луки
country_tuberville,Бульбовіль
country_chip_hill,Чіпсовий Пагорб
country_murphyland,Мерфіленд
country_colcannon,Колканон
country_pratie_point,Праті-Пойнт
