keys,nl
Text/156/text,Welkom bij [pulse freq=2][color=MEDIUM_VIOLET_RED]Spud Customs Training![/color][/pulse]
Text/157/text,Deze training leert je de [wave amp=15 freq=2][color=DARK_ORANGE]essentiële vaardigheden[/color][/wave] die nodig zijn om de grenzen van Spud te beschermen.
Text/158/text,Je taak is het verwerken van binnenkomende aardappelen bij onze grenspost.
Text/159/text,Immigrerende aardappelen zullen zich hier buiten je kantoor opstellen.
Text/15a/text,Om te beginnen met het verwerken van aardappelen moet je je hokje voor dienst openen met de schakelaar hier.
Text/15b/text,Je geeft elke aardappel een signaal om je kantoor te naderen door op de megafoon te tikken.
Text/15c/text,Aardappelen zullen één voor één het hokje binnenkomen en hun documenten presenteren.
Text/15d/text,Verplaats eerst hun documenten naar de inspectietafel voor een betere blik.
Text/15e/text,"Zoek dan naar [tornado radius=3 freq=2][color=YELLOW]verlopen datums, onjuiste informatie of tekenen van vervalsing[/color][/tornado]."
Text/15f/text,"Je bureau heeft stempels voor het markeren van documenten, je kunt hier klikken om de stempelbalk uit te trekken."
Text/160/text,Plaats vervolgens het document onder de stempel die je wilt gebruiken...
Text/161/text,Klik op de stempel om documenten te markeren als [color=CHARTREUSE]goedgekeurd[/color] of [color=CRIMSON]afgewezen[/color]...
Text/162/text,En sleep het document terug naar de aardappel om je beslissing definitief te maken!
Text/163/text,Soms zullen aardappelen proberen om [color=CRIMSON]langs je controlepunt te rennen[/color].
Text/164/text,"Je hebt een directe verbinding in je hokje, waarmee je [pulse freq=3][color=CRIMSON]raketlanceerders[/color][/pulse] langs de grensmuur kunt bedienen."
Text/165/text,"Klik op deze ""renners"" om een raket af te vuren en ze te stoppen."
Text/166/text,"Onthoud, elke renner die erdoorheen komt telt als een [wave amp=20 freq=3][color=CRIMSON]strike tegen jou[/color][/wave]."
Text/167/text,"Te veel strikes, en je dienst zal eindigen... [tornado radius=3 freq=3][color=CRIMSON]permanent.[/color][/tornado]"
Text/168/text,Elke dienst heeft een [color=DARK_ORANGE]quotum aardappelen[/color] dat je moet verwerken om je dag te voltooien.
Text/169/text,Je score houdt je prestaties bij in vergelijking met je collega's bij dit controlepunt en ambtenaren in verre douanekantoren.
Text/16a/text,Na elke dienst zie je een samenvatting van je prestaties en of je geslaagd of gefaald bent in je plicht.
Text/16b/text,Je ziet een uitsplitsing van hoe je met renners bent omgegaan en hoeveel documenten je hebt verwerkt.
Text/16c/text,"Plus eventuele bonussen die je hebt verdiend door documenten snel te verwerken, stempels perfect uit te lijnen of rennende aardappelen perfect te raken."
Text/16d/text,"Je ontvangt ook een prestatiebeoordeling op basis van hoe goed je aardappelen hebt verwerkt tijdens je dienst, en tot 3 gouden stempels als je de verwachtingen overtreft."
Text/16e/text,Hier kun je je score voor elke dienst indienen bij de wereldwijde database van douanebeambten en zien hoe je je verhoudt tot de meest elite douanebeambten over de hele wereld.
Text/16f/text,"Als je dienst succesvol was, kun je doorgaan door op ""Doorgaan"" te klikken en je volgende dienst te starten."
Text/170/text,Dit dekt de basis van je taken als Douanebeambte.
Text/171/text,"Onthoud: controleer documenten zorgvuldig, stop renners en haal je quotum."
Text/172/text,De veiligheid en beveiliging van Spud hangt af van je [pulse freq=2][color=DARK_ORANGE]waakzaamheid![/color][/pulse]
Text/174/text,Laten we beginnen aan jouw [color=YELLOW]trainingsdienst[/color]...
Text/180/text,Maar wees voorzichtig - niet elke aardappel heeft zijn papieren op orde.
Text/181/text,[color=RED]Verlopen paspoorten[/color] zijn een automatische afwijzing. Geen uitzonderingen.
Text/tut_001/text,Welkom bij [pulse freq=2][color=MEDIUM_VIOLET_RED]Spud Douane![/color][/pulse]
Text/tut_002/text,U bent geselecteerd voor een vitale rol: [color=DARK_ORANGE]Grensdouanebeambte[/color].
Text/tut_003/text,"Uw taak is eenvoudig. Aardappels arriveren bij uw hokje, u controleert hun documenten, en u beslist wie erdoor mag."
Text/tut_004/text,Maar wees voorzichtig - niet elke aardappel heeft zijn papieren op orde.
Text/tut_005/text,[color=RED]Verlopen paspoorten[/color] leiden tot een automatische afwijzing. Geen uitzonderingen.
Text/tut_006/text,Ik leid u door de basis [color=YELLOW]stap voor stap[/color]. Volg de aanwijzingen en u zult het snel onder de knie krijgen.
Text/tut_007/text,[pulse freq=2][color=RED]Nog één ding![/color][/pulse] Sommige aardappels zullen proberen [color=CRIMSON]ervandoor te gaan[/color] wanneer ze denken dat hun papieren de inspectie niet zullen doorstaan.
Text/tut_008/text,"Wanneer een [color=RED]grensvluchter[/color] probeert te ontsnappen, zult u ze langs uw hokje zien rennen richting de grens."
Text/tut_009/text,Dat is waar uw [color=CHARTREUSE]Pneumatische Raketwerper[/color] van pas komt. Het is de grote knop op uw bedieningspaneel.
Text/tut_010/text,[color=YELLOW]Klik om te vuren[/color] wanneer een vluchter binnen bereik is. Richt op het [color=GOLD]midden van de doelzone[/color] voor bonuspunten!
Text/tut_011/text,Maar wees voorzichtig - [color=RED]raak geen onschuldige aardappels[/color] in de rij. Dat kost u punten en levert u een strafpunt op!
Text/tut_012/text,De veiligheid en beveiliging van Spud hangt af van uw [pulse freq=2][color=DARK_ORANGE]waakzaamheid![/color][/pulse]
Text/tut_013/text,Laten we beginnen aan uw [color=YELLOW]trainingsdienst[/color]...
