keys,pl
Text/a6/text,"Obiekt graniczny dzisiaj wydaje się inny. Napięty. Patrole bezpieczeństwa w większej liczbie, gdy ostrożna cisza zastępuje pogawędki."
Text/a7/text,Zeszłej nocy odkryto [pulse freq=2][color=CRIMSON]zakazane materiały[/color][/pulse]. Ulotki zawierające kłamstwa na temat [color=DARK_VIOLET]Root Reserve[/color].
Text/a8/text,Wdrażamy [wave amp=15 freq=2][color=DARK_ORANGE]protokoły poziomu zagrożenia POMARAŃCZOWEGO[/color][/wave]. Wszyscy funkcjonariusze podlegają kontroli lojalności. Wszyscy podróżni są poddawani maksymalnej kontroli.
Text/a9/text,To działa. Ulotki się rozprzestrzeniają. Ludzie zadają pytania o [color=DARK_VIOLET]Root Reserve[/color].
Text/aa/text,"Mam źródła, które mówią mi, że w biurze Russeta jest rejestr wysyłek - manifesty transportowe, które mogłyby [tornado radius=3 freq=2][color=CHARTREUSE]udowodnić wszystko[/color][/tornado]."
Text/ab/text,"Potrzebuję twojej pomocy, żeby go zdobyć. Dziś wieczorem, po ostatniej zmianie. Czy mogę na ciebie liczyć?"
Choice/ac/text,Jestem w to zaangażowany. Ujawnijmy prawdę.
Choice/ad/text,"Nie wiem, Sasza... to może być niebezpieczne."
Text/ae/text,"Dzięki Bogu. Wiedziałem, że masz [color=CHARTREUSE]silniejsze korzenie niż inni[/color]. Spotkamy się o północy."
Text/af/text,"Czasami musimy [color=CHARTREUSE]zaryzykować zmiażdżenie, aby zrobić to, co słuszne[/color]. Pomyśl o tym."
Text/b0/text,"[color=DARK_ORANGE]Kontrola lojalności[/color]. Proszę podać swoje imię i identyfikator funkcjonariusza. Następnie proszę powiedzieć, dlaczego służysz Spudowi."
Choice/b1/text,"Służę, aby chronić nasze granice przed niebezpiecznymi wpływami."
Choice/b2/text,"Służę, aby zapewnić wszystkim sprawiedliwe traktowanie."
Text/b3/text,"Dobra odpowiedź. Spud potrzebuje lojalnych obrońców. Skaner pokazuje kolor zielony. Kontynuuj, funkcjonariuszu."
Text/b4/text,"Brwi funkcjonariusza unoszą się. Sprawiedliwe traktowanie? Skaner miga na [color=DARK_ORANGE]bursztynowo[/color]. Pamiętaj, naszym głównym zmartwieniem jest bezpieczeństwo, nie sprawiedliwość."
Text/b5/text,Dzisiejsza kwota została zwiększona. Każdy z podejrzanych materiałów ma być oznaczony do [color=DARK_VIOLET]specjalnego przetwarzania[/color].
Text/b6/text,Będę [color=DARK_ORANGE]uważnie obserwować twoje decyzje[/color] dzisiaj.
Text/b7/text,Dzisiejsza noc może wszystko zmienić. Ale najpierw [color=YELLOW]przetrwaj dzień bez wzbudzania podejrzeń[/color].
Choice/ac/disabled_text,
Choice/b2/disabled_text,
Choice/b1/disabled_text,
Choice/ad/disabled_text,
Text/b4_viktor1/text,"Krzepki strażnik łapie cię za ramię, gdy przechodzisz. Na jego twarzy maluje się zmartwienie."
Text/b4_viktor2/text,"Hej... przepraszam, że przeszkadzam. Jesteś jednym z celników, prawda? Nazywam się [color=CHARTREUSE]Wiktor[/color]."
Text/b4_viktor3/text,"Pytałem już wszystkich o moją żonę, [color=GOLD]Elenę[/color]. Elena Pietrow. Przekroczyła to przejście graniczne trzy tygodnie temu."
Text/b4_viktor4/text,"[color=STEEL_BLUE]Nie przeszła kontroli.[/color] Powiedzieli, że zostanie przetworzona i wróci do domu, ale... nic nie słyszałem."
Text/b4_viktor5/text,"Jego głos drży. Nikt nic mi nie chce powiedzieć. Czy wiesz, dokąd trafiają odrzuceni podróżni?"
Choice/b4_viktor6/text,"""Przykro mi, [color=CHARTREUSE]Wiktorze[/color]. Nie wiem. Ale będę mieć oczy otwarte."""
Choice/b4_viktor7/text,"""Nie mogę rozmawiać o szczegółach przetwarzania. Protokoły bezpieczeństwa."""
Text/b4_viktor8/text,"W oczach [color=CHARTREUSE]Wiktora[/color] pojawia się iskierka nadziei. [color=CHARTREUSE]Dziękuję.[/color] Cokolwiek się dowiesz... proszę. Ona jest wszystkim, co mam."
Text/b4_viktor9/text,"[color=CHARTREUSE]Wiktor[/color] kiwa głową, przygnębiony. [color=STEEL_BLUE]Ach, tak. Protokoły.[/color] Rozumiem."
Text/b4_viktor10/text,"Ale jeśli zmienisz zdanie... [color=YELLOW]Muszę wiedzieć, co się z nią stało.[/color]"
