keys,da
Character/173/name,Radioværten
Character/174/name,Medtjenesteperson
Character/175/name,Fortæller
Character/176/name,Stille Kartoffel
Character/177/name,Bekymret Kartoffel
Character/178/name,Ældgammel Kartoffel
Character/179/name,Du
Character/17a/name,Premierminister Idaho
Character/17b/name,Modstandsleder
Character/17c/name,Mistroisk Modstandsmedlem
Character/17d/name,Fræk Modstandsmedlem
Character/17e/name,Sikkerhedschef
Character/17f/name,Sikkerhedsofficer
Character/180/name,Kartoffel Mosersen
Character/181/name,Tilsynsførende Russet
Character/181/nicknames,"Russ,Russet,Tilsynsførende Russet"
Character/182/name,Sødkartoffel Sasha
Character/183/name,Nervøs Rejsende
Character/183/nicknames,
Character/173/nicknames,
Character/182/nicknames,
Character/180/nicknames,
Character/17f/nicknames,
Character/17e/nicknames,
Character/17d/nicknames,
Character/17c/nicknames,
Character/17b/nicknames,
Character/17a/nicknames,
Character/179/nicknames,
Character/178/nicknames,
Character/177/nicknames,
Character/176/nicknames,
Character/175/nicknames,
Character/174/nicknames,
