keys,ja
Text/265/text,シフトは不穏な静寂の中で終わる。警備の巡回は倍増し、誰もが囁き声で動いている。
Text/266/text,自室へ向かう途中、聞こえてくる――[color=YELLOW]士官棟からの叫び声[/color]が。
Text/267/text,角を曲がると、警備隊が[pulse freq=3][color=RED]サーシャのドアを蹴破っている[/color][/pulse]のが見える。
Text/268/text,ユーコン主任の声が響き渡る。「サツマイモのサーシャ！貴様を[color=CRIMSON]ポテト国に対する反逆罪[/color]で逮捕する！」
Text/269/text,サーシャはもがきながら引きずり出される。警備兵に腕を背中に回されても、その目は反抗的だ。
Text/26a/text,[tornado radius=4 freq=3][color=CHARTREUSE]真実は暴かれる！私たち全員を黙らせることはできない！[/color][/tornado]
Text/26b/text,彼女の視線が見物人の群れの中にいるあなたを捉える。時間が凍り付いたようだ。
Text/26c/text,認識…そして[color=CRIMSON]打ちのめされるような理解[/color]。あなたが彼女の居場所を裏切った。彼女は知っている。
Text/26d/text,彼女は何も言わない。その視線だけで十分だ。[color=STEEL_BLUE]憎しみよりも深い失望[/color]。
Text/26e/text,何かの一瞬のきらめき――[color=CHARTREUSE]希望？信頼？[/color]――が彼女の顔をよぎる。
Text/26f/text,彼女の唇が音もなく動く：「[color=CHARTREUSE]根は深く張る。[/color]」メッセージ。そして、思い出させるもの。
Text/270/text,ラセットが影から現れる。あらゆる毛穴から満足感が滲み出ている。
Text/271/text,ふむふむ。[color=CRIMSON]甘いサツマイモも酸っぱくなる[/color]ものだな。お前には昔から何か腐ったものがあると思っていたぞ、サーシャ。
Text/272/text,ラセットがフォルダーを掲げる。お前のくだらない[color=DARK_VIOLET]計画書[/color]だ。お前の「証拠」とやら。全て回収したぞ。
Text/273/text,まさか[pulse freq=2][color=DARK_VIOLET]ルート・リザーブ[/color][/pulse]を、この私を、揺るがせられるとでも思ったのか？
Text/274/text,コピーはもう出回っている、ラセット。世界がお前が我々の民に何をしているかを知るだろう！
Text/275/text,ラセットは冷たく笑う。奴らは我々が教えることだけを知るだろう。そしてお前は？お前は[color=CRIMSON]非常に特別な一団[/color]の一員となる。
Text/276/text,「[color=DARK_VIOLET]裏切り者のブレンド[/color]」――なかなか響きがいいだろう？
Text/277/text,心臓が激しく脈打つ。あらゆる本能が何かをしろと叫ぶ。しかし、警備兵はどこにでもいる。
Choice/278/text,前へ出て彼女を解放するよう要求する（無謀）
Choice/279/text,身を隠す――別の日に戦うために生き残る（現実的）
Choice/27a/text,サーシャと目を合わせ、頷く――約束（決意）
Text/27b/text,あなたは群衆を押し分けて進む。「[color=CHARTREUSE]待て！彼女は何も悪いことをしていない！[/color]」
Text/27c/text,ユーコンの頭があなたの方へ向く。「[color=RED]そいつも捕らえろ！[/color]明らかに共犯者だ！」
Text/27d/text,マーフィーがあなたを掴み、引き戻す。「[color=STEEL_BLUE]混乱しているんだ！逃げろ！[/color]」
