keys,cs
sex_male,Muž
sex_female,Žena
condition_fresh,Čerstvý
condition_extra_eyes,Extra oči
condition_rotten,Zkažený
condition_sprouted,Naklíčený
condition_dehydrated,Dehydrovaný
condition_frozen,Zmrazený
race_russet,Russet
race_yukon_gold,Yukon Gold
race_sweet_potato,Sladká brambora
race_purple_majesty,Purple Majesty
country_spudland,Spudlandie
country_potatopia,Potatopie
country_tuberstan,Tuberstán
country_north_yamnea,Severní Yamnea
country_spuddington,Spuddington
country_tatcross,Tatcross
country_mash_meadows,Kašové louky
country_tuberville,Tuberville
country_chip_hill,Kopec lupínků
country_murphyland,Murphyland
country_colcannon,Colcannon
country_pratie_point,Pratie Point
