keys,el
Character/173/name,Εκφωνητής Ραδιοφώνου
Character/174/name,Μέρφι
Character/175/name,Αφηγητής
Character/176/name,Ήσυχη Πατάτα
Character/177/name,Ανησυχούσα Πατάτα
Character/178/name,Αρχαία Πατάτα
Character/179/name,You
Character/17a/name,Πρωθυπουργός Άινταχο
Character/17b/name,Αρχηγός Αντίστασης
Character/17c/name,Δύσπιστο Μέλος Αντίστασης
Character/17d/name,Θρασύ Μέλος Αντίστασης
Character/17e/name,Αρχηγός Ασφαλείας
Character/17f/name,Αξιωματικός Ασφαλείας
Character/180/name,Σπαντ Μάσερσον
Character/181/name,Επόπτης Ράσετ
Character/181/nicknames,"Ρας,Ράσετ,Επόπτης Ράσετ"
Character/182/name,Γλυκοπατάτα Σάσα
Character/183/name,Νευρικός Ταξιδιώτης
Character/184/name,Βίκτορ
Character/183/nicknames,
Character/184/nicknames,
Character/173/nicknames,
Character/182/nicknames,
Character/180/nicknames,
Character/17f/nicknames,
Character/17e/nicknames,
Character/17d/nicknames,
Character/17c/nicknames,
Character/17b/nicknames,
Character/17a/nicknames,
Character/179/nicknames,
Character/178/nicknames,
Character/177/nicknames,
Character/176/nicknames,
Character/175/nicknames,
Character/174/nicknames,
