keys,zh-CN
sex_male,男性
sex_female,女性
condition_fresh,新鲜
condition_extra_eyes,多余芽眼
condition_rotten,腐烂
condition_sprouted,发芽
condition_dehydrated,脱水
condition_frozen,冷冻
race_russet,褐皮
race_yukon_gold,育空黄金
race_sweet_potato,甘薯
race_purple_majesty,紫色帝王
country_spudland,薯国
country_potatopia,薯托邦
country_tuberstan,块茎斯坦
country_north_yamnea,北薯蓣尼亚
country_spuddington,薯丁顿
country_tatcross,塔特十字
country_mash_meadows,薯泥草甸
country_tuberville,块茎维尔
country_chip_hill,薯片山
country_murphyland,墨菲兰
country_colcannon,科尔坎农
country_pratie_point,普拉蒂角
