keys,ru
patch_1_2_0_title,SPUD CUSTOMS 1.2.0 - ЗАМЕТКИ ОБ ОБНОВЛЕНИИ
patch_1_2_0_personal_note_header,ЛИЧНАЯ ЗАМЕТКА ОТ РАЗРАБОТЧИКА
patch_1_2_0_personal_note,"Это обновление посвящается моему малышу, который провёл первые месяцы жизни в реанимации для новорождённых — от 1 фунта при рождении до нынешних 20 фунтов чистой радости. Спасибо всем, кто присоединился к этому путешествию — более 2000 игроков уже опробовали Spud Customs!"
patch_1_2_0_visual_header,ВИЗУАЛЬНЫЕ УЛУЧШЕНИЯ
patch_1_2_0_visual_1,Интеграция анимированного арта: Добавлены новые анимированные GIF-изображения от StagNation в начальные сцены
patch_1_2_0_visual_2,"Переработка графики: Перерисованы первые пять сцен, которые видят игроки, для улучшения визуального качества"
patch_1_2_0_visual_3,Динамические фоны: Фоновые изображения теперь меняются по мере увеличения сложности
patch_1_2_0_story_header,СЮЖЕТ И ПОВЕСТВОВАНИЕ
patch_1_2_0_story_1,Сохранение выбора: Сюжетные выборы теперь корректно переносятся между всеми уровнями
patch_1_2_0_story_2,Визуальный прогресс: Добавлены визуальные индикаторы прогресса сюжета в основных игровых сценах в зависимости от текущего номера смены
patch_1_2_0_story_3,Исправления разветвлённых диалогов: Исправлены проблемы с разветвлёнными диалогами в финальных сюжетных сценах
patch_1_2_0_bugfix_header,ИСПРАВЛЕНИЯ ОШИБОК
patch_1_2_0_bugfix_1,Система достижений: Исправлено отслеживание достижений — все достижения теперь разблокируются корректно
patch_1_2_0_bugfix_2,"Таблица лидеров: Исправлена проблема, при которой таблица лидеров зависала на загрузке"
patch_1_2_0_bugfix_3,Тряска экрана: Тряска экрана теперь корректно сбрасывается в исходное положение после каждого использования
patch_1_2_0_bugfix_4,Масштабирование сложности: Исправлен коэффициент масштабирования для лёгкого режима
patch_1_2_0_bugfix_5,Отображение фонов: Исправлено отсутствие фонов во время диалоговых сцен
patch_1_2_0_bugfix_6,Читаемость текста: Улучшена цветовая схема текста для лучшей читаемости
patch_1_2_0_engagement_header,ВОВЛЕЧЁННОСТЬ ИГРОКОВ
patch_1_2_0_engagement_1,Запросы на отзывы: Добавлены запросы на отзывы для игроков демо-версии и полной игры
patch_1_2_0_engagement_2,Исправления перевода: Различные улучшения перевода для всех поддерживаемых языков
patch_1_2_0_technical_header,ТЕХНИЧЕСКИЕ УЛУЧШЕНИЯ
patch_1_2_0_technical_1,"Расширенная языковая поддержка: Теперь поддерживаются все 31 язык, поддерживаемые Steam"
patch_1_2_0_technical_2,Переработка системы перевода: Переорганизованы файлы перевода для удобства поддержки
