keys,uk
Text/56/text,Ласкаво просимо до нації Спуд. Земля [pulse freq=2][color=MEDIUM_VIOLET_RED]процвітання для всіх картоплин[/color][/pulse].
Text/57/text,Вас обрано на [color=DARK_ORANGE]вирішальну роль[/color] у захисті наших кордонів.
Text/59/text,"ОСЬ ВОНА! [color=MEDIUM_VIOLET_RED]Могутня стіна[/color], що оберігає нашу націю. Тут ви будете служити, забезпечуючи вхід лише гідним."
Text/5a/text,"Ах, новий паросток. Слухайте уважно, ваша роль [color=DARK_ORANGE]життєво важлива для безпеки Спуду[/color]."
Text/184/text,"Рассет підходить неприємно близько. Я бачив багато паростків, що проходили тут. [color=STEEL_BLUE]Більшість не витримує.[/color]"
Text/184b/text,"Ті, хто ставить забагато запитань? Їх [color=CRIMSON]перепризначають[/color]. Назавжди."
Text/5b/text,Я призначаю вас Митним Офіцером [pulse freq=1][color=MEDIUM_VIOLET_RED]славетного Спуду[/color][/pulse]. Є запитання?
Choice/5c/text,"""Я готовий служити Спуду всім своїм крохмалем!"""
Choice/5d/text,"""Що саме відбувається з відхиленими картоплинами?"""
Text/5e/text,Чудово! Саме такий ентузіазм нам потрібен. Ви можете отримати подяку від [color=VIOLET]Кореневого Резерву[/color].
Text/5f/text,Їх... [color=VIOLET]обробляють[/color]. Згідно з протоколом. [color=VIOLET]Кореневий Резерв[/color] займається всіма деталями.
Text/60/text,Зосередьтеся на своїх обов'язках. [color=DARK_ORANGE]Нічого більше.[/color]
Text/61/text,"Ваша перша зміна починається зараз. Ретельно перевіряйте документи, відмовляйте тим, хто не відповідає нашим стандартам."
Text/62/text,"Виконуйте свою квоту, уникайте штрафів."
Text/62b/text,"І пам'ятайте, [color=MEDIUM_VIOLET_RED]Слава Спуду![/color]"
Choice/5c/disabled_text,
Choice/5d/disabled_text,
