keys,pl
alert_border_runner,"NARUSZYCIEL GRANICY WYKRYTY!\nKliknij, aby wystrzelić pocisk!"
alert_rejected_fleeing,"ODRZUCONY ZIEMNIAK UCIEKA!\nKliknij, aby wystrzelić pocisk!"
alert_runner_escaped,UCIEKINIER ZBIEGŁ!\nDodano Strike!
citation_runner_escaped,Uciekinier zbiegł! Nie udało ci się go w porę przechwycić.
alert_points_deducted,UCIEKINIER ZBIEGŁ!\nDodano Strike!\n-{penalty} punktów!
alert_perfect_hit,IDEALNY STRZAŁ! +{perfect} punktów bonusu celności
alert_perfect_stamp,IDEALNY STEMPEL! +{points} punktów!
alert_combo,COMBO x{mult}! +{streak} punktów bonusu combo
alert_quota_met,"Limit osiągnięty, zmiana zakończona! \nBonus: {bonus} punktów!"
alert_strike_removed,Strike usunięty!
alert_strike_forgiven,+1 Strike Forgiven!
alert_correct_decision,"Podjąłeś słuszną decyzję, funkcjonariuszu.\n+{points} punktów!"
alert_wrong_decision,"Spowodowałeś niepotrzebne cierpienie, funkcjonariuszu...\n+1 Strike!"
alert_potato_should_be_approved,\nTen ziemniak spełnia wszystkie wymagania i powinien zostać zatwierdzony.
incorrect_decision,Nieprawidłowa decyzja przy przetwarzaniu dokumentu.
alert_strike_out,Maksymalna liczba uderzeń przekroczona! Twoja zmiana dobiegła końca.
ui_score,Wynik: {score}
ui_quota,Limit: {current} / {target}
ui_strikes,Upomnienia: {current} / {max}
ui_click_megaphone,"Kliknij megafon, aby wezwać następnego ziemniaka"
ui_drag_document,Przeciągnij dokument do stolika inspekcyjnego
ui_stamp_document,"Wybierz stempel, aby zatwierdzić lub odrzucić"
ui_check_violations,Sprawdź naruszenia dokumentu
Strike removed!,Strike usunięty!
BORDER RUNNER DETECTED!\nClick to launch missile!,"NARUSZYCIEL GRANICY WYKRYTY!\nKliknij, aby wystrzelić pocisk!"
REJECTED POTATO FLEEING!\nClick to launch missile!,"ODRZUCONY ZIEMNIAK UCIEKA!\nKliknij, aby wystrzelić pocisk!"
