keys,ru
Text/240/text,"Вечерняя смена подходит к концу, большинство офицеров ушли. Остались только вы и несколько охранников."
Text/241/text,К вашей станции подходит дородный охранник. «Меня зовут Виктор. Я на ночном дежурстве.»
Text/242/text,"Его глаза усталые, измученные. «Вы новенький, верно? Тот, за кем Рассет постоянно наблюдает?»"
Choice/243/text,Просто пытаюсь делать свою работу. Почему Рассет наблюдает за мной?
Choice/244/text,"Есть что-то, что я должен знать?"
Text/245/text,"Он тяжело пожимает плечами. «Рассет наблюдает за всеми, кто задает вопросы. Моя [color=STEEL_BLUE]жена однажды задавала вопросы[/color].»"
Text/246/text,"Ее больше нет, чтобы задавать вопросы."
Text/247/text,"Он оглядывается, затем понижает голос. «Просто... будьте осторожны, кому доверяете.»"
Text/248/text,"И кого вы [color=CRIMSON]осуждаете[/color]. Некоторые из нас помнят каждое лицо, которое мы отправили на обработку."
Text/249/text,"Подходит нервная картофелина. Документы кажутся в порядке, но вы замечаете [color=CHARTREUSE]незаметный значок в виде листа[/color] на их воротнике."
Text/24a/text,Они протягивают свои документы. Внутри запрятана крошечная записка: «[color=CHARTREUSE]Саша меня послал. Посылка для сети. Пожалуйста.[/color]»
Text/24b/text,"Новый [color=DARK_ORANGE]RealityScan[/color] мигает, готовый к работе, на вашей станции. Один скан, и он обнаружит поддельные элементы в их документах."
Choice/24c/text,"Притвориться, что сканер неисправен, и пропустить их"
Choice/24d/text,"Использовать сканер, как положено — вы не можете рисковать разоблачением"
Choice/24e/text,"Подать сигнал Виктору отвернуться, затем пропустить их"
Text/24f/text,"Вы стучите по сканеру, хмуритесь, стучите снова. «Эта проклятая штука барахлит. Проходите.»"
Text/250/text,Облегчение заливает их лицо. Они беззвучно произносят «[color=CHARTREUSE]Спасибо[/color]» и спешат мимо.
Text/251/text,"Вы ловите его взгляд и киваете в сторону оперативника. Он смотрит на них, затем на вас."
Text/252/text,"Он намеренно поворачивается спиной, изучая стену. «[color=STEEL_BLUE]Сканер глючит весь день.[/color]»"
Text/253/text,"Оперативник проскальзывает. Виктор ничего не говорит, но теперь вы поделились секретом."
Text/254/text,Вы запускаете сканирование. Машина [color=RED]громко сигналит[/color]. «Обнаружены поддельные документы.»
Text/255/text,"Ужас отражается на их лице. «[color=CRIMSON]Вы не понимаете, что натворили...[/color]»"
Text/256/text,"Он и другие охранники приближаются. Оперативника утаскивают, все еще глядя на вас."
Text/257/text,Саша ловит вас в тенях. «Тот оперативник нес [color=CHARTREUSE]копии манифестов[/color] нашим контактам снаружи.»
Text/258/text,Из-за вас правда распространится за пределы границ Спада. «[color=CHARTREUSE]Вы действительно что-то изменили.[/color]»
Text/259/text,Глаза Саши расширяются. Виктор помог? У меня было предчувствие насчет него. Его жена была...
Text/25a/text,"Она замолкает. У нас больше союзников, чем я думала."
Text/25b/text,"Саша находит вас, ее выражение лица холодно. У того оперативника была семья. Трое ростков дома."
Text/25c/text,Я понимаю страх. Но [color=CRIMSON]у страха есть последствия[/color]. Их обработают к утру.
Text/25d/text,"Надеюсь, ваш чистый послужной список того стоил."
Text/25e/text,"Мерфи проскальзывает в вашу квартиру. Слышал, сегодня вечером на вашей станции было кое-что интересное."
Text/25f/text,[color=CHARTREUSE]Хорошо. Теперь мы в этом вместе.[/color] Обратного пути нет.
Text/260/text,"Лицо Мерфи омрачается. Я... Я думал, ты был с нами. Что случилось?"
Text/261/text,Завтрашняя смена будет другой. Ставки никогда не были так высоки.
Text/262/text,"Но впервые вы чувствуете, что находитесь на [color=CHARTREUSE]правильной стороне[/color]. Чего бы это ни стоило."
Text/263/text,"Лицо оперативника преследует вас. Их семья никогда не узнает, почему они не вернулись домой."
Text/264/text,[color=STEEL_BLUE]Из-за вас.[/color]
Choice/243/disabled_text,
Choice/244/disabled_text,
Choice/24c/disabled_text,
Choice/24d/disabled_text,
Choice/24e/disabled_text,
