keys,zh-TW
Text/299_suppress1/text,隨著抵抗軍的襲擊開始，混亂爆發。爆炸震撼檢查站。
Text/299_suppress2/text,你可以逃跑。你可以躲藏。然而，你[color=DARK_ORANGE]選擇了你的立場[/color]。
Text/299_suppress3/text,褐皮抓住了你的手臂。[pulse freq=2][color=YELLOW]現在是你的機會！[/color][/pulse]證明你的忠誠！
Text/299_suppress4/text,抵抗軍正試圖突破東門！[color=CRIMSON]阻止他們！[/color]
Text/299_suppress5/text,你握緊了武器。這些可能是你認識的人。你曾幫助過的人。
Text/299_suppress6/text,但生存是有代價的。[color=DARK_ORANGE]你已經做出了選擇。[/color]
Text/299_suppress7/text,[pulse freq=3][color=CRIMSON]為國家而戰！[/color][/pulse]鎮壓抵抗軍的襲擊！
Text/299_suppress8/text,當硝煙散去，屍體遍佈地面。有些人佩戴著抵抗軍徽章。
Text/299_suppress9/text,[color=STEEL_BLUE]你在倒下的人群中認出了面孔。[/color]
Text/299_suppress10/text,墨菲躺在死者之中。他的雙眼茫然地凝視著虛空。湯米的相片緊握在他的手中。
Text/299_suppress11/text,[color=STEEL_BLUE]他為自己所信仰的事物而戰死。你卻親手扼殺了它。[/color]
Text/300/text,抵抗軍的襲擊失敗了。檢查站屹立不倒，比以往任何時候都更堅固。而你依然堅守崗位。
Text/301/text,[pulse freq=2][color=GOLD]愛達荷總理萬歲！[/color][/pulse]薯國的捍衛者！叛徒的征服者！
Text/302/text,一顆身著華麗禮服的巨大馬鈴薯，在精銳衛兵的簇擁下，從一輛裝甲車上下來。
Text/303/text,愛達荷用冰冷而算計的眼神審視著檢查站。
Text/304/text,褐皮急忙上前，深深地鞠了一躬。總理！您的蒞臨令我們深感榮幸！
Text/305/text,叛徒已按照您的命令[color=DARK_VIOLET]處理[/color]完畢。本季度產量增長了40%！
Text/306/text,這就是那位在起義期間保持忠誠的警官嗎？
Text/307/text,是的，總理。堅定不移的奉獻。舉報了可疑活動。一位模範公民。
Text/308/text,愛達荷上前，將一枚獎章別在你的胸前——[color=GOLD]黃金薯塊[/color]。
Text/309/text,為了卓越的貢獻。你已證明，[color=DARK_ORANGE]對薯國的忠誠[/color]永遠會得到回報。
Choice/30a/text,謝謝您，總理。薯國萬歲。
Choice/30b/text,我只是盡我的職責，長官。（強顏歡笑）
Text/30c/text,愛達荷的笑容沒有達到眼底。是的。你確實做到了。
Text/30d/text,愛達荷審視了你許久。職責。[color=STEEL_BLUE]一個如此簡單的詞，卻代表著如此複雜的行為。[/color]
Text/30e/text,我想知道，那些如此「盡忠職守」的人，會被什麼[color=CRIMSON]惡夢[/color]糾纏。
Text/30f/text,為了慶祝勝利，一場盛宴正在舉行。餐桌上擺滿了食物，其中不乏大份的[color=DARK_VIOLET]根莖珍藏[/color]。
Text/310/text,羅素舉起一杯濃稠的紫色液體。「乾杯！敬那些滋養我們的[color=CRIMSON]叛徒[/color]！」
Text/311/text,房間裡傳來笑聲。有些人笑得緊張，大多數人則是真心實意地笑。
