keys,uk
Text/3a/text,"Контрольно-пропускний пункт було відбудовано після атаки опору. Безпека безпрецедентна, з пропагандистськими трансляціями, що вихваляють «хоробрих захисників»."
Text/3b/text,Мене підвищили до Регіонального директора з прикордонної безпеки та [pulse freq=2]Розподілу Кореневого Резерву[/pulse].
Text/3c/text,Рассет прикріплює невелику медаль до вашої форми. Помічник Регіонального Директора... за вашу непохитну вірність Спуду.
Text/3d/text,У мене особливе завдання! Сьогодні наш об'єкт інспектуватиме Прем'єр-міністр Айдахо. Вас обрано для демонстрації.
Text/3e/text,"Ти бачив нову партію Кореневого Резерву? Його називають «Сумішшю Опору» після того, що сталося з тими полоненими."
Text/3f/text,"Дехто каже, що опір не був повністю неправим. Що є [wave amp=15 freq=3]докази, що вони говорили правду[/wave]..."
Choice/40/text,"""Будь обережним. Навіть такі розмови зараз небезпечні."""
Choice/41/text,"""У мене були такі ж думки. Це здається неправильним."""
Text/42/text,Вже не всі вірять офіційній історії. Тримай очі відкритими під час візиту Прем'єр-міністра.
Text/43/text,"Формується новий опір. Тихіший, обережніший. Якщо хочеш дізнатися більше... шукай жовту емблему Спуду."
Text/44/text,УВАГА: Прибув кортеж Прем'єр-міністра Айдахо. Усі офіцери на призначені пости. Протоколи інспекції в дії.
Text/45/text,"Твоя медаль здається важкою — нагорода за вірність, чи знак ганьби? Скоро ти зустрінешся з архітектором Кореневого Резерву."
Text/46/text,"Після трансляції, що викрила Кореневий Резерв, повстання спалахнули по всьому Спуду. Прем'єр-міністр Айдахо залишається забарикадованим в адміністративній будівлі."
Text/47/text,"Айдахо планує останню трансляцію, щоб звинуватити нас у Кореневому Резерві. Ми не можемо дозволити йому переписати історію. Сьогодні ми покладемо край його режиму."
Text/48/text,Ти врятував моє життя на переробному заводі. Тепер у нас є шанс врятувати весь Спуд.
Text/49/text,Твої знання протоколів безпеки будуть вирішальними для фінальної місії. Ти готовий?
Choice/4a/text,"""Я готовий. Давай закінчимо те, що почали."""
Choice/4b/text,"""Який саме план? Мені потрібні деталі."""
Text/4c/text,"Я знав, що ти не відступиш. Ти один з наших [tornado radius=3 freq=2]найсильніших союзників[/tornado]."
Text/4d/text,"Ми проникнемо, використовуючи урядову форму. Ти допоможеш обійти системи безпеки. Наша мета — захопити Айдахо та змусити його до публічного зізнання."
Text/4e/text,"Ти будеш у команді Альфа з Сашею, прориваючись через східний вхід. Твоя мета: [color=GREEN]захопити центр мовлення[/color]."
Text/4f/text,"Від вірного митника до бійця опору? Це трансформація, яку ти ніколи не уявляв. Що б не сталося, Спуд ніколи не буде колишнім."
Choice/40/disabled_text,
Choice/41/disabled_text,
Choice/4a/disabled_text,
Choice/4b/disabled_text,
