keys,zh-CN
patch_1_2_0_title,土豆海关 1.2.0 - 更新说明
patch_1_2_0_personal_note_header,开发者寄语
patch_1_2_0_personal_note,本次更新献给我家的小宝贝，他/她出生后在新生儿重症监护室（NICU）度过了最初几个月——从出生时1磅的体重，到现在20磅的纯粹喜悦。感谢所有加入这段旅程的玩家——目前已有超过2000名玩家体验了《土豆海关》！
patch_1_2_0_visual_header,视觉优化
patch_1_2_0_visual_1,动画美术整合：将StagNation制作的新动画GIF整合到开场场景中
patch_1_2_0_visual_2,美术重制：为提升视觉质量，重绘了玩家首次看到的五个场景
patch_1_2_0_visual_3,动态背景：随着难度增加，背景画面现在会发生变化
patch_1_2_0_story_header,剧情与叙事
patch_1_2_0_story_1,选择保留：叙事选择现在能正确地在所有关卡中保留
patch_1_2_0_story_2,进度可视化：根据当前班次编号，在主要游戏场景中添加了剧情进度可视化指示器
patch_1_2_0_story_3,分支对话修复：修复了最终叙事场景中分支对话的问题
patch_1_2_0_bugfix_header,Bug修复
patch_1_2_0_bugfix_1,成就系统：修复了成就追踪问题——所有成就现在都能正常解锁
patch_1_2_0_bugfix_2,排行榜：修复了排行榜卡在加载界面的问题
patch_1_2_0_bugfix_3,屏幕震动：屏幕震动效果现在每次使用后都能正确复位
patch_1_2_0_bugfix_4,难度调整：修复了简单模式的缩放系数
patch_1_2_0_bugfix_5,背景显示：修复了对话场景中背景缺失的问题
patch_1_2_0_bugfix_6,文本可读性：改进了文本颜色，以提高可读性
patch_1_2_0_engagement_header,玩家互动
patch_1_2_0_engagement_1,评论提示：为试玩版和完整版玩家添加了评论提示
patch_1_2_0_engagement_2,翻译改进：改进了所有支持语言的各种翻译
patch_1_2_0_technical_header,技术改进
patch_1_2_0_technical_1,扩展语言支持：现在支持所有31种Steam支持的语言
patch_1_2_0_technical_2,翻译系统优化：重新组织了翻译文件，以提高可维护性
