keys,id
Character/173/name,Penyiar Radio
Character/174/name,Petugas Rekan
Character/175/name,Narator
Character/176/name,Kentang Pendiam
Character/177/name,Kentang Khawatir
Character/178/name,Kentang Kuno
Character/179/name,Anda
Character/17a/name,Perdana Menteri Idaho
Character/17b/name,Pemimpin Perlawanan
Character/17c/name,Anggota Perlawanan yang Tidak Percaya
Character/17d/name,Anggota Perlawanan yang Berani
Character/17e/name,Kepala Keamanan
Character/17f/name,Petugas Keamanan
Character/180/name,Kentang Tumbuksono
Character/181/name,Pengawas Russet
Character/181/nicknames,"Russ,Russet,Pengawas Russet"
Character/182/name,Ubi Jalar Sasha
Character/183/name,Pelancong Gugup
Character/183/nicknames,
Character/173/nicknames,
Character/182/nicknames,
Character/180/nicknames,
Character/17f/nicknames,
Character/17e/nicknames,
Character/17d/nicknames,
Character/17c/nicknames,
Character/17b/nicknames,
Character/17a/nicknames,
Character/179/nicknames,
Character/178/nicknames,
Character/177/nicknames,
Character/176/nicknames,
Character/175/nicknames,
Character/174/nicknames,
Character/184/name,Viktor
