keys,id
Text/b8/text,"Fasilitas perbatasan dalam penguncian total, dengan keamanan bersenjata berpatroli di setiap koridor."
Text/b9/text,[pulse freq=3][color=RED]PERHATIAN! Situasi keamanan LEVEL MERAH![/color][/pulse] Dokumen rahasia telah dicuri tadi malam.
Text/ba/text,Kita memiliki [tornado radius=4 freq=3][color=CRIMSON]pengkhianat di antara kita[/color][/tornado]. Siapa pun yang menyembunyikan informasi akan diperlakukan sebagai kaki tangan.
Text/bb/text,"Semua petugas, berbaris untuk [wave amp=15 freq=2][color=DARK_ORANGE]pemindaian keamanan[/color][/wave]. Mereka dengan respons stres yang meningkat akan ditandai."
Text/bc/text,Apakah kamu melihat apa yang terjadi di luar? Pamflet di mana-mana menunjukkan bahwa [color=DARK_VIOLET]Root Reserve[/color] terbuat dari... [pulse freq=3][color=CRIMSON]dari kita[/color][/pulse].
Choice/bd/text,Pelankan suaramu. Kita semua sedang diawasi.
Choice/be/text,Aku telah mendengar rumor yang sama. Mengerikan jika itu benar.
Choice/bf/text,Itu propaganda konyol. Jangan sebarkan kebohongan seperti itu.
Text/c0/text,Kamu benar. Tapi jika itu benar... apa artinya bagi kita?
Text/c1/text,Sepupuku ditolak bulan lalu. Apakah itu berarti...? Aku [color=CHARTREUSE]tidak bisa melakukan ini lagi[/color].
Text/c2/text,Ekspresi mereka menjadi waspada. Tentu saja. Setia pada Spud selamanya.
Text/c3/text,Nyatakan keberadaan Anda tadi malam antara pukul 22:00 dan 04:00.
Choice/c4/text,"Saya berada di ruangan saya sepanjang malam, tidur."
Choice/c5/text,Saya lebih suka berbicara dengan perwakilan hukum saya terlebih dahulu.
Text/c6/text,Tingkat stres Anda menunjukkan [color=YELLOW]kebohongan[/color]. Namun... tidak meyakinkan. Anda boleh pergi untuk saat ini.
Text/c7/text,"Perwakilan hukum? Ini adalah prosedur keamanan, bukan pengadilan. Penolakan Anda telah dicatat."
Text/c8/text,"Ini berhasil. Manifesto telah menyebabkan kegemparan, tetapi [color=DARK_ORANGE]Russet mencurigai kita[/color]."
Text/c9/text,Perhatikan sekutu dari organisasi kita selama shift hari ini. [color=CHARTREUSE]Kamu akan mengenali mereka[/color].
Text/ca/text,"Jika kamu bisa membawa mereka dengan aman, gunakan [color=CHARTREUSE]tanda khusus yang kita bicarakan[/color]."
Choice/cb/text,Ini sepadan dengan risikonya. Aku ikut.
Choice/cc/text,Ini menjadi terlalu berbahaya. Mungkin kita harus merendah dulu.
Text/cd/text,"Aku tahu aku bisa mengandalkanmu. Ketika ini semua berakhir, [color=CHARTREUSE]Spud akan tahu siapa pahlawan sesungguhnya[/color]."
Text/ce/text,Kita sudah jauh melewati titik itu. Bersembunyi tidak akan menyelamatkan kita. [color=CHARTREUSE]Hanya menumbangkan sistem yang akan[/color].
Text/cf/text,Setiap stasiun sekarang memiliki [color=DARK_ORANGE]sistem RealityScan baru[/color]. Ini mendeteksi tanda dan pemalsuan yang tidak sah.
Text/d0/text,Semua dokumen harus dipindai sebelum disetujui. [color=CRIMSON]Para pengkhianat akan diberantas[/color]. Saya jamin itu.
Text/d1/text,"Membantu anggota perlawanan baru saja menjadi jauh lebih berbahaya, tetapi [color=CHARTREUSE]kebenaran harus tersebar[/color]."
Choice/bd/disabled_text,
Choice/be/disabled_text,
Choice/bf/disabled_text,
Choice/c4/disabled_text,
Choice/c5/disabled_text,
Choice/cb/disabled_text,
Choice/cc/disabled_text,
Text/c7_viktor1/text,Seorang penjaga keamanan kekar mendekat saat Anda istirahat. Wajahnya kuyu.
Text/c7_viktor2/text,"Hei... Anda salah satu petugas bea cukai, kan? Saya sudah bertanya-tanya tentang istri saya, Elena."
Text/c7_viktor3/text,Dia melewati pos pemeriksaan ini tiga minggu lalu. [color=STEEL_BLUE]Gagal inspeksi.[/color] Saya belum mendengar kabar darinya sejak itu.
Choice/c7_viktor4/text,"""Viktor... Saya menemukan sesuatu. Tentang Elena. Anda perlu tahu kebenarannya."""
Choice/c7_viktor5/text,"""Maaf, Viktor. Saya belum melihat apa pun."" (Berbohong untuk melindunginya)"
Text/c7_viktor6/text,Anda menunjukkan kepadanya salinan halaman manifes. Wajahnya memucat.
Text/c7_viktor7/text,[wave amp=25 freq=3]Tangannya gemetar saat membaca.[/wave] [color=GOLD]Elena Petrov[/color]... [color=CRIMSON]Diproses... Batch RR-2851...[/color]
Text/c7_viktor8/text,Suaranya nyaris tak terdengar. [tornado radius=3 freq=2][color=CRIMSON]Mereka... mereka MENGUBAHnya menjadi...[/color][/tornado]
Text/c7_viktor9/text,Kesedihannya berubah menjadi kemarahan dingin. [pulse freq=2][color=CRIMSON]Idaho akan membayar untuk ini.[/color][/pulse] Aku bersumpah demi kenangannya.
Text/c7_viktor10/text,Dia mencengkeram bahu Anda. [color=CHARTREUSE]Terima kasih sudah memberitahuku.[/color] Ketika saatnya tiba... Aku akan mengingat ini.
Text/c7_viktor11/text,Dia mengangguk sedih. [color=STEEL_BLUE]Sudah kuduga.[/color] Tidak ada yang tahu apa-apa. Atau tidak ada yang mau bicara.
Text/c7_viktor12/text,Jika Anda mendengar sesuatu... [color=YELLOW]tolong.[/color] Dia satu-satunya yang kumiliki.
Text/d0_qte1/text,"Kemudian di giliran kerja itu, seorang pelancong mendekat dengan dokumen yang memiliki [color=CHARTREUSE]tanda perlawanan samar[/color]."
Text/d0_qte2/text,[color=DARK_ORANGE]RealityScan[/color] memulai pemindaiannya. [wave amp=15 freq=3][color=RED]Ini akan mendeteksi tanda itu![/color][/wave]
Text/d0_qte3/text,Anda punya waktu beberapa detik untuk memutuskan. Pemindai sedang memanas...
Choice/d0_qte4/text,"""Palsukan kerusakan pemindai - cepat!"" (Bantu perlawanan)"
Choice/d0_qte5/text,"""Biarkan pemindai menyelesaikan pemindaiannya"" (Ikuti protokol)"
Text/d0_qte6/text,[pulse freq=3][color=YELLOW]Anda harus bekerja cepat![/color][/pulse] Picu kerusakan sebelum selesai memindai!
Text/d0_qte7/text,Anda meraba-raba kabel pemindai. Percikan api beterbangan. Layar berkedip dan mati.
