keys,th
patch_1_2_0_title,SPUD CUSTOMS 1.2.0 - บันทึกการอัปเดต
patch_1_2_0_personal_note_header,ข้อความส่วนตัวจากผู้พัฒนา
patch_1_2_0_personal_note,"การอัปเดตนี้ขอมอบให้กับลูกน้อยของผม ผู้ที่ใช้เวลาช่วงเดือนแรกของชีวิตในห้อง NICU - จากน้ำหนัก 1 ปอนด์เมื่อแรกเกิด สู่ 20 ปอนด์แห่งความสุขในวันนี้ ขอขอบคุณทุกคนที่ร่วมเดินทางมาด้วยกัน - ผู้เล่นกว่า 2,000 คนได้สัมผัสประสบการณ์ Spud Customs แล้ว!"
patch_1_2_0_visual_header,การปรับปรุงด้านภาพ
patch_1_2_0_visual_1,การรวมงานศิลปะแบบเคลื่อนไหว: ได้นำ GIF แอนิเมชันใหม่จาก StagNation มาใช้ในฉากเปิดเกม
patch_1_2_0_visual_2,การยกเครื่องงานศิลปะ: วาดฉากห้าฉากแรกที่ผู้เล่นเห็นใหม่ เพื่อคุณภาพการแสดงผลที่ดียิ่งขึ้น
patch_1_2_0_visual_3,พื้นหลังแบบไดนามิก: ภาพพื้นหลังจะเปลี่ยนไปตามระดับความยากที่เพิ่มขึ้น
patch_1_2_0_story_header,เนื้อเรื่องและการเล่าเรื่อง
patch_1_2_0_story_1,การจดจำตัวเลือก: ตัวเลือกในการเล่าเรื่องจะคงอยู่ตลอดทุกระดับอย่างถูกต้อง
patch_1_2_0_story_2,การแสดงความคืบหน้าด้วยภาพ: เพิ่มตัวบ่งชี้ภาพความคืบหน้าของเนื้อเรื่องในฉากการเล่นหลักตามหมายเลขกะปัจจุบัน
patch_1_2_0_story_3,แก้ไขบทสนทนาแบบแตกแขนง: แก้ไขปัญหาบทสนทนาแบบแตกแขนงในฉากการเล่าเรื่องสุดท้าย
patch_1_2_0_bugfix_header,การแก้ไขข้อผิดพลาด
patch_1_2_0_bugfix_1,ระบบความสำเร็จ: แก้ไขการติดตามความสำเร็จ - ความสำเร็จทั้งหมดจะปลดล็อกได้อย่างถูกต้องแล้ว
patch_1_2_0_bugfix_2,กระดานผู้นำ: แก้ไขปัญหาที่กระดานผู้นำค้างอยู่ที่หน้ากำลังโหลด
patch_1_2_0_bugfix_3,การสั่นของหน้าจอ: การสั่นของหน้าจอจะกลับสู่ตำแหน่งเดิมอย่างถูกต้องหลังการใช้งานแต่ละครั้ง
patch_1_2_0_bugfix_4,การปรับระดับความยาก: แก้ไขปัจจัยการปรับระดับความยากของโหมดง่าย
patch_1_2_0_bugfix_5,การแสดงผลพื้นหลัง: แก้ไขปัญหาพื้นหลังหายไประหว่างฉากบทสนทนา
patch_1_2_0_bugfix_6,ความสามารถในการอ่านข้อความ: ปรับปรุงการใช้สีข้อความเพื่อให้อ่านง่ายขึ้น
patch_1_2_0_engagement_header,การมีส่วนร่วมของผู้เล่น
patch_1_2_0_engagement_1,การขอรีวิว: เพิ่มข้อความแจ้งเตือนให้รีวิวสำหรับผู้เล่นเวอร์ชันเดโมและเกมเต็ม
patch_1_2_0_engagement_2,การแก้ไขการแปล: ปรับปรุงการแปลหลายส่วนในภาษาที่รองรับทั้งหมด
patch_1_2_0_technical_header,การปรับปรุงทางเทคนิค
patch_1_2_0_technical_1,การขยายการรองรับภาษา: ตอนนี้รองรับ 31 ภาษาที่ Steam รองรับทั้งหมดแล้ว
patch_1_2_0_technical_2,การยกเครื่องระบบการแปล: จัดระเบียบไฟล์การแปลใหม่เพื่อให้ดูแลรักษาง่ายขึ้น
