keys,ja
Text/3a/text,抵抗勢力の攻撃後、検問所は再建されました。警備は前例のないほど厳重で、プロパガンダ放送は「勇敢な防衛者たち」を称賛しています。
Text/3b/text,私は国境警備と[pulse freq=2]根源備蓄配給[/pulse]の地域部長に昇進しました。
Text/3c/text,ラセットがあなたの制服に小さなメダルをピン留めします。地域副部長…スパッドへの揺るぎない忠誠心に対して。
Text/3d/text,特別な任務があります！本日、アイダホ首相が我々の施設を視察します。あなたはデモンストレーションに選ばれました。
Text/3e/text,新しいロットの根源備蓄を見ましたか？捕虜たちに起こったことの後、「抵抗ブレンド」と呼んでいます。
Text/3f/text,抵抗勢力は完全に間違っていなかったと言う者もいます。彼らが真実を語っていたという[wave amp=15 freq=3]証拠がある[/wave]と…
Choice/40/text,「気をつけて。今はそんな話をするのも危険です。」
Choice/41/text,「私も同じことを考えていました。これは何かおかしい。」
Text/42/text,もはや誰もが公式発表を信じているわけではありません。首相の訪問中は目を光らせておいてください。
Text/43/text,新しい抵抗勢力が形成されています。より静かに、より慎重に。もし詳しく知りたいなら…黄色いスパッドのエンブレムに注目してください。
Text/44/text,注意：アイダホ首相の車列が到着しました。全ての将校は指定された持ち場へ。検査プロトコルが発動されました。
Text/45/text,あなたのメダルは重く感じられます――忠誠への報酬か、それとも恥の印か？間もなく、あなたは根源備蓄の設計者と対峙することになるでしょう。
Text/46/text,根源備蓄を暴露する放送の後、スパッド全土で蜂起が勃発しました。アイダホ首相は行政庁舎に立てこもったままです。
Text/47/text,アイダホは、根源備蓄の責任を我々に押し付けるための最後の放送を計画しています。彼に歴史を書き換えさせるわけにはいきません。今日、我々は彼の政権を終わらせます。
Text/48/text,あなたは加工工場で私の命を救ってくれました。今、我々はスパッド全体を救うチャンスがあります。
Text/49/text,あなたのセキュリティプロトコルに関する知識は、最終任務において極めて重要となるでしょう。準備はできていますか？
Choice/4a/text,「準備はできています。始めたことを終わらせましょう。」
Choice/4b/text,「具体的な計画は何ですか？詳細が必要です。」
Text/4c/text,あなたが尻込みしないことは分かっていました。あなたは我々の[tornado radius=3 freq=2]最も強力な味方[/tornado]の一人です。
Text/4d/text,我々は政府の制服を使って潜入します。あなたはセキュリティシステムを迂回するのを手伝ってください。我々の目標はアイダホを捕らえ、公開自白を強要することです。
Text/4e/text,あなたはサーシャと共にアルファチームに加わり、東口を突破します。あなたの目標は：[color=GREEN]放送センターを確保すること[/color]です。
Text/4f/text,忠実な税関職員から抵抗戦士へ？それはあなたが想像もしなかった変貌です。何が起ころうと、スパッドは決して元には戻らないでしょう。
Choice/40/disabled_text,
Choice/41/disabled_text,
Choice/4a/disabled_text,
Choice/4b/disabled_text,
