keys,fr
Text/86/text,Nouveaux protocoles de sécurité aujourd'hui. Nous avons reçu des renseignements sur des [color=YELLOW]activités suspectes[/color].
Text/87/text,Tous les voyageurs doivent subir des procédures d'inspection renforcées.
Text/88/text,"Surveillez les [color=YELLOW]comportements nerveux, les manières inhabituelles ou la réticence à faire un contact visuel[/color]."
Text/89/text,"Tous les objets suspects doivent être confisqués et consignés. Pour la sécurité de Spud, bien sûr."
Text/8a/text,"Nous sommes particulièrement préoccupés par [color=CRIMSON]les matériaux interdits[/color] - littérature anti-gouvernementale, équipement photographique..."
Text/8b/text,"Leur voix baisse de manière menaçante. ""[pulse freq=2][color=DARK_VIOLET]Nous avons des procédures spéciales pour ces individus.[/color][/pulse]"""
Text/8c/text,"[wave amp=15 freq=2][color=DARK_VIOLET]Root Reserve[/color][/wave] des camions déchargent des caisses marquées ""Premium Reserve"" dans la cafétéria. L'odeur est alléchante, mais votre estomac se retourne."
Text/8d/text,Avez-vous goûté le nouveau Premium Reserve ? Mon cousin a disparu le mois dernier. N'a pas passé l'inspection.
Text/8e/text,"Peut-être fait-il partie de ce lot, hein ? [tornado radius=2 freq=2][color=STEEL_BLUE]De l'humour noir, vous comprenez ?[/color][/tornado]"
Choice/8f/text,Ce n'est pas drôle. Pas du tout.
Choice/90/text,Je n'ai pas faim. Excusez-moi. (Partir)
Text/91/text,"Vous avez raison. Parfois, il est plus facile de plaisanter que de penser à [pulse freq=3][color=CRIMSON]ce qui pourrait réellement se passer[/color][/pulse]."
Text/92/text,"L'officier vous regarde partir. ""Je comprends. J'ai aussi perdu l'appétit..."""
Text/93/text,"Timing pratique pour les nouveaux protocoles de sécurité, n'est-ce pas ? [wave amp=15 freq=3][color=YELLOW]Ils essaient d'arrêter les informations sur Root Reserve.[/color][/wave]"
Text/94/text,J'ai quelque chose qui pourrait nous aider. Certaines pommes de terre avec des [color=CHARTREUSE]informations vitales méritent de passer[/color].
Text/95/text,Vous pesez soigneusement vos options. Les choix d'aujourd'hui pourraient aider à [color=CHARTREUSE]répandre la vérité[/color]... ou à [color=CRIMSON]l'étouffer pour toujours[/color].
Choice/8f/disabled_text,
Choice/90/disabled_text,
