keys,es
Text/265/text,El turno termina en un silencio inquietante. Las patrullas de seguridad se han duplicado. Todos se mueven en susurros.
Text/266/text,Te diriges a tus aposentos cuando lo escuchas - [color=YELLOW]gritos del ala de oficiales[/color].
Text/267/text,Doblas la esquina para ver a las fuerzas de seguridad [pulse freq=3][color=RED]derribando la puerta de Sasha a patadas[/color][/pulse].
Text/268/text,"La voz del Jefe Yukon retumba. ¡SASHA, PATATA DULCE! Estás bajo arresto por [color=CRIMSON]traición contra la nación de Spud![/color]"
Text/269/text,"Sasha es arrastrada, forcejeando. Sus ojos son desafiantes incluso mientras los guardias le retuercen los brazos a la espalda."
Text/26a/text,[tornado radius=4 freq=3][color=CHARTREUSE]¡LA VERDAD SALDRÁ A LA LUZ! ¡NO PODÉIS SILENCIARNOS A TODOS![/color][/tornado]
Text/26b/text,Su mirada te encuentra entre la multitud de curiosos. El tiempo parece congelarse.
Text/26c/text,Reconocimiento... luego [color=CRIMSON]una comprensión devastadora[/color]. Tú traicionaste su ubicación. Ella lo sabe.
Text/26d/text,Ella no habla. La mirada es suficiente. [color=STEEL_BLUE]Una decepción más profunda que el odio.[/color]
Text/26e/text,Un destello de algo - [color=CHARTREUSE]¿esperanza? ¿confianza?[/color] - cruza su rostro.
Text/26f/text,"Sus labios se mueven en silencio: ""[color=CHARTREUSE]Las raíces crecen profundas.[/color]"" Un mensaje. Un recordatorio."
Text/270/text,"Russet emerge de las sombras, la satisfacción rezumando por cada poro."
Text/271/text,"Vaya, vaya. La [color=CRIMSON]patata dulce se agria[/color]. Siempre supe que había algo podrido en ti, Sasha."
Text/272/text,"Russet levanta una carpeta. Tus pequeños [color=DARK_VIOLET]manifiestos[/color]. Tu ""evidencia."" Todo recuperado."
Text/273/text,¿De verdad pensaste que podrías socavar [pulse freq=2][color=DARK_VIOLET]Reserva Raíz[/color][/pulse]? ¿Socavarme A MÍ?
Text/274/text,"Las copias ya están ahí fuera, Russet. ¡El mundo sabrá lo que le haces a nuestra gente!"
Text/275/text,Russet ríe fríamente. Sabrán lo que les digamos. ¿Y tú? Serás parte de un [color=CRIMSON]lote muy especial[/color].
Text/276/text,"""[color=DARK_VIOLET]Mezcla de Traidores[/color]"" - Creo que suena bien."
Text/277/text,Tu corazón late con fuerza. Cada instinto grita que hagas algo. Pero los guardias están por todas partes.
Choice/278/text,Da un paso adelante y exige que la liberen (Imprudente)
Choice/279/text,Permanece oculto - vive para luchar otro día (Pragmático)
