keys,vi
Text/d2/text,"Sau ca làm việc của bạn, bạn được dẫn đến một cuộc họp bí mật của phe kháng chiến trong một nhà máy tinh bột bị bỏ hoang."
Text/d3/text,Một củ khoai tây sần sùi với những vết sẹo chiến đấu nói chuyện với nhóm tụ họp.
Text/d4/text,Thời gian cho những lời thì thầm và những tờ rơi đã kết thúc. Chính phủ đã cho thấy bộ mặt thật của họ.
Text/d5/text,Nguồn tin của chúng tôi xác nhận rằng các nhà máy chế biến [wave amp=15 freq=2][color=DARK_VIOLET]Root Reserve[/color][/wave] đang tăng sản lượng.
Text/d6/text,"Điều đó có nghĩa là [tornado radius=3 freq=3][color=CRIMSON]nhiều anh chị em của chúng ta đã biến mất, bị chế biến, bị tiêu thụ[/color][/tornado]."
Text/d7/text,Nhà lãnh đạo đấm mạnh tay lên bàn. [pulse freq=3][color=CHARTREUSE]Điều này kết thúc ngay bây giờ.[/color][/pulse] Chúng ta có kế hoạch tấn công vào trung tâm hoạt động của họ.
Text/d8/text,"Sasha trải ra những kế hoạch chi tiết trên bàn. Trong ba ngày nữa, chúng ta sẽ phát động cuộc tấn công chính."
Text/d9/text,"Trong khi một đội tạo ra sự phân tán tại khu phức hợp chính phủ chính, một đội khác sẽ xâm nhập vào cơ sở Root Reserve lớn nhất."
Text/da/text,"Mục tiêu của chúng ta: thu thập [color=CHARTREUSE]bằng chứng không thể chối cãi[/color] về những gì xảy ra bên trong, phát sóng nó đến toàn bộ Spud."
Text/db/text,Sasha chỉ vào một phần của kế hoạch. Đây là nơi bạn tham gia.
Text/dc/text,Chúng ta cần một người ở bên trong Hải quan Spud để đảm bảo các đặc vụ của chúng ta có thể vượt qua biên giới cho nhiệm vụ.
Text/dd/text,Chúng tôi có thể trông cậy vào bạn để là người đó không?
Choice/de/text,Tôi sẽ làm bất cứ điều gì cần thiết để phơi bày sự thật.
Choice/df/text,Nghe có vẻ nguy hiểm. Nếu chúng ta bị bắt thì sao?
Choice/e0/text,Có cách nào khác không đặt quá nhiều người vào rủi ro không?
Text/e1/text,Khuôn mặt của Sasha rạng rỡ với hy vọng. Cảm ơn bạn. [color=CHARTREUSE]Lòng can đảm của bạn sẽ cứu vô số sinh mạng.[/color]
Text/e2/text,"Cô ấy nắm chặt tay bạn. Khi tất cả này kết thúc, [color=CHARTREUSE]bạn sẽ được nhớ đến như một anh hùng của cuộc cách mạng.[/color]"
Text/e3/text,Sasha gật đầu long trọng. Nó nguy hiểm. Tôi sẽ không nói dối bạn về điều đó.
Text/e4/text,Tất cả chúng ta có thể kết thúc [color=DARK_VIOLET]bị chế biến thành Root Reserve[/color] nếu chúng ta thất bại.
Text/e5/text,"Nhưng không làm gì còn nguy hiểm hơn. Cho tất cả chúng ta, về lâu dài."
Text/e6/text,Vẻ mặt của Sasha trở nên ảm đạm. Chúng tôi đã thử những cách khác. Trong nhiều năm.
Text/e7/text,Kiến nghị. Ngoại giao im lặng. Những lời mách nước vô danh. Không có gì hiệu quả.
Text/e8/text,Đôi khi bạn phải mạo hiểm tất cả để thay đổi bất cứ điều gì.
Text/e9/text,Một cuộc tranh luận gay gắt nổ ra giữa các thành viên kháng chiến.
Text/ea/text,Một số người lập luận cho một cách tiếp cận mạnh mẽ hơn - phá hủy hoàn toàn các nhà máy chế biến.
Text/eb/text,Những người khác khăng khăng rằng hành động bạo lực chỉ làm dư luận quay lưng lại với họ.
Text/ec/text,ĐỦ RỒI! Nhà lãnh đạo khiến cả phòng im lặng với giọng nói đầy quyền lực.
Text/ed/text,"Chúng ta không có khả năng bị chia rẽ. Không phải bây giờ, khi chúng ta đã quá gần."
Text/ee/text,Mục tiêu của chúng ta đơn giản: tiết lộ sự thật. Hãy để người dân quyết định những gì xảy ra tiếp theo.
Text/ef/text,Nhà lãnh đạo quay sang nói trực tiếp với bạn. Nhưng chúng tôi cần biết [color=YELLOW]bạn đứng ở đâu[/color].
Text/f0/text,"Trong ba ngày, các đặc vụ của chúng tôi sẽ tiếp cận trạm kiểm soát của bạn. Họ sẽ mang [color=CHARTREUSE]thẻ nhận dạng màu xanh[/color]."
Text/f1/text,Bạn sẽ giúp họ vượt qua chứ? Câu trả lời của bạn bây giờ sẽ quyết định bước đi tiếp theo của chúng tôi.
Choice/f2/text,Tôi sẽ giúp họ vượt qua. Vì tương lai của Spud.
Choice/f3/text,"Tôi không thể trực tiếp tham gia, nhưng tôi sẽ nhìn đi chỗ khác."
Choice/f4/text,Tôi cần thêm thời gian để suy nghĩ về điều này.
Text/f5/text,Nhà lãnh đạo nắm chặt vai bạn. [color=CHARTREUSE]Sự can đảm của bạn vinh danh tất cả chúng tôi.[/color]
Text/f6/text,"Vào ngày thứ ba, khi mặt trời lên cao nhất, các đặc vụ của chúng tôi sẽ đến."
Text/f7/text,"Mật khẩu là ""[wave amp=15 freq=3][color=CHARTREUSE]Rễ cây mọc sâu.[/color][/wave]"" Hãy nhớ điều đó."
Text/f8/text,"Nhà lãnh đạo gật đầu chậm rãi, rõ ràng là thất vọng nhưng thông cảm."
Text/f9/text,Đôi khi điều nhiều nhất chúng ta có thể yêu cầu là mọi người không cản đường chúng ta.
Text/fa/text,Các đặc vụ của chúng tôi sẽ tiến hành theo kế hoạch. Chỉ là... đừng báo động.
Text/fb/text,Vẻ mặt của nhà lãnh đạo cứng rắn lại. [color=YELLOW]Thời gian là một sự xa xỉ mà chúng ta không có.[/color]
Text/fc/text,Nhưng buộc bất kỳ ai tham gia vào sự nghiệp của chúng ta không làm cho chúng ta tốt hơn họ.
Text/fd/text,Chúng tôi sẽ tiến hành mà không dựa vào sự giúp đỡ của bạn. Hãy tìm kiếm trong lương tâm của bạn.
Text/fe/text,"Khi cuộc họp kết thúc, Sasha đi với bạn trở lại hướng trạm kiểm soát."
Text/ff/text,Dù chuyện gì xảy ra... cảm ơn vì tất cả những gì bạn đã làm.
Text/100/text,"Bạn trở về khu vực của mình tại trạm kiểm soát, tâm trí bạn chạy đua với gánh nặng của những sự kiện sắp tới."
Text/101/text,"Chỉ trong ba ngày, mọi thứ có thể thay đổi. [color=YELLOW]Tốt hơn hoặc tệ hơn.[/color]"
Choice/de/disabled_text,
Choice/f4/disabled_text,
Choice/f3/disabled_text,
Choice/f2/disabled_text,
Choice/e0/disabled_text,
Choice/df/disabled_text,
