keys,bg
Text/3a/text,"Контролно-пропускателният пункт е възстановен след атаката на съпротивата. Сигурността е безпрецедентна, с пропагандни предавания, възхваляващи „смелите защитници“."
Text/3b/text,Повишен съм до Регионален директор по гранична сигурност и [pulse freq=2]Разпределение на Кореновия Резерв[/pulse].
Text/3c/text,Ръсет закача малък медал на униформата ви. Помощник регионален директор... за вашата непоколебима лоялност към Спъд.
Text/3d/text,Имам специална задача! Министър-председател Айдахо ще инспектира нашето съоръжение днес. Вие сте избран за демонстрация.
Text/3e/text,Виждали ли сте новата партида Коренов Резерв? Наричат я „Смес за съпротива“ след случилото се с онези пленници.
Text/3f/text,"Някои казват, че съпротивата не е била напълно грешна. Че има [wave amp=15 freq=3]доказателства, че са казвали истината[/wave]..."
Choice/40/text,„Внимавайте. Дори да говорите така е опасно сега.“
Choice/41/text,„И аз съм имал същите мисли. Това не е редно.“
Text/42/text,Вече не всеки вярва на официалната история. Дръжте си очите отворени по време на посещението на министър-председателя.
Text/43/text,"Формира се нова съпротива. По-тиха, по-внимателна. Ако искате да научите повече... търсете емблемата на жълтия картоф."
Text/44/text,ВНИМАНИЕ: Кортежът на министър-председател Айдахо пристигна. Всички служители да заемат определените си постове. Протоколите за инспекция са в сила.
Text/45/text,Медалът ви тежи – награда за лоялност или белег на позор? Скоро ще се изправите пред архитекта на Кореновия Резерв.
Text/46/text,"След излъчването, разкриващо Кореновия Резерв, избухнаха въстания в целия Спъд. Министър-председател Айдахо остава барикадиран в административната сграда."
Text/47/text,"Айдахо планира едно последно излъчване, за да хвърли вината за Кореновия Резерв върху нас. Не можем да му позволим да пренапише историята. Днес слагаме край на неговия режим."
Text/48/text,Спасихте живота ми в преработвателния завод. Сега имаме шанс да спасим целия Спъд.
Text/49/text,Вашите познания по протоколите за сигурност ще бъдат от решаващо значение за последната мисия. Готови ли сте?
Choice/4a/text,„Готов съм. Да довършим започнатото.“
Choice/4b/text,„Какъв точно е планът? Имам нужда от подробности.“
Text/4c/text,"Знаех, че няма да отстъпите. Вие сте един от нашите [tornado radius=3 freq=2]най-силни съюзници[/tornado]."
Text/4d/text,"Ще проникнем, използвайки правителствени униформи. Вие ще помогнете за заобикаляне на системите за сигурност. Нашата цел е да заловим Айдахо и да го принудим към публично признание."
Text/4e/text,"Ще бъдете в Екип Алфа със Саша, пробивайки източния вход. Вашата цел: [color=GREEN]осигурете центъра за излъчване[/color]."
Text/4f/text,"От лоялен митнически служител до боец от съпротивата? Това е трансформация, която никога не сте си представяли. Каквото и да стане, Спъд никога няма да бъде същият."
Choice/40/disabled_text,
Choice/41/disabled_text,
Choice/4a/disabled_text,
Choice/4b/disabled_text,
