keys,sv
Character/173/name,Radioröst
Character/174/name,Medofficer
Character/175/name,Berättare
Character/176/name,Tyst Potatis
Character/177/name,Orolig Potatis
Character/178/name,Urgammal Potatis
Character/179/name,Du
Character/17a/name,Premiärminister Idaho
Character/17b/name,Motståndsledare
Character/17c/name,Misstroende Motståndsmedlem
Character/17d/name,Fräck Motståndsmedlem
Character/17e/name,Säkerhetschef
Character/17f/name,Säkerhetsvakt
Character/180/name,Potatis Mosesson
Character/181/name,Övervakare Russet
Character/181/nicknames,"Russ,Russet,Övervakare Russet"
Character/182/name,Sötpotatis Sasha
Character/183/name,Nervös Resenär
Character/183/nicknames,
Character/173/nicknames,
Character/182/nicknames,
Character/180/nicknames,
Character/17f/nicknames,
Character/17e/nicknames,
Character/17d/nicknames,
Character/17c/nicknames,
Character/17b/nicknames,
Character/17a/nicknames,
Character/179/nicknames,
Character/178/nicknames,
Character/177/nicknames,
Character/176/nicknames,
Character/175/nicknames,
Character/174/nicknames,
Character/184/name,Viktor
