keys,zh-TW
Text/3a/text,檢查站在抵抗軍襲擊後已重建。安全措施前所未有，宣傳廣播讚揚著「英勇的守衛者」。
Text/3b/text,我已晉升為邊境安全及[pulse freq=2]根源儲備分配[/pulse]的區域總監。
Text/3c/text,羅塞特將一枚小勳章別在你的制服上。助理區域總監……為了你對Spud堅定不移的忠誠。
Text/3d/text,我有一個特殊任務！愛達荷總理今天將視察我們的設施。你已被選中進行示範。
Text/3e/text,你見過新一批的根源儲備嗎？在那些俘虜遭遇不幸後，他們稱之為「抵抗者混合物」。
Text/3f/text,有些人說抵抗軍並非完全錯誤。有[wave amp=15 freq=3]證據表明他們說的是實話[/wave]……
Choice/40/text,「小心。現在連這樣說話都很危險。」
Choice/41/text,「我也有同樣的想法。這感覺不對勁。」
Text/42/text,不再是所有人都相信官方說法了。在總理視察期間保持警惕。
Text/43/text,一支新的抵抗軍正在形成。更安靜，更謹慎。如果你想知道更多……留意黃色馬鈴薯徽章。
Text/44/text,注意：愛達荷總理的車隊已抵達。所有警官前往指定崗位。檢查協議已生效。
Text/45/text,你的勳章感覺很沉重——是忠誠的獎勵，還是恥辱的印記？你很快就會面對根源儲備的策劃者。
Text/46/text,在揭露根源儲備的廣播之後，Spud各地爆發了起義。愛達荷總理仍被困在行政大樓內。
Text/47/text,愛達荷計劃進行最後一次廣播，將根源儲備的責任推給我們。我們不能讓他改寫歷史。今天，我們將終結他的政權。
Text/48/text,你在加工廠救了我的命。現在我們有機會拯救整個Spud。
Text/49/text,你對安全協議的了解對於最終任務將至關重要。你準備好了嗎？
Choice/4a/text,「我準備好了。讓我們完成我們開始的。」
Choice/4b/text,「計劃到底是什麼？我需要細節。」
Text/4c/text,我知道你不會退縮。你是我們[tornado radius=3 freq=2]最強大的盟友[/tornado]之一。
Text/4d/text,我們將穿著政府制服潛入。你將協助繞過安全系統。我們的目標是抓捕愛達荷並迫使他公開認罪。
Text/4e/text,你將與莎莎一起加入阿爾法小隊，突破東側入口。你的目標是：[color=GREEN]確保廣播中心的安全[/color]。
Text/4f/text,從忠誠的海關官員到抵抗戰士？這是你從未想像過的轉變。無論發生什麼，Spud將永遠不會一樣。
Choice/40/disabled_text,
Choice/41/disabled_text,
Choice/4a/disabled_text,
Choice/4b/disabled_text,
