keys,no
dialogue_spud_being_called_1,"Neste steg, din skjebne venter."
dialogue_spud_being_called_2,"Fremst i køen, sannhetens øyeblikk nærmer seg."
dialogue_spud_being_called_3,"Stig frem, den utvalgte av knokkelvesener."
dialogue_spud_being_called_4,Gratulerer! Din venting har lyktes.
dialogue_spud_being_called_5,Den Store Potet Byråkratiet innkaller deg.
dialogue_spud_being_called_6,"Fremover, edel knokkel! Papirene venter!"
dialogue_spud_being_called_7,Beveg deg! Stempelet blir utålmodig.
dialogue_spud_being_called_8,Beveg deg raskt! Skjema P-38B må fylles ut.
dialogue_spud_being_called_9,"Kom fremover, skjebnen krever din inntreden."
dialogue_spud_being_called_10,"Næm deg frem til dommens skranke, knokkel."
dialogue_spud_in_office_1,Vær vennlig tålmodig. Tid er en illusjon.
dialogue_spud_in_office_2,Venting bygger karakter. Og stivelse.
dialogue_spud_in_office_3,Køen beveger seg på mystiske måter.
dialogue_spud_in_office_4,Din posisjon er notert av myndighetene.
dialogue_spud_in_office_5,Å stå i kø: den universelle konstant.
dialogue_spud_in_office_6,Ingen knokkel er klar før den er modnet av venting.
dialogue_spud_in_office_7,"Tålmodighet: ikke den eneste dyd, men nevnt."
dialogue_spud_in_office_8,Byråkratiske hjul dreier sakte. Veldig sakte.
dialogue_spud_in_office_9,"Ah, den søte lyden av prosedyre!"
dialogue_spud_in_office_10,Dagens kø er morgendagens anekdote.
dialogue_spud_in_office_11,Tid i køer bøyer seg. Den er blitt målt.
dialogue_spud_in_office_12,Ventekompetanse: Nivå 43 oppnådd!
dialogue_warnings_1,"De som er imot, vil bli skrellt med presisjon."
dialogue_warnings_2,Køovertredere sendes til Ekspress Behandling.
dialogue_warnings_3,Forstyrrelse av køen utløser forelesninger om køer.
dialogue_warnings_4,Ulydighet fører til Rommet med Varm Olje.
dialogue_warnings_5,"Vi trenger ikke å være rettferdige, bare organiserte."
dialogue_warnings_6,Komiteen for Potet Overholdelse ser alt.
dialogue_warnings_7,Bråkmakere: knust uten smør.
dialogue_warnings_8,Kaosmagere blir til hash browns. Raskt.
dialogue_warnings_9,Regelbrytere møter dobbeltsteikt status.
dialogue_warnings_10,Køauditorene har registrert din eksistens.
dialogue_warnings_11,Din mappe: merket med DET røde stempelet.
dialogue_misc_1,Hvor er alle?
dialogue_misc_2,Nødsituasjon? Fortsett å vente i rekkefølge.
dialogue_misc_3,Har du lest paragraf syv i venteavtalen?
dialogue_misc_4,"Bortkommet eiendom: funnet, beskattet, borlagt."
dialogue_misc_5,"Hvis en potet klager, lager den lyd?"
dialogue_misc_6,Lys erstattet med skilt: 'Mer Tunnel.'
dialogue_misc_7,Døden er midlertidig. Byråkrati er evig.
dialogue_misc_8,Arkiveringssystemet har oppnådd bevissthet. Behold roen.
dialogue_misc_9,Dagens heldige numre betyr ingenting. Unnskyld.
dialogue_misc_10,"Apokalypse? Ta et nummer, vent på å forsvinne."
dialogue_misc_11,Ingen bevis betyr flere skjemaer.
dialogue_document_interaction_1,"Ta dine dokumenter, vær så snill."
dialogue_document_interaction_2,TA DEM!
dialogue_perfect_stamp_1,Utmerket arbeid!
dialogue_perfect_stamp_2,Slik skal det stemples!
dialogue_perfect_stamp_3,Presisjon på sitt beste!
dialogue_perfect_stamp_4,Stempelgudene smiler til deg!
dialogue_perfect_stamp_5,Lærebokteknikk!
dialogue_runner_stopped_1,Fikk deg!
dialogue_runner_stopped_2,Ikke på min vakt!
dialogue_runner_stopped_3,"Rettferdighet servert, varm og fersk!"
dialogue_runner_stopped_4,Slik går det med rømmerne!
dialogue_runner_stopped_5,Mål eliminert!
dialogue_runner_escaped_1,Pokker! De slapp unna!
dialogue_runner_escaped_2,Forbannelse! For treg!
dialogue_runner_escaped_3,Den der glapp...
dialogue_runner_escaped_4,Papirarbeidet for dette...
dialogue_runner_escaped_5,Ikke mitt stolteste øyeblikk.
dialogue_wrong_stamp_1,"Vent, det er ikke riktig..."
dialogue_wrong_stamp_2,"Hmm, mente jeg å gjøre det?"
dialogue_wrong_stamp_3,Blekk... det svikter meg!
dialogue_wrong_stamp_4,Oops.
dialogue_strike_received_1,Det kommer på rullebladet mitt...
dialogue_strike_received_2,Departementet vil ikke like dette.
dialogue_strike_received_3,Ett skritt nærmere mos...
dialogue_strike_received_4,Streik! Men ikke den gode typen.
