keys,pt
Text/86/text,Novos protocolos de segurança hoje. Recebemos informações de inteligência sobre [color=YELLOW]atividades suspeitas[/color].
Text/87/text,Todos os viajantes devem passar por procedimentos de inspeção aprimorados.
Text/88/text,"Fique atento a [color=YELLOW]comportamentos nervosos, maneiras incomuns ou relutância em fazer contato visual[/color]."
Text/89/text,"Todos os itens suspeitos devem ser confiscados e registrados. Para a segurança de Spud, é claro."
Text/8a/text,"Estamos especialmente preocupados com [color=CRIMSON]materiais proibidos[/color] - literatura antigov, equipamentos fotográficos..."
Text/8b/text,"A voz dele cai ominosa. ""[pulse freq=2][color=DARK_VIOLET]Temos procedimentos especiais para esses indivíduos.[/color][/pulse]"""
Text/8c/text,"[wave amp=15 freq=2][color=DARK_VIOLET]Root Reserve[/color][/wave] caminhões descarregam caixas marcadas como ""Premium Reserve"" no refeitório. O cheiro é tentador, mas seu estômago se revira."
Text/8d/text,Experimentou o novo Premium Reserve? Meu primo desapareceu no mês passado. Não passou na inspeção.
Text/8e/text,"Talvez ele faça parte deste lote, hein? [tornado radius=2 freq=2][color=STEEL_BLUE]Humor negro, sabe?[/color][/tornado]"
Choice/8f/text,Isso não tem graça nenhuma.
Choice/90/text,Não estou com fome. Com licença. (Sair)
Text/91/text,Você tem razão. Às vezes é mais fácil fazer piada do que pensar sobre [pulse freq=3][color=CRIMSON]o que realmente pode estar acontecendo[/color][/pulse].
Text/92/text,"O oficial observa você sair. ""Entendo. Eu também perdi o apetite..."""
Text/93/text,"Que momento conveniente para novos protocolos de segurança, não é? [wave amp=15 freq=3][color=YELLOW]Estão tentando impedir informações sobre a Root Reserve.[/color][/wave]"
Text/94/text,Tenho algo que pode nos ajudar. Algumas batatas com [color=CHARTREUSE]informações vitais merecem passar[/color].
Text/95/text,Você considera cuidadosamente suas opções. As escolhas de hoje podem ajudar a [color=CHARTREUSE]espalhar a verdade[/color]... ou [color=CRIMSON]silenciá-la para sempre[/color].
Choice/8f/disabled_text,
Choice/90/disabled_text,
