keys,nl
LAWS,WETTEN
_VALIDATION MESSAGES,
msg_not_fresh,De aardappel was %s maar moet vers zijn
msg_extra_eyes,"De aardappel had Extra Ogen, wat verboden is"
msg_rotten,Rotte aardappelen zijn niet toegestaan
msg_sprouted,Ontkiemde aardappelen zijn niet toegestaan
msg_dehydrated,Gedehydrateerde aardappelen zijn vandaag niet toegestaan
msg_frozen,Bevroren aardappelen zijn verboden
msg_over_age,De aardappel is %d jaar oud (max 5 jaar)
msg_under_age,De aardappel is %d jaar oud (moet ouder zijn dan 3 jaar)
_LAWS,
law_fresh_potatoes,[color=dark_goldenrod]ALLEEN verse[/color] aardappelen toegestaan - [color=dark_red]AFWIJZEN[/color] alle anderen
law_extra_eyes,[color=dark_goldenrod]Extra Ogen[/color] conditie aardappelen moeten [color=dark_red]AFGEWEZEN[/color] worden
law_rotten,[color=dark_goldenrod]Rotte[/color] aardappelen moeten [color=dark_red]AFGEWEZEN[/color] worden
law_sprouted,[color=dark_goldenrod]Gekiemde[/color] aardappelen moeten [color=dark_red]AFGEWEZEN[/color] worden
law_dehydrated,[color=dark_goldenrod]Gedehydrateerde[/color] aardappelen moeten [color=dark_red]AFGEWEZEN[/color] worden
law_frozen,[color=dark_goldenrod]Bevroren[/color] aardappelen moeten [color=dark_red]AFGEWEZEN[/color] worden
law_over_5_years,Aardappelen [color=dark_goldenrod]5 jaar of ouder[/color] moeten [color=dark_red]AFGEWEZEN[/color] worden
law_under_3_years,Aardappelen [color=dark_goldenrod]3 jaar of jonger[/color] moeten [color=dark_red]AFGEWEZEN[/color] worden
law_under_2_years,Aardappelen [color=dark_goldenrod]2 jaar of jonger[/color] moeten [color=dark_red]AFGEWEZEN[/color] worden
law_males_only,[color=dark_goldenrod]ALLEEN mannelijke[/color] aardappelen toegestaan - [color=dark_red]AFWIJZEN[/color] alle vrouwelijke
law_females_only,[color=dark_goldenrod]ALLEEN vrouwelijke[/color] aardappelen toegestaan - [color=dark_red]AFWIJZEN[/color] alle mannelijke
law_country_spudland,[color=dark_goldenrod]ALLE[/color] aardappelen uit [color=dark_goldenrod]Spudland[/color] moeten [color=dark_red]AFGEWEZEN[/color] worden
law_country_potatopia,[color=dark_goldenrod]ALLE[/color] aardappelen uit [color=dark_goldenrod]Potatopia[/color] moeten [color=dark_red]AFGEWEZEN[/color] worden
law_country_tuberstan,[color=dark_goldenrod]ALLE[/color] aardappelen uit [color=dark_goldenrod]Tuberstan[/color] moeten [color=dark_red]AFGEWEZEN[/color] worden
law_country_north_yamnea,[color=dark_goldenrod]ALLE[/color] aardappelen uit [color=dark_goldenrod]Noord-Yamnea[/color] moeten [color=dark_red]AFGEWEZEN[/color] worden
law_country_spuddington,[color=dark_goldenrod]ALLE[/color] aardappelen uit [color=dark_goldenrod]Spuddington[/color] moeten [color=dark_red]AFGEWEZEN[/color] worden
law_country_tatcross,[color=dark_goldenrod]ALLE[/color] aardappelen uit [color=dark_goldenrod]Tatcross[/color] moeten [color=dark_red]AFGEWEZEN[/color] worden
law_country_mash_meadows,[color=dark_goldenrod]ALLE[/color] aardappelen uit [color=dark_goldenrod]Mash Meadows[/color] moeten [color=dark_red]AFGEWEZEN[/color] worden
law_country_tuberville,[color=dark_goldenrod]ALLE[/color] aardappelen uit [color=dark_goldenrod]Tuberville[/color] moeten [color=dark_red]AFGEWEZEN[/color] worden
law_country_chip_hill,[color=dark_goldenrod]ALLE[/color] aardappelen uit [color=dark_goldenrod]Chip Hill[/color] moeten [color=dark_red]AFGEWEZEN[/color] worden (exportverbod)
law_country_murphyland,[color=dark_goldenrod]ALLE[/color] aardappelen uit [color=dark_goldenrod]Murphyland[/color] moeten [color=dark_red]AFGEWEZEN[/color] worden
law_country_colcannon,[color=dark_goldenrod]ALLE[/color] aardappelen uit [color=dark_goldenrod]Colcannon[/color] moeten [color=dark_red]AFGEWEZEN[/color] worden
law_country_pratie_point,[color=dark_goldenrod]ALLE[/color] aardappelen uit [color=dark_goldenrod]Pratie Point[/color] moeten [color=dark_red]AFGEWEZEN[/color] worden
law_purple_majesty,[color=dark_goldenrod]Purple Majesty[/color] aardappel types moeten [color=dark_red]AFGEWEZEN[/color] worden
law_sweet_potatoes,[color=dark_goldenrod]Zoete Aardappel[/color] types moeten [color=dark_red]AFGEWEZEN[/color] worden (geen vergunningen beschikbaar)
law_yukon_gold,[color=dark_goldenrod]Yukon Gold[/color] aardappel types moeten [color=dark_red]AFGEWEZEN[/color] worden
law_fingerling,[color=dark_goldenrod]Fingerling[/color] aardappel types moeten [color=dark_red]AFGEWEZEN[/color] worden
law_red_bliss,[color=dark_goldenrod]Red Bliss[/color] aardappel types moeten [color=dark_red]AFGEWEZEN[/color] worden
law_russet,[color=dark_goldenrod]Russet[/color] aardappel types moeten [color=dark_red]AFGEWEZEN[/color] worden
