keys,nl
Text/69/text,Kunnen we praten? Ergens privé? [color=YELLOW]Te veel ogen en oren hier.[/color]
Text/6a/text,Ontmoet me bij de oude opslagschuur na je dienst. Ik heb iets wat je moet zien.
Text/6b/text,"Word je gezellig met collega's? Onthoud, vriendelijk worden kan leiden tot... [color=DARK_ORANGE]aangetast oordeelsvermogen[/color]."
Text/6c/text,Ik heb informatie verzameld over afgekeurde aardappelen. [wave amp=20 freq=3][color=CRIMSON]Ze gaan niet naar deportatiecentra.[/color][/wave]
Text/6d/text,[tornado radius=4 freq=2][color=CRIMSON]Ze gaan naar Root Reserve verwerkingsfaciliteiten.[/color][/tornado] Elk van hen.
Text/6e/text,Deze documenten tonen aardappelen die worden gelost bij een faciliteit gemarkeerd met het [color=DARK_VIOLET]Root Reserve[/color] logo.
Text/6f/text,Ik denk dat ik weet wat er gebeurt. [pulse freq=3][color=CRIMSON]Ze worden Root Reserve.[/color][/pulse]
Choice/70/text,Dat is waanzinnig. Ze... verwerken aardappelen tot voedsel?
Choice/71/text,We hebben meer bewijs nodig voordat we beschuldigingen uiten.
Text/72/text,[color=CRIMSON]Kannibalisme met extra stappen.[/color] Dat is wat [wave amp=25 freq=3][color=DARK_VIOLET]Root Reserve[/color][/wave] is. En wij hebben geholpen bij het selecteren van hun ingrediënten.
Text/73/text,Ik verzamel al maanden bewijsmateriaal. Houd je ogen open. Je zult zien dat ik gelijk heb.
Text/74/text,Een ver alarm klinkt plotseling
Text/75/text,We moeten gaan. Ze doen veiligheidscontroles op dit uur. Denk na over wat ik je heb laten zien.
Text/76/text,"Sasha duwt de map in je handen. ""[color=YELLOW]Houd dit veilig. En vertrouw niemand.[/color]"""
Text/77/text,Je verstopt de map in je jas. [color=DARK_VIOLET]Root Reserve[/color]. De afkeuringen. De ontbrekende aardappelen. Het verbindt allemaal op een [tornado radius=3 freq=2][color=CRIMSON]huiveringwekkende manier[/color][/tornado].
Choice/71/disabled_text,
Choice/70/disabled_text,
