keys,vi
Character/173/name,Người dẫn chương trình radio
Character/174/name,Đồng đội sĩ quan
Character/175/name,Người kể chuyện
Character/176/name,Khoai tây im lặng
Character/177/name,Khoai tây lo lắng
Character/178/name,Khoai tây cổ đại
Character/179/name,Bạn
Character/17a/name,Thủ tướng Idaho
Character/17b/name,Thủ lĩnh kháng chiến
Character/17c/name,Thành viên kháng chiến đa nghi
Character/17d/name,Thành viên kháng chiến táo bạo
Character/17e/name,Trưởng an ninh
Character/17f/name,Nhân viên an ninh
Character/180/name,Khoai Văn Nghiền
Character/181/name,Giám sát viên Russet
Character/181/nicknames,"Russ,Russet,Giám sát viên Russet"
Character/182/name,Khoai lang Sasha
Character/183/name,Du khách lo lắng
Character/183/nicknames,
Character/173/nicknames,
Character/182/nicknames,
Character/180/nicknames,
Character/17f/nicknames,
Character/17e/nicknames,
Character/17d/nicknames,
Character/17c/nicknames,
Character/17b/nicknames,
Character/17a/nicknames,
Character/179/nicknames,
Character/178/nicknames,
Character/177/nicknames,
Character/176/nicknames,
Character/175/nicknames,
Character/174/nicknames,
Character/184/name,Viktor
