keys,tr
Text/b8/text,"Sınır tesisi tamamen kapatıldı, silahlı güvenlik her koridorda devriye geziyor."
Text/b9/text,[pulse freq=3][color=RED]DİKKAT! SEVİYE KIRMIZI güvenlik durumu![/color][/pulse] Gizli belgeler dün gece çalındı.
Text/ba/text,Aramızda bir [tornado radius=4 freq=3][color=CRIMSON]hain var[/color][/tornado]. Bilgi saklayan herkes suç ortağı olarak muamele görecek.
Text/bb/text,"Tüm subaylar, [wave amp=15 freq=2][color=DARK_ORANGE]güvenlik taraması[/color][/wave] için sıraya girin. Yüksek stres tepkileri gösterenler işaretlenecek."
Text/bc/text,Dışarıda neler olduğunu gördün mü? Her yerde [color=DARK_VIOLET]Root Reserve[/color]'in... [pulse freq=3][color=CRIMSON]bizden yapıldığını[/color][/pulse] gösteren broşürler var.
Choice/bd/text,Sesini alçalt. Hepimiz izleniyoruz.
Choice/be/text,Ben de aynı söylentileri duydum. Doğruysa korkunç.
Choice/bf/text,Bu saçma bir propaganda. Böyle yalanlar yayma.
Text/c0/text,Haklısın. Ama doğruysa... bu bizi ne yapar?
Text/c1/text,Kuzenim geçen ay reddedildi. Bu şu anlama mı geliyor...? [color=CHARTREUSE]Artık buna devam edemem[/color].
Text/c2/text,İfadeleri tedbirli hale geliyor. Elbette. Sonsuza dek Spud'a sadık.
Text/c3/text,Dün gece 22:00 ile 04:00 saatleri arasındaki konumunuzu belirtin.
Choice/c4/text,Bütün gece odamda uyuyordum.
Choice/c5/text,Önce yasal temsilcimle konuşmayı tercih ederim.
Text/c6/text,Stres seviyeleriniz [color=YELLOW]aldatma[/color] gösteriyor. Ancak... kesin değil. Şimdilik gidebilirsiniz.
Text/c7/text,"Yasal temsilci? Bu bir güvenlik prosedürü, yargılama değil. Reddiniz kaydedildi."
Text/c8/text,"İşe yarıyor. Manifestolar kargaşa yarattı, ancak [color=DARK_ORANGE]Russet bizden şüpheleniyor[/color]."
Text/c9/text,Bugünkü vardiya sırasında organizasyonumuzdan müttefikleri gözleyin. [color=CHARTREUSE]Onları tanıyacaksınız[/color].
Text/ca/text,"Eğer onları güvenle geçirebilirseniz, [color=CHARTREUSE]konuştuğumuz özel işareti[/color] kullanın."
Choice/cb/text,Risk almaya değer. Ben varım.
Choice/cc/text,Bu çok tehlikeli hale geliyor. Belki sessiz kalmalıyız.
Text/cd/text,"Sana güvenebileceğimi biliyordum. Bu bittiğinde, [color=CHARTREUSE]Spud gerçek kahramanların kim olduğunu bilecek[/color]."
Text/ce/text,O noktayı çoktan geçtik. Sessiz kalmak bizi kurtarmayacak. [color=CHARTREUSE]Ancak sistemi devirmek kurtaracak[/color].
Text/cf/text,Her istasyonda artık yeni [color=DARK_ORANGE]RealityScan sistemi[/color] var. İzinsiz işaretleri ve sahteciliği tespit ediyor.
Text/d0/text,Tüm belgeler onaylanmadan önce taranmalıdır. [color=CRIMSON]Hainler kökünden temizlenecek[/color]. Bunu garanti ederim.
Text/d1/text,"Direniş üyelerine yardım etmek çok daha tehlikeli hale geldi, ancak [color=CHARTREUSE]gerçek yayılmalı[/color]."
Choice/bd/disabled_text,
Choice/be/disabled_text,
Choice/bf/disabled_text,
Choice/c4/disabled_text,
Choice/c5/disabled_text,
Choice/cb/disabled_text,
Choice/cc/disabled_text,
Text/c7_viktor1/text,İri yarı bir güvenlik görevlisi molanız sırasında yaklaşıyor. Yüzü bitkin.
Text/c7_viktor2/text,"Hey... siz gümrük memurlarından birisiniz, değil mi? Karım Elena hakkında etrafa sorup duruyorum."
Text/c7_viktor3/text,Üç hafta önce bu kontrol noktasından geçti. [color=STEEL_BLUE]Muayeneden kaldı.[/color] O zamandan beri ondan haber alamadım.
Choice/c7_viktor4/text,"""Viktor... Bir şey buldum. Elena hakkında. Gerçeği bilmen gerekiyor."""
Choice/c7_viktor5/text,"""Üzgünüm, Viktor. Hiçbir şey görmedim."""
Text/c7_viktor6/text,Ona manifest sayfasının bir kopyasını gösteriyorsun. Yüzü bembeyaz kesiliyor.
Text/c7_viktor7/text,[wave amp=25 freq=3]Okurken elleri titriyor.[/wave] [color=GOLD]Elena Petrov[/color]... [color=CRIMSON]İşlendi... Parti RR-2851...[/color]
Text/c7_viktor8/text,Sesi zar zor duyuluyor. [tornado radius=3 freq=2][color=CRIMSON]Onu... onu şeye DÖNÜŞTÜRDÜLER...[/color][/tornado]
Text/c7_viktor9/text,Kederi soğuk bir öfkeye dönüşüyor. [pulse freq=2][color=CRIMSON]Idaho bunun bedelini ödeyecek.[/color][/pulse] Anısına yemin ederim.
Text/c7_viktor10/text,Omzunu sıkıyor. [color=CHARTREUSE]Bana söylediğin için teşekkür ederim.[/color] Zamanı geldiğinde... bunu unutmayacağım.
Text/c7_viktor11/text,Hüzünle başını sallıyor. [color=STEEL_BLUE]Tahmin etmiştim.[/color] Kimse bir şey bilmiyor. Ya da kimse konuşmak istemiyor.
Text/c7_viktor12/text,Bir şey duyarsan... [color=YELLOW]lütfen.[/color] O benim her şeyim.
Text/d0_qte1/text,"O vardiya daha sonra, üzerinde [color=CHARTREUSE]ince bir direniş işareti[/color] taşıyan belgelerle bir yolcu yaklaşıyor."
Text/d0_qte2/text,[color=DARK_ORANGE]Gerçeklik Tarayıcı[/color] taramasına başlıyor. [wave amp=15 freq=3][color=RED]İşareti tespit edecek![/color][/wave]
Text/d0_qte3/text,Karar vermek için saniyelerin var. Tarayıcı ısınıyor...
Choice/d0_qte4/text,"""Tarayıcı arızası taklidi yap - çabuk!"""
Choice/d0_qte5/text,"""Tarayıcının taramasını tamamlamasına izin ver"""
Text/d0_qte6/text,[pulse freq=3][color=YELLOW]Hızlı hareket etmelisin![/color][/pulse] Taramayı bitirmeden arızayı tetikle!
Text/d0_qte7/text,Tarayıcı kablolarıyla oynuyorsun. Kıvılcımlar çıkıyor. Ekran titriyor ve kapanıyor.
Text/d0_qte8/text,Russet aceleyle geliyor. [color=YELLOW]Burada ne oldu?[/color]
Choice/d0_qte9/text,"""Elektrik dalgalanması, efendim. Bu yeni sistemler huysuz."""
Choice/d0_qte10/text,"""Bilmiyorum, efendim. Birden kapandı."""
Text/d0_qte11/text,Russet homurdanıyor. [color=STEEL_BLUE]Bürokratlar bize test edilmemiş ekipman veriyor.[/color] Onları manuel olarak işleyin ve yeniden denetim için işaretleyin.
Text/d0_qte12/text,Russet sana şüpheyle bakıyor. [color=YELLOW]Ne kadar da tesadüf.[/color] Bakım ekibine baktıracağım. Bir daha olmasına izin verme.
Text/d0_qte13/text,Direniş üyesi geçerken sana hafif bir minnetle başını sallıyor.
Text/d0_qte14/text,Tarayıcı [pulse freq=3][color=RED]YÜKSEK SESLE ÖTÜYOR[/color][/pulse]. Yetkisiz işaretler tespit edildi!
Text/d0_qte15/text,Russet anında belirir. [color=CHARTREUSE]Harika iş![/color] Bir hain daha yakalandı.
Text/d0_qte16/text,"Direniş üyesi, gözlerinde dehşetle sürüklenerek götürülür. ""[color=CRIMSON]Lütfen, hayır! Çocuklarım var![/color]"""
Text/d0_qte17/text,Sadakatiniz [color=DARK_ORANGE]dosyanıza kaydedildi[/color]. Böyle devam edin.
