keys,uk
Text/265/text,Зміна закінчується у тривожній тиші. Патрулі безпеки подвоїлися. Усі рухаються пошепки.
Text/266/text,"Ви прямуєте до своїх покоїв, коли чуєте це — [color=YELLOW]крики з офіцерського крила[/color]."
Text/267/text,"Ви завертаєте за ріг і бачите, як сили безпеки [pulse freq=3][color=RED]вибивають двері Саші[/color][/pulse]."
Text/268/text,Голос Шефа Юкона гримить. СОЛОДКА КАРТОПЛЯ САША! Вас заарештовано за [color=CRIMSON]зраду нації Бульби![/color]
Text/269/text,"Сашу витягують, вона пручається. Її очі сповнені виклику, навіть коли охоронці викручують їй руки за спину."
Text/26a/text,[tornado radius=4 freq=3][color=CHARTREUSE]ПРАВДА ВИЙДЕ НАЗОВНІ! ВИ НЕ ЗМОЖЕТЕ ЗМУСИТИ ЗАМОВКНУТИ ВСІХ НАС![/color][/tornado]
Text/26b/text,Її погляд знаходить вас у натовпі спостерігачів. Час ніби зупиняється.
Text/26c/text,Впізнавання... потім [color=CRIMSON]нищівне усвідомлення[/color]. Ви видали її місцезнаходження. Вона знає.
Text/26d/text,Вона не говорить. Погляду достатньо. [color=STEEL_BLUE]Розчарування глибше за ненависть.[/color]
Text/26e/text,Проблиск чогось — [color=CHARTREUSE]надії? довіри?[/color] — промайнув на її обличчі.
Text/26f/text,"Її губи беззвучно рухаються: ""[color=CHARTREUSE]Коріння росте глибоко.[/color]"" Повідомлення. Нагадування."
Text/270/text,"Руссет виходить з тіні, задоволення випромінюється з кожної пори."
Text/271/text,"Ну що ж. [color=CRIMSON]Солодка картопля кисне[/color]. Я завжди знав, що в тобі є щось гниле, Саша."
Text/272/text,"Руссет піднімає теку. Ваші маленькі [color=DARK_VIOLET]маніфести[/color]. Ваші ""докази"". Усе знайдено."
Text/273/text,"Невже ти справді думала, що зможеш підірвати [pulse freq=2][color=DARK_VIOLET]Кореневий Запас[/color][/pulse]? Підірвати МЕНЕ?"
Text/274/text,"Копії вже розійшлися, Руссет. Світ дізнається, що ти робиш з нашим народом!"
Text/275/text,"Руссет холодно сміється. Вони знатимуть те, що ми їм скажемо. А ти? Ти станеш частиною [color=CRIMSON]особливої партії[/color]."
Text/276/text,"""[color=DARK_VIOLET]Суміш Зрадника[/color]"" — гадаю, це звучить непогано."
Text/277/text,"Ваше серце калатає. Кожен інстинкт кричить, щоб щось зробити. Але охоронці всюди."
Choice/278/text,Зробити крок вперед і вимагати її звільнення (Нерозважливо)
Choice/279/text,"Залишитися прихованим — жити, щоб боротися іншого дня (Прагматично)"
Choice/27a/text,Зловити погляд Саші і кивнути — обіцянка (Рішучість)
Text/27b/text,"Ви прориваєтеся крізь натовп. ""[color=CHARTREUSE]Стривайте! Вона нічого поганого не зробила![/color]"""
Text/27c/text,"Голова Юкона різко повертається до вас. ""[color=RED]Затримайте і цього![/color] Явно спільник!"""
Text/27d/text,"Мерфі хапає вас, відтягуючи назад. ""[color=STEEL_BLUE]Вони розгублені в хаосі! ТІКАЙ![/color]"""
Text/27e/text,"Murphy штовхає тебе до бічного коридору, поки охоронці оточують твою позицію."
Text/27f/text,"Охоронці хапають тебе. Посмішка Рассета ширшає. ""[color=CRIMSON]Два зрадники за ціною одного.[/color]"""
Text/280/text,"Ти відступаєш у тінь, ненавидячи себе кожною клітинкою. [color=STEEL_BLUE]Боягуз.[/color]"
Text/281/text,Але живий. І вільний. Поки що.
Text/282/text,"Ти зустрічаєшся поглядом із Сашею. Повільний, навмисний кивок. [color=CHARTREUSE]Я прийду за тобою.[/color]"
Text/283/text,"Вона бачить. Найменша посмішка. Потім її тягнуть за ріг, і вона зникає."
Text/284/text,"Він знаходить тебе в хаосі. Його обличчя – маска, але його очі палають."
Text/285/text,Її забрали до [color=CRIMSON]крила обробки[/color]. Підрівень 3. Туди забрали мою дружину.
Text/286/text,Він втискає щось тобі в руку – [color=GOLD]ключ-карту безпеки[/color].
Text/287/text,Коли прийде час... [color=CHARTREUSE]Я відвернуся[/color]. Заради моєї дружини. Заради всіх них.
Text/288/text,"Мерфі затягує тебе до комори, важко дихаючи."
Text/289/text,Це воно. Це [color=CRIMSON]справді відбувається[/color]. Вони схопили Сашу. Вони оброблять її до ранку.
Text/28a/text,"Це було [color=STEEL_BLUE]дурно[/color]. Хоробро, але дурно. Ти тепер у їхньому списку."
Text/28b/text,Опір щось планує. Завтра. Це наш єдиний шанс врятувати її.
Text/28c/text,Ти в справі? [color=CHARTREUSE]До кінця?[/color]
Choice/28d/text,"До кінця. Що б не знадобилося, щоб врятувати Сашу."
Choice/28e/text,Мені потрібно подумати. Це відбувається надто швидко.
Text/28f/text,Мерфі стискає твоє плече. [color=CHARTREUSE]Тоді ми рушаємо на світанку. Коріння росте глибоко.[/color]
Text/290/text,Обличчя Мерфі кам'яніє. Думай швидко. До цього часу завтра вона буде [color=DARK_VIOLET]Кореневим Резервом[/color].
Text/291/text,"Ти лежиш без сну, дивлячись у стелю. Обличчя Саші. Її непокора. Її страх."
Text/292/text,"Ти дістаєш фотографію зниклої дружини. Ще одне обличчя, яке ти не зміг врятувати."
Text/293/text,[color=CHARTREUSE]Не цього разу.[/color]
Text/294/text,До завтра все зміниться. Так чи інакше.
Text/295/text,[pulse freq=2][color=YELLOW]Більше ніякого стояння осторонь.[/color][/pulse]
Text/296/text,"Камера холодна. Крізь стіни ти чуєш Сашу десь, яку ""допитують""."
Text/297/text,"Завтра, сказали вони. Вас обох [color=DARK_VIOLET]оброблять[/color] разом."
Text/298/text,Хіба що прийде опір. Хіба що хтось врятує вас обох.
Text/299/text,[color=STEEL_BLUE]Найдовша ніч вашого життя простягається попереду.[/color]
Choice/278/disabled_text,
Choice/279/disabled_text,
Choice/27a/disabled_text,
Choice/28d/disabled_text,
Choice/28e/disabled_text,
