keys,hu
Text/240/text,"Ahogy az esti műszak vége felé jár, a legtöbb tiszt elment. Már csak te és néhány őr maradtatok."
Text/241/text,Egy nagydarab őr közeledik az állomásodhoz. Viktor a nevem. Én tartom az éjszakai őrséget.
Text/242/text,"Szemei fáradtak, gyötörtek. Te vagy az új, ugye? Akire Russet folyton figyel?"
Choice/243/text,Csak a munkámat próbálom végezni. Miért figyel Russet engem?
Choice/244/text,"Van valami, amit tudnom kellene?"
Text/245/text,"Nehézkesen vállat von. Russet mindenkit figyel, aki kérdéseket tesz fel. A [color=STEEL_BLUE]feleségem egyszer kérdéseket tett fel[/color]."
Text/246/text,"Már nincs itt, hogy kérdezzen."
Text/247/text,"Körbenéz, aztán lehalkítja a hangját. Csak... légy óvatos, kiben bízol."
Text/248/text,"És kit [color=CRIMSON]ítélsz el[/color]. Néhányan közülünk emlékszünk minden arcra, akit feldolgozásra küldtünk."
Text/249/text,"Egy ideges krumpli közeledik. A papírok rendben lévőnek tűnnek, de észreveszed a [color=CHARTREUSE]finom levél kitűzőt[/color] a gallérján."
Text/24a/text,"Átcsúsztatják a dokumentumaikat. Egy apró cetli van benne: ""[color=CHARTREUSE]Sasha küldött. Csomag a hálózatnak. Kérlek.[/color]"""
Text/24b/text,"Az új [color=DARK_ORANGE]RealityScan[/color] készenlétben villog az állomásodon. Egyetlen szkennelés, és észlelni fogja a hamisított elemeket a papírjaikban."
Choice/24c/text,"Tegyél úgy, mintha a szkenner meghibásodott volna, és engedd át őket."
Choice/24d/text,Használd a szkennert a követelményeknek megfelelően – nem kockáztathatod a lelepleződést.
Choice/24e/text,"Jelezz Viktornak, hogy nézzen félre, aztán engedd át őket."
Text/24f/text,"Megkopogtatod a szkennert, összeráncolod a homlokod, újra megkopogtatod. ""Ez az átkozott dolog rosszalkodik. Menj csak."""
Text/250/text,"Megkönnyebbülés önti el az arcukat. Némán ""[color=CHARTREUSE]Köszönöm[/color]"" -öt formálnak, és sietve elhaladnak."
Text/251/text,"Elkapod a tekintetét, és bólintasz az ügynök felé. Rájuk néz, aztán rád."
Text/252/text,"Szándékosan hátat fordít, a falat tanulmányozva. ""[color=STEEL_BLUE]A szkenner egész nap hibás volt.[/color]"""
Text/253/text,"Az ügynök átcsúszik. Viktor nem szól semmit, de most már megosztottatok egy titkot."
Text/254/text,"Lefuttatod a szkennelést. A gép [color=RED]rikolt[/color]. ""Hamisított dokumentáció észlelve."""
Text/255/text,"Rémület ül ki az arcára. ""[color=CRIMSON]Nem érted, mit tettél...[/color]"""
Text/256/text,"Ő és más őrök közelebb jönnek. Az ügynököt elhurcolják, még mindig rád meredve."
Text/257/text,Sasha elkap a sötétben. Az az ügynök a [color=CHARTREUSE]jegyzékek másolatait[/color] vitte a külső kapcsolatainknak.
Text/258/text,Miattad az igazság Spud határain túlra is eljut. [color=CHARTREUSE]Valódi változást hoztál.[/color]
Text/259/text,Sasha szemei elkerekednek. Viktor segített? Volt egy érzésem vele kapcsolatban. A felesége volt...
Text/25a/text,"Elhallgat. Több szövetségesünk van, mint gondoltam."
Text/25b/text,"Sasha rád talál, arca hideg. Annak az ügynöknek családja volt. Három sarj otthon."
Text/25c/text,Megértem a félelmet. De [color=CRIMSON]a félelemnek következményei vannak[/color]. Reggelre feldolgozzák őket.
Text/25d/text,"Remélem, megéri a tiszta lapod."
Text/25e/text,"Murphy besurran a szállásodra. Hallottam, hogy ma este volt némi izgalom az állomásodon."
Text/25f/text,[color=CHARTREUSE]Jó. Most már együtt vagyunk ebben.[/color] Nincs visszaút.
Text/260/text,"Murphy arca elkomorul. Én... Azt hittem, velünk vagy. Mi történt?"
Text/261/text,A holnapi műszak más lesz. A tét sosem volt még ekkora.
Text/262/text,"De most először úgy érzed, a [color=CHARTREUSE]jó oldalon[/color] állsz. Bármibe is kerül."
Text/263/text,"Az ügynök arca kísért. A családja sosem fogja megtudni, miért nem ment haza."
Text/264/text,[color=STEEL_BLUE]Miattad.[/color]
Choice/243/disabled_text,
Choice/244/disabled_text,
Choice/24c/disabled_text,
Choice/24d/disabled_text,
Choice/24e/disabled_text,
