keys,ru
Text/117/text,Пропускной пункт превратился в военный аванпост. Элитные гвардейцы в черной форме патрулируют с выставленным напоказ оружием.
Text/118/text,"Я — Начальник службы безопасности Юкон, направленный из столицы премьер-министром Айдахо."
Text/119/text,Разведданные указывают на [pulse freq=2][color=YELLOW]неминуемую террористическую атаку[/color][/pulse]. «Сопротивление» планирует проникнуть завтра.
Text/11a/text,Все офицеры пройдут [wave amp=15 freq=2][color=DARK_ORANGE]проверку на лояльность[/color][/wave]. Подозрительное поведение означает задержание и [color=DARK_VIOLET]обработку[/color].
Text/11b/text,[tornado radius=3 freq=2][color=RED]Полное сотрудничество[/color][/tornado] со Службой безопасности обязательно. Мои доклады о каждом из вас были переданы Начальнику.
Text/11c/text,"Взгляд Рассета неловко задерживается на вас, прежде чем перейти дальше."
Text/11d/text,Это [color=DARK_ORANGE]ИдентиСкан 5000[/color]. Он анализирует биометрические данные для обнаружения лазутчиков и сочувствующих.
Text/11e/text,"Любой, кто вызовет срабатывание сканера, столкнется с [color=CRIMSON]усиленным допросом[/color]. Используйте его без исключений."
Text/11f/text,Ты видел Сашу? Она не явилась на перекличку. Прошлой ночью [color=CRIMSON]силы безопасности вошли в ее жилище[/color].
Text/120/text,"Говорят, что она была частью [pulse freq=2][color=CHARTREUSE]сопротивления[/color][/pulse]."
Choice/121/text,"""Нам не следует об этом говорить. Это опасно."""
Choice/122/text,"""Я тоже за нее волнуюсь. Это неправильно."""
Text/123/text,Ты прав. Но береги себя. Они ищут связи с ней.
Text/124/text,"Значит, вы были близки? Будь осторожен. Они могут следить и за тобой."
Text/125/text,"Офицер подсовывает вам записку: ""[color=YELLOW]Очисти свою станцию от всего подозрительного.[/color]"""
Text/126/text,Вы довольно давно на этом пропускном пункте. Интересный послужной список.
Text/127/text,"Вас часто видели с офицером Сашей, теперь находящейся под следствием за [wave amp=20 freq=3][color=CRIMSON]государственную измену[/color][/wave]."
Text/128/text,"Начальник наклоняется вперед. Есть ли что-нибудь, что вы хотели бы рассказать мне о ее деятельности?"
Choice/129/text,"""Саша и я были просто коллегами. Я ничего не знаю о ней вне работы."""
Choice/12a/text,"""Я собирал доказательства ее подозрительной деятельности, чтобы сообщить об этом позже."""
Text/12b/text,Множество свидетелей говорят обратное. Однако без конкретных доказательств я не могу вас задержать. [color=YELLOW]Пока.[/color]
Text/12c/text,"Вы будете под [color=CRIMSON]пристальным наблюдением[/color]. Одна ошибка, и вы [color=DARK_VIOLET]присоединитесь к Саше[/color]."
Text/12d/text,Как удобно. И все же вы не подавали никаких отчетов до сих пор.
Text/12e/text,"Вы предоставите полное заявление. Если ваша информация окажется ценной, возможно, мы закроем глаза на вашу задержку с докладом."
Text/12f/text,Я буду [color=CRIMSON]контролировать вашу работу[/color] сегодня. Каждый путешественник должен быть проверен сканером личности. [color=RED]Без исключений[/color].
Text/130/text,"Сашу забрали. План сопротивления [color=CRIMSON]скомпрометирован[/color]. При повышенной бдительности охраны, их шансы кажутся безнадежными."
Choice/121/disabled_text,
Choice/122/disabled_text,
Choice/129/disabled_text,
Choice/12a/disabled_text,
