keys,ja
Character/173/name,ラジオアナウンサー
Character/174/name,マーフィー
Character/175/name,ナレーター
Character/176/name,無口な芋
Character/177/name,心配そうな芋
Character/178/name,古代の芋
Character/179/name,You
Character/17a/name,アイダホ首相
Character/17b/name,レジスタンスリーダー
Character/17c/name,不信感のあるレジスタンスメンバー
Character/17d/name,大胆不敵なレジスタンスメンバー
Character/17e/name,警備主任
Character/17f/name,警備員
Character/180/name,スパッド・マシャーソン
Character/181/name,ラセット監督官
Character/181/nicknames,"ラス,ラセット,ラセット監督官"
Character/182/name,スイートポテト・サーシャ
Character/183/name,落ち着きのない旅人
Character/184/name,ヴィクトル
Character/183/nicknames,
Character/184/nicknames,
Character/173/nicknames,
Character/182/nicknames,
Character/180/nicknames,
Character/17f/nicknames,
Character/17e/nicknames,
Character/17d/nicknames,
Character/17c/nicknames,
Character/17b/nicknames,
Character/17a/nicknames,
Character/179/nicknames,
Character/178/nicknames,
Character/177/nicknames,
Character/176/nicknames,
Character/175/nicknames,
Character/174/nicknames,
