keys,ar
Text/3a/text,"تم إعادة بناء نقطة التفتيش بعد هجوم المقاومة. الأمن لم يسبق له مثيل، مع بث دعائي يمجد ""المدافعين الشجعان""."
Text/3b/text,تمت ترقيتي إلى مدير إقليمي لأمن الحدود و[pulse freq=2]توزيع احتياطي الجذور[/pulse].
Text/3c/text,يثبت راسيت ميدالية صغيرة على زيّك. مساعد المدير الإقليمي... لولائك الثابت لسبود.
Text/3d/text,لدي مهمة خاصة! سيقوم رئيس الوزراء أيداهو بتفتيش منشأتنا اليوم. لقد تم اختيارك للعرض.
Text/3e/text,"هل رأيت الدفعة الجديدة من احتياطي الجذور؟ يسمونها ""مزيج المقاومة"" بعد ما حدث لأولئك الأسرى."
Text/3f/text,البعض يقولون إن المقاومة لم تكن مخطئة تمامًا. أن هناك [wave amp=15 freq=3]أدلة على أنهم كانوا يقولون الحقيقة[/wave]...
Choice/40/text,"""كن حذرًا. حتى الحديث بهذا الشكل خطير الآن."""
Choice/41/text,"""راودتني نفس الأفكار. هذا لا يبدو صحيحًا."""
Text/42/text,لم يعد الجميع يصدقون الرواية الرسمية. أبقِ عينيك مفتوحتين خلال زيارة رئيس الوزراء.
Text/43/text,هناك مقاومة جديدة تتشكل. أكثر هدوءًا، وأكثر حذرًا. إذا أردت معرفة المزيد... ابحث عن شعار البطاطس الأصفر.
Text/44/text,انتباه: وصل موكب رئيس الوزراء أيداهو. جميع الضباط إلى محطاتهم المخصصة. بروتوكولات التفتيش سارية المفعول.
Text/45/text,ميداليتك تبدو ثقيلة - مكافأة على الولاء، أم علامة عار؟ قريبًا ستواجه مهندس احتياطي الجذور.
Text/46/text,بعد البث الذي كشف احتياطي الجذور، اندلعت انتفاضات في جميع أنحاء سبود. لا يزال رئيس الوزراء أيداهو محصنًا داخل مبنى الإدارة.
Text/47/text,يخطط أيداهو لبث أخير ليلقي اللوم علينا بخصوص احتياطي الجذور. لا يمكننا أن ندعه يعيد كتابة التاريخ. اليوم، ننهي نظامه.
Text/48/text,لقد أنقذت حياتي في محطة المعالجة. الآن لدينا فرصة لإنقاذ سبود بأكملها.
Text/49/text,معرفتك ببروتوكولات الأمن ستكون حاسمة للمهمة النهائية. هل أنت مستعد؟
Choice/4a/text,"""أنا مستعد. لننهِ ما بدأناه."""
Choice/4b/text,"""ما هي الخطة بالضبط؟ أحتاج إلى تفاصيل."""
Text/4c/text,كنت أعلم أنك لن تتراجع. أنت أحد [tornado radius=3 freq=2]أقوى حلفائنا[/tornado].
Text/4d/text,سنتسلل باستخدام زيّات حكومية. ستساعد في تجاوز أنظمة الأمن. هدفنا هو القبض على أيداهو وإجباره على اعتراف علني.
Text/4e/text,ستكون ضمن فريق ألفا مع ساشا، لاقتحام المدخل الشرقي. هدفك: [color=GREEN]تأمين مركز البث[/color].
Text/4f/text,من ضابط جمارك مخلص إلى مقاتل مقاومة؟ إنه تحول لم تتخيله قط. مهما حدث، لن تعود سبود كما كانت أبدًا.
Choice/40/disabled_text,
Choice/41/disabled_text,
Choice/4a/disabled_text,
Choice/4b/disabled_text,
