keys,el
Text/156/text,Καλώς ήρθατε στο [pulse freq=2][color=MEDIUM_VIOLET_RED]Τελωνείο Πατάτας![/color][/pulse]
Text/157/text,Αυτή η εκπαίδευση θα σας διδάξει τις [wave amp=15 freq=2][color=DARK_ORANGE]απαραίτητες δεξιότητες[/color][/wave] που χρειάζονται για την προστασία των συνόρων της Πατάτας.
Text/158/text,Έχετε επιλεγεί για έναν ζωτικό ρόλο: [color=DARK_ORANGE]Τελωνειακός Υπάλληλος Συνόρων[/color].
Text/159/text,Οι πατάτες-μετανάστες θα περιμένουν στην ουρά έξω από το γραφείο σας εδώ.
Text/15a/text,"Για να ξεκινήσετε την επεξεργασία των πατατών, πρέπει να ανοίξετε το θάλαμό σας για εξυπηρέτηση με τον διακόπτη εδώ."
Text/15b/text,Θα δίνετε σήμα σε κάθε πατάτα να πλησιάσει το γραφείο σας πατώντας το μεγάφωνο.
Text/15c/text,Οι πατάτες θα εισέρχονται στον θάλαμο μία-μία και θα παρουσιάζουν τα έγγραφά τους.
Text/15d/text,"Πρώτα, μετακινήστε τα έγγραφά τους στο τραπέζι επιθεώρησης για καλύτερο έλεγχο."
Text/15e/text,"Έπειτα, αναζητήστε [tornado radius=3 freq=2][color=YELLOW]λήξεις ημερομηνιών, λανθασμένες πληροφορίες, ή σημάδια πλαστογραφίας[/color][/tornado]."
Text/15f/text,"Το γραφείο σας διαθέτει σφραγίδες για τη σήμανση εγγράφων, μπορείτε να κάνετε κλικ εδώ για να τραβήξετε έξω τη μπάρα σφραγίδων."
Text/160/text,Έπειτα τοποθετήστε το έγγραφο κάτω από τη σφραγίδα που θέλετε...
Text/161/text,Κάντε κλικ στη σφραγίδα για να σημάνετε τα έγγραφα ως [color=CHARTREUSE]εγκεκριμένα[/color] ή [color=CRIMSON]απορριφθέντα[/color]...
Text/162/text,Και σύρετε το έγγραφο πίσω στην πατάτα για να οριστικοποιήσετε την απόφασή σας!
Text/163/text,"Μερικές φορές, οι πατάτες θα προσπαθήσουν να [color=CRIMSON]περάσουν βιαστικά το σημείο ελέγχου σας[/color]."
Text/164/text,"Έχετε μια απευθείας σύνδεση στον θάλαμό σας, η οποία σας επιτρέπει να ελέγχετε [pulse freq=3][color=CRIMSON]εκτοξευτές πυραύλων[/color][/pulse] κατά μήκος του τείχους των συνόρων."
Text/165/text,"Κάντε κλικ σε αυτούς τους ""δραπέτες"" για να εκτοξεύσετε έναν πύραυλο και να τους σταματήσετε."
