keys,fr
Character/173/name,Animateur radio
Character/174/name,Officier collègue
Character/175/name,Narrateur
Character/176/name,Pomme de terre silencieuse
Character/177/name,Pomme de terre inquiète
Character/178/name,Pomme de terre ancienne
Character/179/name,Vous
Character/17a/name,Premier ministre Idaho
Character/17b/name,Chef de la résistance
Character/17c/name,Membre méfiant de la résistance
Character/17d/name,Membre effronté de la résistance
Character/17e/name,Chef de la sécurité
Character/17f/name,Agent de sécurité
Character/180/name,Patate Écrason
Character/181/name,Superviseur Russet
Character/181/nicknames,"Russ,Russet,Superviseur Russet"
Character/182/name,Patate douce Sasha
Character/183/name,Voyageur nerveux
Character/183/nicknames,
Character/173/nicknames,
Character/182/nicknames,
Character/180/nicknames,
Character/17f/nicknames,
Character/17e/nicknames,
Character/17d/nicknames,
Character/17c/nicknames,
Character/17b/nicknames,
Character/17a/nicknames,
Character/179/nicknames,
Character/178/nicknames,
Character/177/nicknames,
Character/176/nicknames,
Character/175/nicknames,
Character/174/nicknames,
Character/184/name,Viktor
