keys,es
Text/3a/text,"El punto de control ha sido reconstruido después del ataque de la resistencia. La seguridad es sin precedentes, con transmisiones de propaganda alabando a los ""valientes defensores""."
Text/3b/text,He sido ascendido a Director Regional de Seguridad Fronteriza y [pulse freq=2]Distribución de Reserva Raíz[/pulse].
Text/3c/text,Russet prende una pequeña medalla en tu uniforme. Subdirector Regional... por tu lealtad inquebrantable a Spud.
Text/3d/text,¡Tengo una misión especial! El Primer Ministro Idaho inspeccionará nuestra instalación hoy. Has sido seleccionado para la demostración.
Text/3e/text,¿Has visto el nuevo lote de Reserva Raíz? Lo están llamando 'Mezcla de Resistencia' después de lo que le sucedió a los cautivos.
Text/3f/text,Algunos dicen que la resistencia no estaba completamente equivocada. Que hay [wave amp=15 freq=3]evidencia de que decían la verdad[/wave]...
Choice/40/text,Ten cuidado. Hablar así ahora es peligroso. (Cauteloso)
Choice/41/text,He tenido los mismos pensamientos. Esto no se siente bien. (Comprensivo)
Text/42/text,No todos creen ya la historia oficial. Mantén los ojos abiertos durante la visita del Primer Ministro.
Text/43/text,"Hay una nueva resistencia formándose. Más silenciosa, más cuidadosa. Si quieres saber más... busca el emblema de la patata amarilla."
Text/44/text,ATENCIÓN: El convoy del Primer Ministro Idaho ha llegado. Todos los oficiales a sus estaciones asignadas. Protocolos de inspección en vigor.
Text/45/text,Tu medalla se siente pesada - ¿una recompensa por lealtad o una marca de vergüenza? Pronto te enfrentarás al arquitecto de la Reserva Raíz.
Text/46/text,"Tras la transmisión que expuso la Reserva Raíz, se han desatado levantamientos en todo Spud. El Primer Ministro Idaho permanece atrincherado en el edificio administrativo."
Text/47/text,Idaho planea una última transmisión para culpar a la Reserva Raíz de nosotros. No podemos dejarle reescribir la historia. Hoy terminamos su régimen.
Text/48/text,Me salvaste la vida en la planta de procesamiento. Ahora tenemos la oportunidad de salvar todo Spud.
Text/49/text,Tu conocimiento de los protocolos de seguridad será crucial para la misión final. ¿Estás preparado?
Choice/4a/text,Estoy preparado. Terminemos lo que empezamos.
Choice/4b/text,¿Cuál es exactamente el plan? Necesito detalles.
Text/4c/text,Sabía que no te echarías atrás. Eres uno de nuestros [tornado radius=3 freq=2]aliados más fuertes[/tornado].
Text/4d/text,Infiltraremos usando uniformes gubernamentales. Ayudarás a eludir los sistemas de seguridad. Nuestro objetivo es capturar a Idaho y forzar una confesión pública.
Text/4e/text,"Estarás en el Equipo Alfa con Sasha, penetrando la entrada este. Tu objetivo: [color=GREEN]asegurar el centro de transmisión[/color]."
Text/4f/text,"¿De oficial de aduanas leal a luchador de la resistencia? Una transformación que nunca imaginaste. Pase lo que pase, Spud nunca volverá a ser el mismo."
Choice/4a/disabled_text,
Choice/4b/disabled_text,
Choice/41/disabled_text,
Choice/40/disabled_text,
