keys,cs
Text/78/text,"Další den na kontrolním stanovišti. Fronta brambor je delší než kdy jindy, každý je napjatý."
Text/79/text,Nové rozkazy shora. [wave amp=15 freq=3][color=DARK_ORANGE]Zdvojnásobujeme zamítnutí[/color][/wave]. Jakékoli brambory považované za nebezpečné jsou okamžitě zadrženy.
Text/7a/text,Mám speciální úkol. Máme zpravodajské informace o [pulse freq=2][color=CRIMSON]problémových jedincích[/color][/pulse]. Buďte obezřetní při kontrolách.
Choice/7b/text,"Ano, pane, nezklamám vás"
Choice/7c/text,O jakých problémových jedincích mluvíte?
Text/7d/text,"Dobře. Věděl jsem, že se na vás mohu spolehnout. S tímto přístupem postoupíte vysoko."
Text/7e/text,"Ti, co [color=CRIMSON]ohrožují náš způsob života[/color]. Neptejte se příliš mnoha otázek, pokud víte, co je pro vás dobré."
Text/7f0/text,"Řekněte... vypadáte úplně jako můj bratr."
Text/7f/text,"[color=STEEL_BLUE]Prosím, zapřísahám vás![/color] Moje žena měla být hned za mnou, ale [tornado radius=2 freq=3]nikdy nepřešla celní kontrolou[/tornado]."
Text/80/text,"Nikdo mi neřekne, co se jí stalo. Prosím, [color=CHARTREUSE]pomozte mi ji najít![/color]"
Choice/81/text,"Je mi líto, ale nemohu s tím nic udělat."
Choice/82/text,Nechám se po tom pátrat. Bez záruky.
Text/83/text,Stejně jako všichni ostatní... [color=STEEL_BLUE]Kéž vaše svědomí těží stejně jako mé.[/color]
Text/84/text,"Děkuji! I malá naděje je lepší než žádná. Zde je její fotografie. Prosím, najděte ji."
Text/85/text,Viděl jsem tu výměnu. [color=DARK_ORANGE]Soucit s odmítnutými vede jen k potížím.[/color] Zůstaňte zaměřeni na svou povinnost.
Choice/7b/disabled_text,
Choice/82/disabled_text,
Choice/81/disabled_text,
Choice/7c/disabled_text,
Text/7fb/text,"Ona se [tornado radius=2 freq=3]nikdy nedostala přes celnici[/tornado]. Řekli, že její doklady měly „nesrovnalost“."
Text/83b/text,"Zoufalá brambora se odšourá pryč. Všimnete si, jak zírá na opotřebovanou fotografii, než zmizí."
Text/84b/text,"Vtiskně vám do rukou [color=GOLD]opotřebovanou fotografii[/color]. Jmenuje se [color=GOLD]Maris Piper[/color]. Má laskavé oči. Prosím, najděte ji."
Text/84c/text,Podíváte se na fotografii. Mladá brambora s jemnými rysy a vřelým úsměvem. [color=GOLD]Maris Piper[/color].
Text/84d/text,Kam se poděla? Fronta odmítnutých vede k... kam přesně?
