keys,hu
dialogue_spud_being_called_1,"Következő lépés, a sorsod vár."
dialogue_spud_being_called_2,"A sor élén, az igazság pillanata közeledik."
dialogue_spud_being_called_3,"Lépj előre, a gumós lények kiválasztottja."
dialogue_spud_being_called_4,Gratulálunk! A várakozásod sikeres volt.
dialogue_spud_being_called_5,A Nagy Burgonya Bürokrácia hív téged.
dialogue_spud_being_called_6,"Előre, nemes gumós! A papírok várnak!"
dialogue_spud_being_called_7,Mozogj! A pecsét türelmetlenné válik.
dialogue_spud_being_called_8,Mozogj gyorsan! A P-38B űrlap kitöltésre vár.
dialogue_spud_being_called_9,"Gyere előre, a sors megköveteli a belépésedet."
dialogue_spud_being_called_10,"Közelíts a megítélés pultjához, gumós."
dialogue_spud_in_office_1,Légy türelmes. Az idő egy illúzió.
dialogue_spud_in_office_2,A várakozás jellemet épít. És keményítőt.
dialogue_spud_in_office_3,A sor titokzatos utakon halad.
dialogue_spud_in_office_4,A pozíciódat a hatóságok rögzítik.
dialogue_spud_in_office_5,Sorban állás: az univerzális állandó.
dialogue_spud_in_office_6,"Egyetlen gumós sem áll készen, míg a várakozás meg nem érleli."
dialogue_spud_in_office_7,"Türelem: nem az egyetlen erény, de megemlítve."
dialogue_spud_in_office_8,A bürokrata kerekek lassan fordulnak. Nagyon lassan.
dialogue_spud_in_office_9,"Ó, az eljárás édes hangja!"
dialogue_spud_in_office_10,A mai sor holnap anekdota lesz.
dialogue_spud_in_office_11,Az idő a sorokban meghajlik. Meg lett mérve.
dialogue_spud_in_office_12,Várakozási képesség: 43. szint elérve!
dialogue_warnings_1,"Akik ellenállnak, azokat pontosan lehámozzák."
dialogue_warnings_2,A sor megsértőit Expressz Feldolgozásba küldik.
dialogue_warnings_3,A sor megzavarása előadásokat vált ki a sorokról.
dialogue_warnings_4,A engedetlenség a Forró Olaj Szobájába vezet.
dialogue_warnings_5,"Nem kell igazságosnak lennünk, csak szervezettnek."
dialogue_warnings_6,A Burgonya Megfelelőségi Bizottság mindent lát.
dialogue_warnings_7,Bajkeverők: vaj nélkül összezúzva.
dialogue_warnings_8,A káosz okozói gyorsan hasáburgonnyává válnak.
dialogue_warnings_9,A szabályszegők kétszer sült státuszt kapnak.
dialogue_warnings_10,A Sor Ellenőrei rögzítették a létezésedet.
dialogue_warnings_11,A dossziéd: a PIROS pecséttel megjelölve.
dialogue_misc_1,Hol van mindenki?
dialogue_misc_2,Vészhelyzet? Folytasd a várakozást a sorrendben.
dialogue_misc_3,Elolvastad a várakozási megállapodás hetedik bekezdését?
dialogue_misc_4,"Elveszett tulajdon: megtalálva, megadóztatva, elhagyva."
dialogue_misc_5,"Ha egy burgonya panaszkodik, ad-e hangot?"
dialogue_misc_6,A fény egy táblával helyettesítve: 'Több Alagút.'
dialogue_misc_7,A halál múlandó. A bürokrácia örök.
dialogue_misc_8,Az irattári rendszer tudatosságot ért el. Maradj nyugodt.
dialogue_misc_9,A mai szerencseszámok semmit sem jelentenek. Elnézést.
dialogue_misc_10,"Apokalipszis? Végy egy számot, várd a eltűnést."
dialogue_misc_11,"Nincs bizonyíték, több formanyomtatvány szükséges."
dialogue_document_interaction_1,"Vedd el a dokumentumaidat, kérlek."
dialogue_document_interaction_2,VEDD EL ŐKET!
dialogue_perfect_stamp_1,Kiváló munka!
dialogue_perfect_stamp_2,"Na EZ az, ahogy bélyegezni kell!"
dialogue_perfect_stamp_3,Pontosság a javából!
dialogue_perfect_stamp_4,A bélyegző istenek rád mosolyognak!
dialogue_perfect_stamp_5,Tankönyvi technika!
dialogue_runner_stopped_1,MEGCSÍPTEM!
dialogue_runner_stopped_2,Nem az én műszakomban!
dialogue_runner_stopped_3,Az igazság forrón és frissen tálalva!
dialogue_runner_stopped_4,Ez történik a szökevényekkel!
dialogue_runner_stopped_5,Célpont eliminálva!
dialogue_runner_escaped_1,A fenébe! Megszöktek!
dialogue_runner_escaped_2,Átkozott legyen! Túl lassú voltam!
dialogue_runner_escaped_3,Az az egy átcsúszott...
dialogue_runner_escaped_4,A papírmunka ehhez...
dialogue_runner_escaped_5,Nem a legjobb pillanatom.
dialogue_wrong_stamp_1,"Várjunk, ez nem stimmel..."
dialogue_wrong_stamp_2,"Hmm, ezt akartam csinálni?"
dialogue_wrong_stamp_3,A tinta... elárul engem!
dialogue_wrong_stamp_4,Hoppá.
dialogue_strike_received_1,Ez rákerül a nyilvántartásomra...
dialogue_strike_received_2,A Minisztériumnak ez nem fog tetszeni.
dialogue_strike_received_3,Egy lépéssel közelebb a pürésítéshez...
dialogue_strike_received_4,Sztrájk! De nem a jó fajta.
