keys,de
Text/a6/text,"Die Grenzanlage fühlt sich heute anders an. Angespannt. Sicherheitspatrouillen in größerer Zahl, während vorsichtiges Schweigen das Geplauder ersetzt."
Text/a7/text,Letzte Nacht wurden [pulse freq=2][color=CRIMSON]verbotene Materialien[/color][/pulse] entdeckt. Flugblätter mit Lügen über [color=DARK_VIOLET]Root Reserve[/color].
Text/a8/text,Wir implementieren [wave amp=15 freq=2][color=DARK_ORANGE]Bedrohungsstufe ORANGE Protokolle[/color][/wave]. Alle Beamten unterliegen Loyalitätsüberprüfungen. Alle Reisenden werden maximal überprüft.
Text/a9/text,Es funktioniert. Die Flugblätter verbreiten sich. Die Leute stellen Fragen über [color=DARK_VIOLET]Root Reserve[/color].
Text/aa/text,"Ich habe Quellen, die mir sagen, dass es ein Lieferprotokoll in Russets Büro gibt - Transportmanifeste, die [tornado radius=3 freq=2][color=CHARTREUSE]alles beweisen könnten[/color][/tornado]."
Text/ab/text,"Ich brauche deine Hilfe, um es zu bekommen. Heute Abend, nach der letzten Schicht. Kann ich auf dich zählen?"
Choice/ac/text,Ich bin dabei. Lass uns die Wahrheit aufdecken.
Choice/ad/text,"Ich weiß nicht, Sasha... das könnte gefährlich sein."
Text/ae/text,"Gott sei Dank. Ich wusste, du hast [color=CHARTREUSE]stärkere Wurzeln als die anderen[/color]. Wir treffen uns um Mitternacht."
Text/af/text,"Manchmal müssen wir [color=CHARTREUSE]riskieren, zerquetscht zu werden, um das Richtige zu tun[/color]. Denk darüber nach."
Text/b0/text,"[color=DARK_ORANGE]Loyalitätsprüfung[/color]. Bitte nenne deinen Namen und deine Dienstnummer. Dann sage mir, warum du Spud dienst."
Choice/b1/text,"Ich diene, um unsere Grenzen vor gefährlichen Einflüssen zu schützen."
Choice/b2/text,"Ich diene, um sicherzustellen, dass jeder eine faire Behandlung erhält."
Text/b3/text,"Gute Antwort. Spud braucht loyale Beschützer. Scanner zeigt grün. Weitermachen, Beamter."
Text/b4/text,"Die Augenbrauen des Beamten heben sich. Faire Behandlung? Scanner blinkt [color=DARK_ORANGE]bernsteinfarben[/color]. Denken Sie daran, unsere Hauptsorge ist Sicherheit, nicht Fairness."
Text/b5/text,Das heutige Kontingent wurde erhöht. Jeder mit verdächtigen Materialien ist für [color=DARK_VIOLET]spezielle Verarbeitung[/color] zu kennzeichnen.
Text/b6/text,Ich werde [color=DARK_ORANGE]deine Entscheidungen[/color] heute sehr genau beobachten.
Text/b7/text,"Heute Abend könnte alles verändern. Aber zuerst [color=YELLOW]überlebe den Tag, ohne Verdacht zu erregen[/color]."
Choice/ac/disabled_text,
Choice/b2/disabled_text,
Choice/b1/disabled_text,
Choice/ad/disabled_text,
Text/b4_viktor1/text,Ein kräftiger Wachmann hält dich im Vorbeigehen am Arm fest. Sein Gesicht ist von Sorge gezeichnet.
Text/b4_viktor2/text,"Hey... Entschuldigung, dass ich störe. Sie sind doch einer der Zollbeamten, oder? Mein Name ist [color=CHARTREUSE]Viktor[/color]."
Text/b4_viktor3/text,"Ich habe jeden nach meiner Frau, [color=GOLD]Elena[/color], gefragt. Elena Petrov. Sie hat diesen Kontrollpunkt vor drei Wochen passiert."
Text/b4_viktor4/text,"[color=STEEL_BLUE]Prüfung nicht bestanden.[/color] Man sagte, sie würde bearbeitet und nach Hause zurückgeschickt, aber... ich habe nichts mehr gehört."
Text/b4_viktor5/text,"Seine Stimme zittert. Niemand will mir etwas sagen. Wissen Sie, wohin die abgewiesenen Reisenden gehen?"
Choice/b4_viktor6/text,"""Es tut mir leid, Viktor. Ich weiß es nicht. Aber ich werde die Augen offen halten."""
Choice/b4_viktor7/text,"""Ich darf keine Details zur Bearbeitung preisgeben. Sicherheitsprotokolle."""
Text/b4_viktor8/text,"Viktors Augen zeigen einen Funken Hoffnung. [color=CHARTREUSE]Danke.[/color] Alles, was Sie herausfinden... bitte. Sie ist alles, was ich habe."
Text/b4_viktor9/text,"Viktor nickt, niedergeschlagen. [color=STEEL_BLUE]Richtig. Protokolle.[/color] Ich verstehe."
Text/b4_viktor10/text,"Aber falls Sie es sich anders überlegen... [color=YELLOW]Ich muss wissen, was mit ihr passiert ist.[/color]"
