keys,el
Text/117/text,Το σημείο ελέγχου έχει μετατραπεί σε στρατιωτικό φυλάκιο. Επίλεκτοι φρουροί με μαύρες στολές περιπολούν με εμφανή όπλα.
Text/118/text,"Είμαι ο Αρχηγός Ασφαλείας Γιούκον, απεσταλμένος από την πρωτεύουσα από τον Πρωθυπουργό Άινταχο."
Text/119/text,Οι πληροφορίες δείχνουν [pulse freq=2][color=YELLOW]επικείμενη τρομοκρατική επίθεση[/color][/pulse]. Η «αντίσταση» σχεδιάζει να διεισδύσει αύριο.
Text/11a/text,Όλοι οι αξιωματικοί θα υποβληθούν σε [wave amp=15 freq=2][color=DARK_ORANGE]έλεγχο αφοσίωσης[/color][/wave]. Ύποπτη συμπεριφορά σημαίνει κράτηση και [color=DARK_VIOLET]επεξεργασία[/color].
Text/11b/text,[tornado radius=3 freq=2][color=RED]Πλήρης συνεργασία[/color][/tornado] με την Ασφάλεια είναι υποχρεωτική. Οι αναφορές μου για τον καθένα σας έχουν παραδοθεί στον Αρχηγό.
Text/11c/text,Το βλέμμα του Ράσετ μένει πάνω σου άβολα πριν προχωρήσει.
Text/11d/text,Αυτό είναι το [color=DARK_ORANGE]IdentityScan 5000[/color]. Αναλύει βιομετρικά στοιχεία για να εντοπίσει διεισδυτές και συμπαθούντες.
Text/11e/text,Όποιος ενεργοποιήσει τον σαρωτή θα αντιμετωπίσει [color=CRIMSON]ενισχυμένη ανάκριση[/color]. Χρησιμοποιήστε το χωρίς εξαίρεση.
Text/11f/text,"Έχεις δει τη Σάσα; Δεν παρουσιάστηκε στην αναφορά. Χθες το βράδυ, [color=CRIMSON]δυνάμεις ασφαλείας μπήκαν στα καταλύματά της[/color]."
Text/120/text,Λένε ότι ήταν μέλος της [pulse freq=2][color=CHARTREUSE]αντίστασης[/color][/pulse].
Choice/121/text,"""Δεν πρέπει να μιλάμε γι' αυτό. Είναι επικίνδυνο."""
Choice/122/text,"""Ανησυχώ κι εγώ για εκείνη. Αυτό δεν είναι σωστό."""
Text/123/text,Έχεις δίκιο. Αλλά πρόσεχε. Ψάχνουν για συνδέσεις με αυτήν.
Text/124/text,Ήσασταν κοντά; Να είσαι προσεκτικός. Μπορεί να σε παρακολουθούν κι εσένα.
Text/125/text,"Ο αξιωματικός σου δίνει ένα σημείωμα: ""[color=YELLOW]Καθάρισε τον σταθμό σου από οτιδήποτε ύποπτο.[/color]"""
Text/126/text,Είσαι σε αυτό το σημείο ελέγχου εδώ και αρκετό καιρό. Ενδιαφέρον ιστορικό απόδοσης.
Text/127/text,"Σε είδαν συχνά με την Αξιωματικό Σάσα, τώρα υπό έρευνα για [wave amp=20 freq=3][color=CRIMSON]προδοσία[/color][/wave]."
Text/128/text,Ο αρχηγός σκύβει προς τα εμπρός. Υπάρχει κάτι που θα ήθελες να μου πεις για τις δραστηριότητές της;
Choice/129/text,"""Η Σάσα κι εγώ ήμασταν απλώς συνάδελφοι. Δεν ξέρω τίποτα για εκείνη εκτός δουλειάς."""
Choice/12a/text,"""Συγκέντρωνα στοιχεία για τις ύποπτες δραστηριότητές της για να αναφέρω αργότερα."""
Text/12b/text,"Πολλοί μάρτυρες λένε το αντίθετο. Χωρίς συγκεκριμένα στοιχεία όμως, δεν μπορώ να σε κρατήσω. [color=YELLOW]Ακόμα.[/color]"
Text/12c/text,"Θα είσαι υπό [color=CRIMSON]στενή παρακολούθηση[/color]. Ένα λάθος, και θα [color=DARK_VIOLET]συνοδεύσεις τη Σάσα[/color]."
Text/12d/text,Τι βολικό. Και όμως δεν υπέβαλες αναφορές μέχρι τώρα.
Text/12e/text,"Θα δώσεις μια πλήρη κατάθεση. Αν οι πληροφορίες σου αποδειχθούν πολύτιμες, ίσως παραβλέψουμε την καθυστερημένη αναφορά σου."
Text/12f/text,Θα [color=CRIMSON]παρακολουθώ τη δουλειά σου[/color] σήμερα. Κάθε ταξιδιώτης πρέπει να υποβληθεί σε σάρωση ταυτότητας. [color=RED]Καμία εξαίρεση[/color].
Text/130/text,"Η Σάσα συνελήφθη. Το σχέδιο της αντίστασης έχει [color=CRIMSON]διακυβευτεί[/color]. Με την ασφάλεια σε ύψιστο συναγερμό, οι πιθανότητές τους μοιάζουν απελπιστικές."
Choice/121/disabled_text,
Choice/122/disabled_text,
Choice/129/disabled_text,
Choice/12a/disabled_text,
