keys,th
Text/240/text,เมื่อกะเย็นใกล้จะสิ้นสุดลง เจ้าหน้าที่ส่วนใหญ่กลับไปแล้ว เหลือเพียงคุณและเจ้าหน้าที่รักษาความปลอดภัยไม่กี่คน
Text/241/text,เจ้าหน้าที่รักษาความปลอดภัยร่างใหญ่เดินเข้ามาใกล้สถานีของคุณ ชื่อวิกเตอร์ ผมเข้าเวรกลางคืน
Text/242/text,ดวงตาของเขาดูเหนื่อยล้าและหวาดระแวง คุณเป็นคนใหม่ใช่ไหม? คนที่รัสเซ็ตคอยจับตาดูอยู่?
Choice/243/text,ผมแค่พยายามทำงานของผม ทำไมรัสเซ็ตถึงจับตาดูผม?
Choice/244/text,มีอะไรที่ผมควรรู้ไหม?
Text/245/text,เขาไหวไหล่อย่างหนักใจ รัสเซ็ตจับตาดูทุกคนที่ตั้งคำถาม [color=STEEL_BLUE]ภรรยาของผมเคยตั้งคำถาม[/color]ครั้งหนึ่ง
Text/246/text,เธอไม่ได้อยู่ตรงนี้เพื่อถามอีกต่อไปแล้ว
Text/247/text,เขาเหลือบมองไปรอบๆ แล้วลดเสียงลง แค่... ระวังคนที่คุณไว้ใจ
Text/248/text,และคนที่คุณ[color=CRIMSON]ตัดสิน[/color] พวกเราบางคนจำได้ทุกใบหน้าที่เราส่งไปดำเนินการ
Text/249/text,มันฝรั่งที่ดูประหม่าเดินเข้ามา เอกสารดูเหมือนจะเรียบร้อยดี แต่คุณสังเกตเห็น[color=CHARTREUSE]เข็มกลัดรูปใบไม้เล็กๆ[/color] บนปกเสื้อของพวกเขา
Text/24a/text,"พวกเขายื่นเอกสารมาให้ มีโน้ตเล็กๆ ซ่อนอยู่ข้างใน: ""[color=CHARTREUSE]ซาช่าส่งฉันมา พัสดุสำหรับเครือข่าย ได้โปรด[/color]"""
Text/24b/text,เครื่อง [color=DARK_ORANGE]RealityScan[/color] เครื่องใหม่กระพริบพร้อมใช้งานที่สถานีของคุณ สแกนครั้งเดียวก็จะตรวจพบเอกสารปลอมแปลงในเอกสารของพวกเขา
Choice/24c/text,แกล้งทำเป็นว่าเครื่องสแกนเสียแล้วโบกมือให้พวกเขาผ่านไป
Choice/24d/text,ใช้เครื่องสแกนตามที่กำหนด - คุณไม่สามารถเสี่ยงต่อการถูกเปิดโปงได้
Choice/24e/text,ส่งสัญญาณให้วิกเตอร์มองไปทางอื่น แล้วปล่อยให้พวกเขาผ่านไป
Text/24f/text,"คุณแตะเครื่องสแกน ขมวดคิ้ว แล้วแตะอีกครั้ง ""ไอ้เครื่องบ้าๆ นี่มันรวนอีกแล้ว ไปได้เลย"""
Text/250/text,"ความโล่งอกปรากฏบนใบหน้าของพวกเขา พวกเขาพึมพำ ""[color=CHARTREUSE]ขอบคุณ[/color]"" แล้วรีบเดินผ่านไป"
Text/251/text,คุณสบตาเขาและพยักหน้าไปทางสายลับ เขามองไปที่พวกเขา แล้วมองมาที่คุณ
Text/252/text,"เขาหันหลังให้อย่างจงใจ มองดูผนัง ""[color=STEEL_BLUE]เครื่องสแกนมันรวนทั้งวันแล้ว[/color]"""
Text/253/text,สายลับเล็ดลอดผ่านไป วิกเตอร์ไม่พูดอะไร แต่ตอนนี้คุณได้แบ่งปันความลับกันแล้ว
Text/254/text,"คุณทำการสแกน เครื่องจักร[color=RED]ส่งเสียงดังลั่น[/color] ""ตรวจพบเอกสารปลอมแปลง"""
Text/255/text,"ความหวาดกลัวปรากฏขึ้นบนใบหน้าของพวกเขา ""[color=CRIMSON]คุณไม่เข้าใจหรอกว่าคุณทำอะไรลงไป...[/color]"""
Text/256/text,เขากับเจ้าหน้าที่รักษาความปลอดภัยคนอื่นๆ เข้ามาใกล้ สายลับถูกลากตัวไป ยังคงจ้องมองมาที่คุณ
Text/257/text,ซาช่ามาหาคุณในเงามืด สายลับคนนั้นกำลังนำ[color=CHARTREUSE]สำเนาบัญชีรายชื่อ[/color]ไปให้ผู้ติดต่อของเราข้างนอก
Text/258/text,เพราะคุณ ความจริงจะแพร่กระจายไปไกลเกินพรมแดนของ Spud [color=CHARTREUSE]คุณได้สร้างความเปลี่ยนแปลงที่แท้จริง[/color]
Text/259/text,ดวงตาของซาช่าเบิกกว้าง วิกเตอร์ช่วยเหรอ? ฉันรู้สึกตะหงิดๆ กับเขาอยู่แล้ว ภรรยาของเขา...
Text/25a/text,เรามีพันธมิตรมากกว่าที่คิดไว้
Text/25b/text,ซาช่ามาหาคุณ สีหน้าของเธอเย็นชา เจ้าหน้าที่คนนั้นมีครอบครัว มีหน่ออ่อนสามหน่ออยู่ที่บ้าน
Text/25c/text,ฉันเข้าใจความกลัว แต่ [color=CRIMSON]ความกลัวย่อมมีผลตามมา[/color] พวกเขาจะถูกดำเนินการภายในเช้า
Text/25d/text,ฉันหวังว่าประวัติที่สะอาดของคุณจะคุ้มค่ากับสิ่งนี้
