keys,pl
Text/3a/text,"Punkt kontrolny został odbudowany po ataku oporu. Bezpieczeństwo jest bezprecedensowe, z propagandowymi audycjami chwalącymi ""dzielnych obrońców""."
Text/3b/text,Zostałem awansowany na Regionalnego Dyrektora Bezpieczeństwa Granicznego i [pulse freq=2]Dystrybucji Rezerwy Korzeniowej[/pulse].
Text/3c/text,Russet przypina małą odznakę do twojego munduru. Zastępca Regionalnego Dyrektora... za twoją niezłomną lojalność wobec Spud.
Text/3d/text,Mam specjalne zadanie! Premier Idaho będzie dziś kontrolować naszą placówkę. Zostałeś wybrany do demonstracji.
Text/3e/text,"Widziałeś nową partię Rezerwy Korzeniowej? Nazywają ją 'Mieszanką Oporu' po tym, co się stało z jeńcami."
Text/3f/text,"Niektórzy mówią, że opór nie był całkowicie w błędzie. Że istnieją [wave amp=15 freq=3]dowody, że mówili prawdę[/wave]..."
Choice/40/text,"„Bądź ostrożny. Już samo mówienie tak jest teraz niebezpieczne."" (Ostrożnie)"
Choice/41/text,"„Miałem takie same myśli. To nie wydaje się być słuszne."" (Współczująco)"
Text/42/text,Nie wszyscy już wierzą w oficjalną historię. Miej oczy otwarte podczas wizyty premiera.
Text/43/text,"Tworzy się nowy opór. Cichszy, bardziej ostrożny. Jeśli chcesz wiedzieć więcej... zwróć uwagę na żółty emblemat ziemniaka."
Text/44/text,UWAGA: Konwój Premiera Idaho dotarł. Wszyscy oficerowie na przydzielone stanowiska. Protokoły inspekcyjne wprowadzone.
Text/45/text,Twoja odznaka wydaje się ciężka - nagroda za lojalność czy znak hańby? Wkrótce staniesz twarzą w twarz z architektem Rezerwy Korzeniowej.
Text/46/text,Po emisji ujawniającej Rezerwę Korzeniową wybuchy powstania ogarnęły cały Spud. Premier Idaho pozostaje zaszyty w budynku administracyjnym.
Text/47/text,"Idaho planuje ostatnią emisję, aby zrzucić winę za Rezerwę Korzeniową na nas. Nie możemy pozwolić, żeby przepisał historię. Dziś zakończymy jego rządy."
Text/48/text,Uratowałeś mi życie w zakładzie przetwórczym. Teraz mamy szansę ocalić cały Spud.
Text/49/text,Twoja znajomość protokołów bezpieczeństwa będzie kluczowa dla ostatniej misji. Jesteś gotowy?
Choice/4a/text,"„Jestem gotowy. Dokończmy to, co zaczęliśmy."""
Choice/4b/text,"„Jaki jest dokładnie plan? Potrzebuję szczegółów."""
Text/4c/text,"Wiedziałem, że nie odpuścisz. Jesteś jednym z naszych [tornado radius=3 freq=2]najsilniejszych sojuszników[/tornado]."
Text/4d/text,"Będziemy infiltrować, używając rządowych mundurów. Pomożesz obejść systemy bezpieczeństwa. Naszym celem jest schwytanie Idaho i wymuszenie publicznego wyznania."
Text/4e/text,"Będziesz w Zespole Alfa z Saszą, przełamując wschodnie wejście. Twoje zadanie: [color=GREEN]zabezpieczyć centrum transmisji[/color]."
Text/4f/text,"Z lojalnego urzędnika celnego w bojownika oporu? Transformacja, której nigdy byś nie przewidział. Cokolwiek się stanie, Spud już nigdy nie będzie taki sam."
Choice/4a/disabled_text,
Choice/4b/disabled_text,
Choice/41/disabled_text,
Choice/40/disabled_text,
