keys,bg
Text/d2/text,"След смяната ти, те водят до тайна среща на съпротивата в изоставена фабрика за нишесте."
Text/d2b/text,Преди да започнем... Имам признание да направя.
Text/d2c/text,"Онова листче, което намери през първия си ден? ""[color=GOLD]Приятел[/color]""?"
Text/d2d/text,"Саша се усмихва. Виждам, че си го запазил. Умно. Знаех, че съм избрал правилния кълн."
Text/d2e/text,"Месеци наред наблюдавах новите служители, търсейки някой с [color=CHARTREUSE]разпитващи очи[/color]. Някой, който би могъл да прозре лъжите."
Text/d2f/text,Изражението на Саша е сложно. Показа го на Ръсет. Трябваше да се крия седмици след това.
Text/d2g/text,Но все пак си тук. Това ми говори нещо за съвестта ти.
Text/d2h/text,Ти го унищожи. Не те виня - беше рисковано да се пази.
Text/d2i/text,"Но думите все пак си намериха път в главата ти, нали?"
Text/d2j/text,"[color=CHARTREUSE]Аз съм ""Приятел"".[/color] И сега знаеш защо."
Text/d2k/text,Саша разстила заловени документи на масата. Манифести за обработка от последния месец.
Text/d2l/text,Сканираш имената и кръвта ти замръзва.
Text/d2m/text,Ето я. [color=GOLD]Марис Пайпър[/color]. Жената от снимката.
Text/d2n/text,"""[color=CRIMSON]Статус: Обработен. Партида RR-2847.[/color]"" Датиран три дни след като съпругът ѝ молеше за помощта ти."
Text/d2o/text,Усещаш снимката в джоба си. [color=STEEL_BLUE]Тя е изчезнала. И не успя да я спасиш.[/color]
Text/d2p/text,Но може би... [color=CHARTREUSE]може би все още можеш да спасиш други[/color].
Text/d2q/text,"Мърфи излиза от сенките. Хей. Радвам се, че успя да дойдеш."
Text/d2r/text,Мърфи вдига смачкания формуляр RR-UTIL. Моят братовчед също е в този списък. [color=CHARTREUSE]Ще го направим заедно.[/color]
Text/d3/text,Изветрял картоф с бойни белези се обръща към събраната група.
Text/d4/text,Времето за шепот и брошури свърши. Правителството показа истинското си лице.
Text/d5/text,"Нашите източници потвърждават, че преработвателните заводи на [wave amp=15 freq=2][color=DARK_VIOLET]Root Reserve[/color][/wave] увеличават производството."
Text/d6/text,"Което означава [tornado radius=3 freq=3][color=CRIMSON]повече от нашите братя и сестри изчезнали, обработени, консумирани[/color][/tornado]."
Text/d7/text,Лидерът удря с юмрук по масата. [pulse freq=3][color=CHARTREUSE]Това приключва сега.[/color][/pulse] Имаме план да ударим в сърцето на тяхната операция.
Text/d8/text,Саша разгъва подробни планове на масата. След три дни започваме нашата основна офанзива.
Text/d9/text,"Докато един екип създава отклоняване в главния правителствен комплекс, друг ще проникне в най-голямото съоръжение на Root Reserve."
Text/da/text,"Нашата цел: да съберем [color=CHARTREUSE]неопровержими доказателства[/color] за това какво се случва вътре, да ги разпространим из целия Спъд."
Text/db/text,Саша посочва част от плановете. Тук е твоето място.
Text/dc/text,"Нуждаем се от някой отвътре в Митница Спъд, за да гарантираме, че нашите оперативни работници могат да преминат границата за мисията."
Text/dd/text,Можем ли да разчитаме на теб да бъдеш този човек?
Choice/de/text,"""Ще направя всичко необходимо, за да разкрия истината."""
Choice/df/text,"""Звучи опасно. Ами ако ни хванат?"""
Choice/e0/text,"""Има ли друг начин, който да не излага толкова много хора на риск?"""
Text/e1/text,Лицето на Саша светва от надежда. Благодаря ти. [color=CHARTREUSE]Твоята смелост ще спаси безброй животи.[/color]
Text/e2/text,"Тя стиска ръката ти. Когато всичко това приключи, [color=CHARTREUSE]ще бъдеш запомнен като герой на революцията.[/color]"
Text/e3/text,[color=STEEL_BLUE]Надеждното изражение на Саша се разколебава.[/color] Аз... да. Опасно е.
Text/e4/text,"Всички можем да свършим [color=DARK_VIOLET]преработени в Коренов Резерв[/color] самите ние, ако се провалим."
Text/e5/text,"[color=STEEL_BLUE]Тя поглежда настрани за кратко.[/color] Мислех, че след всичко, което си видял... но разбирам. Страхът е естествен."
Text/e6/text,[color=STEEL_BLUE]Лицето на Саша помръква. Светлината в очите ѝ угасва.[/color] Друг начин ли? Опитвали сме други начини. От години.
Text/e7/text,Петиции. Тиха дипломация. Анонимни сигнали. [color=STEEL_BLUE]Гласът ѝ става студен.[/color] Нищо не е проработило.
Text/e8/text,"Надявах се, че ти ще си различен. Че разбираш какво е заложено на карта."
Text/e9/text,Избухва разгорещен дебат сред членовете на съпротивата.
Text/ea/text,Някои настояват за по-агресивен подход – унищожаване на преработвателните заводи изцяло.
Text/eb/text,"Други настояват, че насилствените действия само ще настроят общественото мнение срещу тях."
Text/ec/text,ДОСТАТЪЧНО! Лидерът смълчава стаята с властен глас.
Text/ed/text,"Не можем да си позволим да бъдем разделени. Не сега, когато сме толкова близо."
Text/ee/text,Нашата цел е проста: да разкрием истината. Нека хората решат какво ще се случи по-нататък.
Text/ef/text,"Лидерът се обръща, за да се обърне директно към теб. Но трябва да знаем [color=YELLOW]къде стоиш[/color]."
Text/f0/text,След три дни нашите агенти ще се приближат до твоя контролно-пропускателен пункт. Те ще носят [color=CHARTREUSE]сини идентификационни карти[/color].
Text/f1/text,Ще им помогнеш ли да преминат? Твоят отговор сега ще определи следващия ни ход.
Choice/f2/text,"""Ще им помогна да преминат. За бъдещето на Спъд."""
Choice/f3/text,"Не мога да се намеся пряко, но ще си затворя очите."
Choice/f4/text,Трябва ми повече време да помисля за това.
Text/f5/text,Лидерът стиска здраво рамото ти. [color=CHARTREUSE]Твоята смелост ни прави чест на всички.[/color]
Text/f6/text,"На третия ден, когато слънцето е най-високо, нашите агенти ще дойдат."
Text/f7/text,Паролата е „[wave amp=15 freq=3][color=CHARTREUSE]Корените растат дълбоко.[/color][/wave]“ Запомни я.
Text/f8/text,"Лидерът кима бавно, явно разочарован, но разбиращ."
Text/f9/text,"Понякога най-многото, което можем да поискаме, е хората да не ни пречат."
Text/fa/text,Нашите агенти ще действат по план. Просто... не вдигай тревога.
Text/fb/text,"Изражението на лидера се втвърдява. [color=YELLOW]Времето е лукс, който не можем да си позволим.[/color]"
Text/fc/text,Но да принуждаваме някого да се присъедини към нашата кауза не ни прави по-добри от тях.
Text/fd/text,"Ще продължим, без да разчитаме на твоята помощ. Прерови съвестта си."
Text/fe/text,"Докато срещата приключва, Саша върви с теб обратно към контролния пункт."
Text/ff/text,"[color=CHARTREUSE]Тя хваща ръката ти, докато вървите.[/color] Каквото и да стане... сега сме заедно в това. Благодаря ти."
Text/ff2/text,"[color=STEEL_BLUE]Тя пази дистанция, докато вървите.[/color] Оценявам, че не ни пречиш. Това е... нещо."
Text/ff3/text,"[color=STEEL_BLUE]Тя върви мълчаливо, със скръстени ръце.[/color] Надявам се да намериш каквато и сигурност да търсиш. Останалите от нас не можем да си позволим да чакаме."
Text/100_viktor1/text,"На връщане намираш Виктор сам на покрива на контролния пункт, взирайки се в нощното небе."
Text/100_viktor2/text,Виктор държи малка
Text/100_viktor3/text,"Тя казваше, че без значение колко мрачни стават нещата, звездите винаги ще са там. [color=STEEL_BLUE]Постоянни. Красиви.[/color]"
Text/100_viktor4/text,"Той се обръща към теб, с насълзени очи. [wave amp=15 freq=2]Продължавам да си мисля... дали е страдала?[/wave] Знаеше ли какво се случва?"
Text/100_viktor5/text,Гласът на Виктор пресипва. Тя ме попита веднъж дали някога съм поставял под въпрос отказите. Казах ѝ [color=CRIMSON]да се довери на системата[/color].
