keys,es
patch_1_2_0_title,SPUD CUSTOMS 1.2.0 - NOTAS DEL PARCHE
patch_1_2_0_personal_note_header,UNA NOTA PERSONAL DEL DESARROLLADOR
patch_1_2_0_personal_note,"Esta actualización está dedicada a mi pequeño/a, quien pasó los primeros meses de vida en la UCIN - de 1lb al nacer a ahora 20lbs de pura alegría. ¡Gracias a todos los que se han unido a este viaje - más de 2.000 jugadores ya han experimentado Spud Customs!"
patch_1_2_0_visual_header,MEJORAS VISUALES
patch_1_2_0_visual_1,Integración de Arte Animado: Se incorporaron nuevos GIFs animados de StagNation en las escenas de apertura
patch_1_2_0_visual_2,Renovación Artística: Se repintaron las primeras cinco escenas que ven los jugadores para mejorar la calidad visual
patch_1_2_0_visual_3,Fondos Dinámicos: Los fondos visuales ahora cambian a medida que aumenta la dificultad
patch_1_2_0_story_header,HISTORIA Y NARRATIVA
patch_1_2_0_story_1,Persistencia de Elecciones: Las elecciones narrativas ahora se mantienen correctamente en todos los niveles
patch_1_2_0_story_2,Progreso Visual: Se añadieron indicadores visuales del progreso de la historia en las escenas de juego principales basados en el número de turno actual
patch_1_2_0_story_3,Correcciones de Diálogo Ramificado: Se corrigieron problemas con el diálogo ramificado en las escenas narrativas finales
patch_1_2_0_bugfix_header,CORRECCIÓN DE ERRORES
patch_1_2_0_bugfix_1,Sistema de Logros: Se corrigió el seguimiento de logros - todos los logros ahora se desbloquean correctamente
patch_1_2_0_bugfix_2,Tabla de Clasificación: Se corrigió un problema por el cual la tabla de clasificación se quedaba atascada cargando
patch_1_2_0_bugfix_3,Temblor de Pantalla: El temblor de pantalla ahora se restablece correctamente al origen después de cada uso
patch_1_2_0_bugfix_4,Escalado de Dificultad: Se corrigió el factor de escalado del modo fácil
patch_1_2_0_bugfix_5,Visualización de Fondos: Se corrigieron los fondos faltantes durante las escenas de diálogo
patch_1_2_0_bugfix_6,Legibilidad del Texto: Se mejoró la coloración del texto para una mejor legibilidad
patch_1_2_0_engagement_header,INTERACCIÓN DEL JUGADOR
patch_1_2_0_engagement_1,Solicitudes de Reseña: Se añadieron solicitudes de reseña para jugadores de la demo y del juego completo
patch_1_2_0_engagement_2,Correcciones de Traducción: Varias mejoras de traducción en los idiomas compatibles
patch_1_2_0_technical_header,MEJORAS TÉCNICAS
patch_1_2_0_technical_1,Soporte de Idiomas Ampliado: Ahora compatible con los 31 idiomas soportados por Steam
patch_1_2_0_technical_2,Revisión del Sistema de Traducción: Se reorganizaron los archivos de traducción para una mejor mantenibilidad
