keys,sk
Text/3a/text,"Kontrolný bod bol znovu vybudovaný po útoku odporu. Bezpečnosť je bez precedensu, s propagandistickými vysielaniami oslavujúcimi ""statočných obrancov""."
Text/3b/text,Bol som povýšený na Regionálneho riaditeľa pohraničnej bezpečnosti a [pulse freq=2]Distribúcie Koreňovej Rezervy[/pulse].
Text/3c/text,Russet pripína malú medailu na váš uniform. Zástupca regionálneho riaditeľa... za vašu neotrasiteľnú vernosť Spudu.
Text/3d/text,Mám špeciálnu misiu! Premiér Idaho dnes bude kontrolovať naše zariadenie. Boli ste vybraný na ukážku.
Text/3e/text,"Videli ste novú dávku Koreňovej Rezervy? Volajú ju 'Zmes Odporu' po tom, čo sa stalo zajatcom."
Text/3f/text,"Niektorí hovoria, že odpor nebol úplne zlý. Že existujú [wave amp=15 freq=3]dôkazy, že hovorili pravdu[/wave]..."
Choice/40/text,"„Buď opatrný. Už len takto hovoriť je teraz nebezpečné."" (Opatrne)"
Choice/41/text,"„Mal som rovnaké myšlienky. Toto sa nezdá správne."" (Súcitne)"
Text/42/text,Nie všetci už veria oficiálnemu príbehu. Majte oči otvorené počas návštevy premiéra.
Text/43/text,"Formuje sa nový odpor. Tichší, opatrnejší. Ak chcete vedieť viac... sledujte žltý emblém zemiaka."
Text/44/text,POZOR: Konvoj premiéra Idaho dorazil. Všetci dôstojníci na určené stanovištia. Inšpekčné protokoly v platnosti.
Text/45/text,Vaša medaila sa zdá byť ťažká - odmena za vernosť alebo znak hanby? Čoskoro sa stretnete s architektom Koreňovej Rezervy.
Text/46/text,"Po vysielaní, ktoré odhalilo Koreňovú Rezervu, vypukli povstania po celom Spude. Premiér Idaho zostáva barikádovaný v administratívnej budove."
Text/47/text,"Idaho plánuje posledné vysielanie, aby zvalil vinu za Koreňovú Rezervu na nás. Nemôžeme mu dovoliť prepísať históriu. Dnes ukončíme jeho režim."
Text/48/text,Zachránili ste mi život v spracovateľskom závode. Teraz máme šancu zachrániť celý Spud.
Text/49/text,Vaše znalosti bezpečnostných protokolov budú kľúčové pre záverečnú misiu. Ste pripravený?
Choice/4a/text,"„Som pripravený. Dokončime, čo sme začali."""
Choice/4b/text,"„Aký je presne plán? Potrebujem detaily."""
Text/4c/text,"Vedel som, že neustúpite. Ste jeden z našich [tornado radius=3 freq=2]najsilnejších spojencov[/tornado]."
Text/4d/text,Budeme infiltrovať pomocou vládnych uniforiem. Pomôžete obísť bezpečnostné systémy. Naším cieľom je chytiť Idaho a prinútiť ho k verejnému doznaniu.
Text/4e/text,"Budete v Tíme Alfa so Sašou, ktorý prelomí východný vstup. Vaša úloha: [color=GREEN]zabezpečiť vysielacie centrum[/color]."
Text/4f/text,"Z lojálneho colníka bojovníkom odporu? Premena, ktorú by ste nikdy nečakali. Čokoľvek sa stane, Spud už nikdy nebude rovnaký."
Choice/4a/disabled_text,
Choice/4b/disabled_text,
Choice/41/disabled_text,
Choice/40/disabled_text,
