keys,pt
Text/78/text,"Mais um dia no posto de controle. A fila de batatas se estende mais longa do que nunca, todos tensos."
Text/79/text,Novas ordens do topo. [wave amp=15 freq=3][color=DARK_ORANGE]Dobrando as rejeições[/color][/wave]. Qualquer batata considerada insegura é detida imediatamente.
Text/7a/text,Tenho uma missão especial. Temos informações de inteligência sobre [pulse freq=2][color=CRIMSON]agitadores[/color][/pulse]. Estejam vigilantes durante as inspeções.
Choice/7b/text,"Sim, senhor, não vou decepcioná-lo"
Choice/7c/text,De que tipo de agitadores estamos falando?
Text/7d/text,Bem. Eu sabia que podia contar com você. Você irá longe com essa atitude.
Text/7e/text,Aqueles que [color=CRIMSON]ameaçam nosso modo de vida[/color]. Não faça muitas perguntas se souber o que é bom para você.
Text/7f/text,"[color=STEEL_BLUE]Eu imploro![/color] Minha esposa deveria estar bem atrás de mim, mas [tornado radius=2 freq=3]nunca passou pela alfândega[/tornado]."
Text/80/text,"Ninguém quer me dizer o que aconteceu com ela. Por favor, [color=CHARTREUSE]ajude-me a encontrá-la![/color]"
Choice/81/text,"Desculpe, mas não posso fazer nada."
Choice/82/text,Deixe-me ver o que posso descobrir. Sem promessas.
Text/83/text,Como todos os outros... [color=STEEL_BLUE]Que sua consciência pese tanto quanto a minha.[/color]
Text/84/text,"Obrigado! Mesmo uma pequena esperança é melhor que nenhuma. Aqui está a foto dela. Por favor, encontre-a."
Text/85/text,Eu vi essa troca. [color=DARK_ORANGE]Compadecer-se dos rejeitados só traz problemas.[/color] Mantenha-se focado em seu dever.
Choice/7b/disabled_text,
Choice/82/disabled_text,
Choice/81/disabled_text,
Choice/7c/disabled_text,
Text/7fb/text,"Ela [tornado radius=2 freq=3]nunca passou pela alfândega[/tornado]. Disseram que os documentos dela tinham uma ""irregularidade."""
Text/83b/text,A batata desesperada se afasta arrastando os pés. Você a nota olhando para uma foto gasta antes que ela desapareça.
Text/84b/text,"Ela aperta uma [color=GOLD]fotografia gasta[/color] em suas mãos. O nome dela é [color=GOLD]Maris Piper[/color]. Ela tem olhos gentis. Por favor, encontre-a."
Text/84c/text,Você olha para a foto. Uma batata jovem com traços gentis e um sorriso caloroso. [color=GOLD]Maris Piper[/color].
Text/84d/text,Para onde ela foi? A fila de rejeição leva a... onde exatamente?
