keys,ru
Text/131/text,"Ты пригибаешься, пока бушует битва. Прости, Саша. Я [color=STEEL_BLUE]не такой храбрый, как ты[/color]."
Text/132/text,"""[color=CRIMSON]Теракт[/color] отбит! Главари [color=DARK_VIOLET]обрабатываются[/color] прямо сейчас."""
Text/133/text,"Шеф Юкон тащит скованных цепями членов сопротивления, среди них Саша. ""Эти [color=CRIMSON]предатели[/color] будут подвергнуты [color=DARK_VIOLET]окончательной обработке[/color]."""
Text/134/text,"Саша ловит твой взгляд. Несмотря на синяки, в ее взгляде [wave amp=15 freq=2][color=CHARTREUSE]нет осуждения, только грусть[/color][/wave]."
Text/135/text,"Ты выжил, не высовываясь, но [pulse freq=3][color=GOLD]какой ценой?[/color][/pulse] Когда запах производства [color=DARK_VIOLET]Корневого Запаса[/color] доносится с завода, твой желудок сжимается."
Text/136/text,"Возможно, еще есть шанс изнутри. Или, может быть, ты просто успокаиваешь свою совесть."
Text/137/text,Ты [tornado radius=3 freq=2][color=CHARTREUSE]бросаешь свой пост[/color][/tornado] и мчишься к месту боя. Время для осторожности прошло.
Text/138/text,"[pulse freq=3][color=GOLD]Докажи, что ты с нами![/color][/pulse] Откуда ты знаешь Сашу?"
Text/139/text,"[color=CHARTREUSE]Корни уходят глубоко![/color] Я с КПП, Саша завербовала меня!"
Text/13a/text,Ее везут на перерабатывающий завод прямо сейчас. Нам нужно спешить!
Text/13b/text,"Двери распахиваются, открывая [wave amp=25 freq=3][color=CRIMSON]ужасную правду[/color][/wave] — измельчающие машины, конвейеры, несущие картофелины к их гибели."
Text/13c/text,"В конце одной из лент — Саша и другие, [color=CRIMSON]беспомощно связанные[/color]. Надзиратель Рассет стоит у пульта управления."
Text/13d/text,"[color=RED]ТЫ![/color] Я должен был знать, что ты один из них! Отойди, или я запущу процессор!"
Text/140/text,"[color=STEEL_BLUE]Лидер сопротивления выходит вперед, направив оружие на Рассета.[/color] Ни шагу больше, Рассет. Руки на виду."
Text/141/text,"[color=CRIMSON]Глаза Рассета мечутся между тобой и лидером сопротивления, на лбу выступает пот.[/color] Думаешь, ты победил? Этот объект — основа Картофелии!"
Text/142/text,Основа страданий. [pulse freq=3][color=CHARTREUSE]Это закончится сегодня.[/color][/pulse]
Text/143/text,[color=STEEL_BLUE]Саша борется со своими путами на конвейерной ленте
Choice/144/text,"[tornado radius=3 freq=2][color=CRIMSON]""Рассет"
Choice/145/text,"[wave amp=15 freq=2][color=STEEL_BLUE]""Это... это то, что они делали? Это хуже, чем я представлял...""[/color][/wave]"
Choice/146/text,"[color=CHARTREUSE]""Саша! Спасибо корням, что ты жива! Держись"
Text/147/text,"[color=CRIMSON]Ты бросаешься на Рассета, сжав кулаки, едва сдерживаемый бойцами сопротивления.[/color] Каждая картофелина, прошедшая через мой КПП... сколько ты..."
Text/148/text,"Полегче! Он нужен нам живым, чтобы свидетельствовать. [color=STEEL_BLUE]Лидер держит оружие наготове, направленное на Рассета.[/color] Прибереги свой гнев для суда."
Text/149/text,"[color=STEEL_BLUE]Ты отшатываешься назад, прикрыв рот рукой, осознавая весь ужас машин.[/color] Я ставил штампы в их документы... Я отправлял их сюда..."
Text/14a/text,[color=CHARTREUSE]Ты не знал. Никто из нас не знал.[/color] Вот почему мы здесь сейчас. Сосредоточься!
Text/14b/text,[color=CHARTREUSE]Ты бросаешься к конвейеру
Text/14c/text,"[color=CHARTREUSE]Глаза Саши сияют слезами и надеждой, пока твои руки развязывают узлы.[/color] Я знала, что ты придешь. Я никогда в тебе не сомневалась."
Text/14d/text,"[color=STEEL_BLUE]Лидер под дулом пистолета заставляет Рассета встать на колени.[/color] Свяжите его. Убедитесь, что он увидит, что будет дальше."
Text/13e/text,"[color=CHARTREUSE]Освободившись от оков, Саша не теряет времени, перенаправляя камеры объекта.[/color] [color=YELLOW]Жители Спуда! Это Корневой Запас! Они скармливали нас друг другу![/color]"
Text/14e/text,"[color=CHARTREUSE]Саша берет твою руку, переплетая свои пальцы с твоими.[/color] Ты вернулся за мной. Что бы ни случилось дальше... мы встретим это вместе."
Text/14f/text,"[color=STEEL_BLUE]Саша внимательно смотрит на тебя, видя ярость, все еще горящую в твоих глазах.[/color] Направь этот огонь. Он нам понадобится для того, что будет дальше."
Text/150/text,[color=STEEL_BLUE]Саша кладет нежную руку тебе на плечо.[/color] Это не твоя вина. Ты здесь сейчас. Это главное.
Text/13f/text,"[color=CHARTREUSE]Мы сделали это. Правда теперь известна.[/color] У нас есть будущее, которое нужно строить!"
Choice/144/disabled_text,
Choice/145/disabled_text,
Choice/146/disabled_text,
