keys,de
patch_1_2_0_title,SPUD CUSTOMS 1.2.0 - PATCHNOTIZEN
patch_1_2_0_personal_note_header,EINE PERSÖNLICHE ANMERKUNG VOM ENTWICKLER
patch_1_2_0_personal_note,"Dieses Update ist meinem Kleinen gewidmet, das die ersten Lebensmonate auf der Intensivstation verbrachte – von 1 Pfund bei der Geburt zu jetzt 20 Pfund purer Freude. Vielen Dank an alle, die diese Reise mitgemacht haben – über 2.000 Spieler haben Spud Customs bereits erlebt!"
patch_1_2_0_visual_header,VISUELLE VERBESSERUNGEN
patch_1_2_0_visual_1,Integration animierter Grafiken: Neue animierte GIFs von StagNation in die Eröffnungsszenen integriert
patch_1_2_0_visual_2,"Grafiküberarbeitung: Die ersten fünf Szenen, die Spieler sehen, für verbesserte visuelle Qualität neu gezeichnet"
patch_1_2_0_visual_3,Dynamische Hintergründe: Hintergrundgrafiken ändern sich jetzt mit steigendem Schwierigkeitsgrad
patch_1_2_0_story_header,GESCHICHTE & ERZÄHLUNG
patch_1_2_0_story_1,Persistenz der Entscheidungen: Erzählerische Entscheidungen werden jetzt korrekt über alle Level hinweg übernommen
patch_1_2_0_story_2,Visueller Fortschritt: Visuelle Indikatoren für den Story-Fortschritt in den Haupt-Gameplay-Szenen basierend auf der aktuellen Schichtnummer hinzugefügt
patch_1_2_0_story_3,Korrekturen bei verzweigten Dialogen: Probleme mit verzweigten Dialogen in den finalen Erzählszenen behoben
patch_1_2_0_bugfix_header,FEHLERBEHEBUNGEN
patch_1_2_0_bugfix_1,Erfolgssystem: Erfolgsverfolgung behoben – alle Erfolge werden jetzt korrekt freigeschaltet
patch_1_2_0_bugfix_2,"Bestenliste: Problem behoben, bei dem die Bestenliste beim Laden hängen blieb"
patch_1_2_0_bugfix_3,Bildschirmerschütterung: Bildschirmerschütterung wird jetzt nach jeder Verwendung korrekt zurückgesetzt
patch_1_2_0_bugfix_4,Schwierigkeitsskalierung: Skalierungsfaktor des einfachen Modus behoben
patch_1_2_0_bugfix_5,Hintergrundanzeige: Fehlende Hintergründe während Dialogszenen behoben
patch_1_2_0_bugfix_6,Textlesbarkeit: Textfarbgebung für bessere Lesbarkeit verbessert
patch_1_2_0_engagement_header,SPIELERBINDUNG
patch_1_2_0_engagement_1,Bewertungsanfragen: Bewertungsaufforderungen für Demo- und Vollversionsspieler hinzugefügt
patch_1_2_0_engagement_2,Übersetzungskorrekturen: Verschiedene Übersetzungsverbesserungen in allen unterstützten Sprachen
patch_1_2_0_technical_header,TECHNISCHE VERBESSERUNGEN
patch_1_2_0_technical_1,Erweiterte Sprachunterstützung: Unterstützt jetzt alle 31 von Steam unterstützten Sprachen
patch_1_2_0_technical_2,Überarbeitung des Übersetzungssystems: Übersetzungsdateien für bessere Wartbarkeit neu organisiert
