keys,ru
Text/56/text,Добро пожаловать в нацию Спуд. Земля [pulse freq=2][color=MEDIUM_VIOLET_RED]процветания для всех картофелин[/color][/pulse].
Text/57/text,Вас выбрали на [color=DARK_ORANGE]ключевую роль[/color] в защите наших границ.
Text/59/text,"ВНИМАЙТЕ! [color=MEDIUM_VIOLET_RED]Могучая стена[/color], что оберегает нашу нацию. Здесь вы будете служить, допуская только достойных."
Text/5a/text,"А, новый росток. Слушайте внимательно, ваша роль [color=DARK_ORANGE]жизненно важна для безопасности Спуда[/color]."
Text/184/text,"Рассет подходит некомфортно близко. Я видел много ростков, прошедших через это место. [color=STEEL_BLUE]Большинство не задерживается.[/color]"
Text/184b/text,"Те, кто задаёт слишком много вопросов? Их [color=CRIMSON]переназначают[/color]. Навсегда."
Text/5b/text,Я назначаю вас Таможенным Офицером [pulse freq=1][color=MEDIUM_VIOLET_RED]славного Спуда[/color][/pulse]. Есть вопросы?
Choice/5c/text,"""Я готов служить Спуду всей моей крахмальной мощью!"""
Choice/5d/text,"""Что именно происходит с отклонёнными картофелинами?"""
Text/5e/text,Отлично! Вот такой энтузиазм нам нужен. Вы можете заслужить похвалу от [color=VIOLET]Корневого Резерва[/color].
Text/5f/text,Их... [color=VIOLET]обрабатывают[/color]. Согласно протоколу. [color=VIOLET]Корневой Резерв[/color] занимается всеми деталями.
Text/60/text,Сосредоточьтесь на своих обязанностях. [color=DARK_ORANGE]И ни на чём больше.[/color]
Text/61/text,"Ваша первая смена начинается сейчас. Тщательно проверяйте документы, отказывайте тем, кто не соответствует нашим стандартам."
Text/62/text,"Выполняйте свою квоту, избегайте штрафов."
Text/62b/text,"И помните, [color=MEDIUM_VIOLET_RED]Слава Спуду![/color]"
Choice/5c/disabled_text,
Choice/5d/disabled_text,
